pmid,pmcid,title,journal,insert_time
21772595,PMC3132911,Epidermolytic hyperkeratosis in inflammatory linear verrucous epidermal nevus.,Indian J Dermatol,2023-12-17-22-08-08
22557913,PMC3341748,Inflammatory linear verrucous epidermal nevus syndrome with its polymorphic presentation - A rare case report.,Contemp Clin Dent,2023-12-17-22-08-08
23716825,PMC3657235,Inflammatory linear verrucous epidermal nevus in perineum and vulva: a report of two rare cases.,Indian J Dermatol,2023-12-17-22-08-08
24068133,PMC3760937,Involucrin in the differential diagnosis between linear psoriasis and inflammatory linear verrucous epidermal nevus: a report of one case.,An Bras Dermatol,2023-12-17-22-08-08
24249899,PMC3827519,Giant inflammatory linear verrucous epidermal nevus: successfully treated with full thickness excision and skin grafting.,Indian J Dermatol,2023-12-17-22-08-08
24396613,PMC3876771,Vulvar and perianal condyloma superimposed inflammatory linear verrucous epidermal nevus: a case report and review of the literature.,Case Rep Dermatol Med,2023-12-17-22-08-08
24700964,PMC3969706,Inflammatory linear verrucous epidermal nevus with psoriasiform histology.,Indian J Dermatol,2023-12-17-22-08-08
26120188,PMC4458975,A Case of Inflammatory Linear Verrucous Epidermal Nevus on the Upper Eyelid.,Indian J Dermatol,2023-12-17-22-08-08
26500868,PMC4594397,Linear Darier's disease: A case with bilateral presentation.,Indian Dermatol Online J,2023-12-17-22-08-08
26677274,PMC4681199,Genital/Perigenital Inflammatory Linear Verrucous Epidermal Nevus: A Case Series.,Indian J Dermatol,2023-12-17-22-08-08
26752881,PMC4691991,Inflammatory linear verrucous epidermal nevus and regional odontodysplasia: A rare sorority.,Indian J Dent,2023-12-17-22-08-08
28785331,PMC5535656,"A Case of ""Inflammatory Linear Verrucous Epidermal Nevus"" (ILVEN) Treated with CO(2) Laser Ablation.",Open Access Maced J Med Sci,2023-12-17-22-08-08
29166506,PMC5674702,"Is Ki-67, keratin 16, involucrin, and filaggrin immunostaining sufficient to diagnose inflammatory linear verrucous epidermal nevus? A report of eight cases and a comparison with psoriasis vulgaris.",An Bras Dermatol,2023-12-17-22-08-08
29230331,PMC5688342,The Successful Treatment of a Case of Linear Psoriasis with Ixekizumab.,Case Rep Dermatol Med,2023-12-17-22-08-08
29606943,PMC5869485,Successful Treatment of Inflammatory Linear Verrucous Epidermal Nevus with Concomitant Psoriasis Using Etanercept.,Case Rep Dermatol,2023-12-17-22-08-08
30022937,PMC6047550,Widely Spread Unilateral Inflammatory Linear Verrucous Epidermal Nevus (ILVEN).,Case Rep Dermatol,2023-12-17-22-08-08
30631135,PMC6328547,Connexin43 mutations linked to skin disease have augmented hemichannel activity.,Sci Rep,2023-12-17-22-08-08
32382641,PMC7200436,Linear crusted papules in an infant.,JAAD Case Rep,2023-12-17-22-08-08
33911802,PMC7875247,Successful Amelioration of Inflammatory Linear Verrucous Epidermal Nevus with Topical Sirolimus.,Ann Dermatol,2023-12-17-22-08-08
35519162,PMC9034566,Inflammatory linear verrucous epidermal nevus in a patient with diabetes.,Pan Afr Med J,2023-12-17-22-08-08
37151253,PMC10162736,A Case of Naevoid Blaschkoid Psoriasis in a Two-Year-Old Child.,Indian J Dermatol,2023-12-17-22-08-08
37196255,PMC10188152,Inflammatory Linear Verrucous Epidermal Nevus Assessment With in Vivo Reflectance Confocal Microscopy: an Easy Option to Consider.,Dermatol Pract Concept,2023-12-17-22-08-08
37692264,PMC10485749,Giant inflammatory linear verrucous epidermal nevus: difficulties in the management.,Postepy Dermatol Alergol,2023-12-17-22-08-08
