pmcid,figure_name,width,height
PMC3657235,IJD-58-158f-g004.jpg,671,424
PMC3657235,IJD-58-158f-g002.jpg,607,730
PMC3657235,IJD-58-158f-g001.jpg,650,488
PMC3657235,IJD-58-158f-g003.jpg,673,462
PMC3132911,IJD-56-309-g003.jpg,780,585
PMC3132911,IJD-56-309-g002.jpg,780,585
PMC3132911,IJD-56-309-g001.jpg,780,585
PMC3341748,CCD-3-119-g002.jpg,560,402
PMC3341748,CCD-3-119-g003.jpg,783,581
PMC3341748,CCD-3-119-g004.jpg,507,602
PMC3341748,CCD-3-119-g001.jpg,424,607
PMC3827519,IJD-58-461-g002.jpg,672,538
PMC3827519,IJD-58-461-g003.jpg,324,538
PMC3827519,IJD-58-461-g001.jpg,262,538
PMC3969706,IJD-59-211b-g001.jpg,645,671
PMC3969706,IJD-59-211b-g003.jpg,503,672
PMC3969706,IJD-59-211b-g002.jpg,504,671
PMC3969706,IJD-59-211b-g004.jpg,656,805
PMC3760937,abd-88-0604-g05.jpg,600,463
PMC3760937,abd-88-0604-g04.jpg,600,463
PMC3760937,abd-88-0604-g03.jpg,600,463
PMC3760937,abd-88-0604-g01.jpg,600,464
PMC3760937,abd-88-0604-g02.jpg,600,400
PMC4458975,IJD-60-323e-g001.jpg,502,587
PMC3876771,CRIM.DM2013-261574.001.jpg,600,1806
PMC4681199,IJD-60-592-g006.jpg,756,586
PMC4681199,IJD-60-592-g001.jpg,1010,301
PMC4681199,IJD-60-592-g008.jpg,539,366
PMC4681199,IJD-60-592-g005.jpg,680,586
PMC4681199,IJD-60-592-g003.jpg,670,586
PMC4681199,IJD-60-592-g004.jpg,539,371
PMC4681199,IJD-60-592-g007.jpg,714,586
PMC4681199,IJD-60-592-g002.jpg,680,586
PMC4594397,IDOJ-6-345-g001.jpg,539,438
PMC4594397,IDOJ-6-345-g002.jpg,539,235
PMC5535656,OAMJMS-5-454-g002.jpg,563,424
PMC5535656,OAMJMS-5-454-g001.jpg,563,424
PMC5535656,OAMJMS-5-454-g003.jpg,563,424
PMC4691991,IJDENT-6-203-g004.jpg,539,342
PMC4691991,IJDENT-6-203-g001.jpg,539,300
PMC4691991,IJDENT-6-203-g005.jpg,539,355
PMC4691991,IJDENT-6-203-g006.jpg,487,203
PMC4691991,IJDENT-6-203-g002.jpg,539,221
PMC4691991,IJDENT-6-203-g003.jpg,783,587
PMC5674702,abd-92-05-0682-g01.jpg,771,369
PMC5674702,abd-92-05-0682-g03.jpg,600,452
PMC5674702,abd-92-05-0682-g02.jpg,771,286
PMC5869485,cde-0010-0029-g01.jpg,703,229
PMC5869485,cde-0010-0029-g03.jpg,689,818
PMC5869485,cde-0010-0029-g02.jpg,689,540
PMC5688342,CRIDM2017-3280215.002.jpg,752,331
PMC5688342,CRIDM2017-3280215.003.jpg,756,717
PMC5688342,CRIDM2017-3280215.001.jpg,725,638
PMC6047550,cde-0010-0170-g02.jpg,789,1181
PMC6047550,cde-0010-0170-g03.jpg,787,587
PMC6047550,cde-0010-0170-g01.jpg,701,525
PMC7200436,gr2.jpg,711,269
PMC7200436,gr3.jpg,711,285
PMC7200436,gr1.jpg,602,803
PMC9034566,PAMJ-41-139-g001.jpg,761,720
PMC6328547,41598_2018_37221_Fig1_HTML.jpg,746,312
PMC6328547,41598_2018_37221_Fig4_HTML.jpg,621,391
PMC6328547,41598_2018_37221_Fig6_HTML.jpg,621,687
PMC6328547,41598_2018_37221_Fig5_HTML.jpg,745,620
PMC6328547,41598_2018_37221_Fig3_HTML.jpg,656,297
PMC6328547,41598_2018_37221_Fig2_HTML.jpg,656,266
PMC6328547,41598_2018_37221_Fig7_HTML.jpg,655,477
PMC10162736,IJD-68-123e-g003.jpg,441,587
PMC10162736,IJD-68-123e-g004.jpg,582,587
PMC10162736,IJD-68-123e-g002.jpg,442,587
PMC10162736,IJD-68-123e-g005.jpg,582,586
PMC10162736,IJD-68-123e-g001.jpg,440,587
PMC7875247,ad-32-534-g001.jpg,622,615
PMC7875247,ad-32-534-g002.jpg,789,192
PMC10188152,dp1302a107g001.jpg,627,392
PMC10188152,dp1302a107g002.jpg,722,719
PMC10485749,PDIA-40-50853-g002.jpg,750,627
PMC10485749,PDIA-40-50853-g001.jpg,704,739
