pmid,pmcid,title,journal,insert_time,label,caption,graphic
21772595,PMC3132911,Epidermolytic hyperkeratosis in inflammatory linear verrucous epidermal nevus.,Indian J Dermatol,2023-12-17-22-08-08,Figure 1,White linear hyperkeratotic lesions some of them on erythematosus background and brown linear verrucous lesions without any erythema and inflammation,IJD-56-309-g001
21772595,PMC3132911,Epidermolytic hyperkeratosis in inflammatory linear verrucous epidermal nevus.,Indian J Dermatol,2023-12-17-22-08-08,Figure 2,"Psoriasiform acanthosis, mild papillomatosis, hyperkeratosis with foci of parakeratosis and epidermolytic hyperkeratosis change in acrosyrinx and moderate perivascular lymphohistiocytes infiltrate",IJD-56-309-g002
21772595,PMC3132911,Epidermolytic hyperkeratosis in inflammatory linear verrucous epidermal nevus.,Indian J Dermatol,2023-12-17-22-08-08,Figure 3,Epidermolytic hyperkeratosis: vacuolization of the upper and mid spinous layer in acrotrichia,IJD-56-309-g003
22557913,PMC3341748,Inflammatory linear verrucous epidermal nevus syndrome with its polymorphic presentation - A rare case report.,Contemp Clin Dent,2023-12-17-22-08-08,Figure 1,"Frontal view of patient showing dark brown papules having linear distribution, limited on the right side of the face",CCD-3-119-g001
22557913,PMC3341748,Inflammatory linear verrucous epidermal nevus syndrome with its polymorphic presentation - A rare case report.,Contemp Clin Dent,2023-12-17-22-08-08,Figure 2,Intraoral photograph showing bifid uvula,CCD-3-119-g002
22557913,PMC3341748,Inflammatory linear verrucous epidermal nevus syndrome with its polymorphic presentation - A rare case report.,Contemp Clin Dent,2023-12-17-22-08-08,Figure 3,Intraoral photograph showing desquamative gingivitis and enamel hypoplasia in relation to 13 and 42,CCD-3-119-g003
22557913,PMC3341748,Inflammatory linear verrucous epidermal nevus syndrome with its polymorphic presentation - A rare case report.,Contemp Clin Dent,2023-12-17-22-08-08,Figure 4,"Radiograph of the lumbar spine showing mild scoliosis with congenital Schmorl's node at D-12, L-3, L-4, L-5 (red arrow), and spina bifida (yellow arrow)",CCD-3-119-g004
23716825,PMC3657235,Inflammatory linear verrucous epidermal nevus in perineum and vulva: a report of two rare cases.,Indian J Dermatol,2023-12-17-22-08-08,Figure 1,Adult with ILVEN over left perineum,IJD-58-158f-g001
23716825,PMC3657235,Inflammatory linear verrucous epidermal nevus in perineum and vulva: a report of two rare cases.,Indian J Dermatol,2023-12-17-22-08-08,Figure 2,"Photomicrograph(×400, H and E stain) showing HPE of ILVEN in adult",IJD-58-158f-g002
23716825,PMC3657235,Inflammatory linear verrucous epidermal nevus in perineum and vulva: a report of two rare cases.,Indian J Dermatol,2023-12-17-22-08-08,Figure 3,Child with ILVEN over left vulva,IJD-58-158f-g003
