pmcid,label,caption,graphic,disease,modality
PMC2822318,Fig. 1,"Abdominal CT shows a lobulated, heterogenous contrast enhancing, soft tissue mass involving the entire left hepatic lobe (10×7 cm). Note the focal nodular enhancement around the peripheral portion of the hepatic mass in arterial phase.",jkms-19-305-g001,NotMatch,NotMatch
PMC2822318,Fig. 2,Abdominal CT shows an increased extent of peripheral nodular contrast-enhancement with a persistent low density noncontrast-enhancing portion of the tumor centrally in delayed phase.,jkms-19-305-g002,NotMatch,NotMatch
PMC2822318,Fig. 3,Angiography shows some tumor-supplying arteries from the left hepatic artery. There is no evidence of gross invasion in the main arteries.,jkms-19-305-g003,NotMatch,NotMatch
PMC2822318,Fig. 4,MRCP shows no dilatation of intra- and extra-hepatic bile duct. The left intrahepatic duct is not visualized due to tumor replacement.,jkms-19-305-g004,NotMatch,NotMatch
PMC2822318,Fig. 5,"The specimen shows an inhomogeneous, multinodular mass with a focal necrosis.",jkms-19-305-g005,NotMatch,NotMatch
PMC2822318,Fig. 6,"H-E stained microscopic specimen (×40). The thrombotic material is fragmented and entrapped by the ingrowing endothelial cells. There is no soft tissue invasion, atypia, or significant necrosis.",jkms-19-305-g006,NotMatch,NotMatch
PMC2988909,Fig. 1,Macroscopic imaging: A polypoid tan-grey lesion on the mucosa of the small bowel with focal ulceration.,crg0004-0124-f01,NotMatch,NotMatch
PMC2988909,Fig. 2,"The lesion was composed primarily of a complex network of vascular channels, papillary structures and an organizing thrombus confined to the vascular lumen. H&E, 40×.",crg0004-0124-f02,NotMatch,Match
PMC2988909,Fig. 3,"Histological staining for Factor VIII, CD34 and elastin, 40×. Factor VIII (a) and CD34 (b) stains in endothelial cells were positive and an elastic stain highlighted a circumferential elastic lamina (c).",crg0004-0124-f03,NotMatch,NotMatch
PMC3004207,Fig. 1,"The lesion was a firm, reddish-blue, slightly elevated mass in the oral mucosa resembling a hemangioma, mucocele or Kaposi sarcoma.",cde0002-0022-f01,NotMatch,NotMatch
PMC3004207,Fig. 2,"Histological features of IPEH, showing: a papillary projections that are composed of plump endothelial cells around a fibrinous core within dilated vascular spaces (hematoxylin and eosin, 200×); b proliferating endothelial cells that form solid islands in the deeper areas (hematoxylin and eosin, 400×).",cde0002-0022-f02,NotMatch,NotMatch
PMC2836790,Figure 1,"A dark-red-colored tumor, measuring approximately 1 cm in diameter, that was tender and smooth, with a clear boundary being seen in the left side of the lower lip (inside white circle).",IJD2009-940686.001,NotMatch,NotMatch
