pmcid,figure_name,width,height
PMC2822318,jkms-19-305-g001.jpg,472,335
PMC2822318,jkms-19-305-g005.jpg,472,335
PMC2822318,jkms-19-305-g002.jpg,472,335
PMC2822318,jkms-19-305-g003.jpg,472,335
PMC2822318,jkms-19-305-g004.jpg,471,334
PMC2822318,jkms-19-305-g006.jpg,472,335
PMC2988909,crg0004-0124-f03.jpg,446,1004
PMC2988909,crg0004-0124-f02.jpg,474,355
PMC2988909,crg0004-0124-f01.jpg,474,355
PMC3004207,cde0002-0022-f01.jpg,710,1063
PMC3004207,cde0002-0022-f02.jpg,450,287
PMC2836790,IJD2009-940686.005.jpg,453,324
PMC2836790,IJD2009-940686.004.jpg,441,330
PMC2836790,IJD2009-940686.002.jpg,459,591
PMC2836790,IJD2009-940686.003.jpg,576,227
PMC2836790,IJD2009-940686.001.jpg,447,321
PMC2836790,IJD2009-940686.006.jpg,459,348
PMC3459712,1752-1947-6-300-1.jpg,600,398
PMC3459712,1752-1947-6-300-2.jpg,600,552
PMC3459712,1752-1947-6-300-3.jpg,600,450
PMC3440503,jkns-52-48-g003.jpg,651,230
PMC3440503,jkns-52-48-g001.jpg,743,521
PMC3440503,jkns-52-48-g002.jpg,651,230
PMC3440504,jkns-52-52-g003.jpg,780,182
PMC3440504,jkns-52-52-g001.jpg,756,422
PMC3440504,jkns-52-52-g002.jpg,756,804
PMC3507062,AJM-1-55-g002.jpg,544,360
PMC3507062,AJM-1-55-g001.jpg,741,541
PMC3507062,AJM-1-55-g003.jpg,721,541
PMC3643361,JCytol-30-42-g002.jpg,586,556
PMC3643361,JCytol-30-42-g005.jpg,742,556
PMC3643361,JCytol-30-42-g007.jpg,1149,214
PMC3643361,JCytol-30-42-g006.jpg,742,556
PMC3643361,JCytol-30-42-g003.jpg,772,579
PMC3643361,JCytol-30-42-g004.jpg,742,556
PMC3643361,JCytol-30-42-g001.jpg,742,556
PMC3793571,CCD-4-397-g003.jpg,359,269
PMC3793571,CCD-4-397-g001.jpg,266,269
PMC3793571,CCD-4-397-g002.jpg,368,269
PMC3793571,CCD-4-397-g004.jpg,485,304
PMC3793571,CCD-4-397-g005.jpg,741,528
PMC4016006,1746-1596-8-167-2.jpg,600,450
PMC4016006,1746-1596-8-167-6.jpg,600,450
PMC4016006,1746-1596-8-167-3.jpg,600,450
PMC4016006,1746-1596-8-167-1.jpg,600,451
PMC4016006,1746-1596-8-167-4.jpg,600,450
PMC4016006,1746-1596-8-167-5.jpg,600,450
PMC3831002,kjpathol-47-499-g002.jpg,794,284
PMC3831002,kjpathol-47-499-g001.jpg,794,284
PMC4148292,abd-89-04-0677-g01.jpg,600,784
PMC4148292,abd-89-04-0677-g03.jpg,600,451
PMC4148292,abd-89-04-0677-g02.jpg,600,464
PMC3687770,BMRI2013-814635.005.jpg,600,460
PMC3687770,BMRI2013-814635.003.jpg,600,980
PMC3687770,BMRI2013-814635.001.jpg,600,2009
PMC3687770,BMRI2013-814635.006.jpg,600,1885
PMC3687770,BMRI2013-814635.004.jpg,600,461
PMC3687770,BMRI2013-814635.007.jpg,600,1889
PMC3687770,BMRI2013-814635.002.jpg,600,3008
PMC4302549,JPN-9-260-g003.jpg,729,337
PMC4302549,JPN-9-260-g004.jpg,713,537
PMC4302549,JPN-9-260-g001.jpg,538,538
PMC4302549,JPN-9-260-g002.jpg,557,538
PMC4135096,ad-26-431-i002.jpg,1200,450
PMC4135096,ad-26-431-i004.jpg,1200,1402
PMC4135096,ad-26-431-i003.jpg,1200,647
PMC4135096,ad-26-431-i005.jpg,1200,527
PMC4135096,ad-26-431-g003.jpg,789,558
PMC4135096,ad-26-431-g001.jpg,623,422
PMC4135096,ad-26-431-i001.jpg,1200,1142
PMC4135096,ad-26-431-g002.jpg,789,558
PMC4306265,poljradiol-80-36-g003.jpg,780,608
PMC4306265,poljradiol-80-36-g001.jpg,780,536
PMC4306265,poljradiol-80-36-g002.jpg,800,836
PMC4033548,CRID2014-934593.006.jpg,600,1470
PMC4033548,CRID2014-934593.008.jpg,600,1064
PMC4033548,CRID2014-934593.003.jpg,600,1513
PMC4033548,CRID2014-934593.005.jpg,546,749
PMC4033548,CRID2014-934593.010.jpg,600,518
PMC4033548,CRID2014-934593.001.jpg,600,1536
PMC4033548,CRID2014-934593.011.jpg,600,1342
PMC4033548,CRID2014-934593.004.jpg,600,313
PMC4033548,CRID2014-934593.009.jpg,600,413
PMC4033548,CRID2014-934593.002.jpg,600,396
PMC4033548,CRID2014-934593.007.jpg,600,1791
PMC4513410,IDOJ-6-277-g003.jpg,582,725
PMC4513410,IDOJ-6-277-g001.jpg,539,361
PMC4513410,IDOJ-6-277-g002.jpg,539,347
PMC5293289,gox-5-e1122-g004.jpg,800,492
PMC5293289,gox-5-e1122-g003.jpg,800,541
PMC5293289,gox-5-e1122-g005.jpg,800,600
PMC5293289,gox-5-e1122-g002.jpg,800,600
PMC5293289,gox-5-e1122-g001.jpg,800,600
PMC5482909,CG-CGCR170047F002.jpg,812,305
PMC5482909,CG-CGCR170047F001.jpg,693,695
PMC5174169,CRIPA2016-1908767.002.jpg,752,636
PMC5174169,CRIPA2016-1908767.001.jpg,747,274
PMC5174169,CRIPA2016-1908767.003.jpg,749,544
PMC5778560,IJO-66-163-g005.jpg,539,250
PMC5778560,IJO-66-163-g001.jpg,539,245
PMC5778560,IJO-66-163-g004.jpg,539,522
PMC5778560,IJO-66-163-g003.jpg,539,304
PMC5778560,IJO-66-163-g002.jpg,539,249
PMC5752816,IJABMR-7-269-g004.jpg,742,587
PMC5752816,IJABMR-7-269-g005.jpg,1010,188
PMC5752816,IJABMR-7-269-g001.jpg,740,587
PMC5752816,IJABMR-7-269-g002.jpg,660,586
PMC5752816,IJABMR-7-269-g003.jpg,539,383
PMC5993900,IJMS-43-336-g001.jpg,718,732
PMC5993900,IJMS-43-336-g002.jpg,545,488
PMC5768252,10.1177_2050313X17752851-img1.jpg,61,61
PMC5768252,10.1177_2050313X17752851-fig1.jpg,764,251
PMC5768252,10.1177_2050313X17752851-fig2.jpg,724,229
PMC6114222,JOCR-8-23-g001.jpg,582,499
PMC6239024,10.1177_2473974X17699795-fig1.jpg,667,466
PMC6239024,10.1177_2473974X17699795-fig2.jpg,667,661
PMC6303989,13256_2018_1898_Fig1_HTML.jpg,709,481
PMC6303989,13256_2018_1898_Fig3_HTML.jpg,597,440
PMC6303989,13256_2018_1898_Fig2_HTML.jpg,709,199
PMC6506812,gr2.jpg,787,356
PMC6506812,gr4.jpg,669,503
PMC6506812,gr3.jpg,669,499
PMC6506812,gr5.jpg,669,502
PMC6506812,gr1.jpg,787,283
PMC6505432,acfs-2018-02208f1.jpg,632,482
PMC6505432,acfs-2018-02208f3.jpg,631,355
PMC6505432,acfs-2018-02208f5.jpg,632,352
PMC6505432,acfs-2018-02208f2.jpg,634,415
PMC6505432,acfs-2018-02208f4.jpg,634,354
PMC6402412,eplasty19ic09_fig2.jpg,729,271
PMC6402412,eplasty19ic09_fig1.jpg,729,522
PMC6641681,medi-98-e16391-g004.jpg,800,252
PMC6641681,medi-98-e16391-g003.jpg,800,425
PMC6641681,medi-98-e16391-g001.jpg,800,874
