pmcid,label,caption,graphic
PMC4103265,Figure 1,"Gel electrophoresis (7 is the positive control, 8 is a negative control, 6 is the block of 88-775 (wart) 1,5,9 are seborrheic keratosis (negative result), 2,10,11 are nevus sebaceous (negative result), 3,4 are inverted follicular keratosis (negative result), 12 is trichilemmoma (negative result))",IJD-59-334-g002
PMC4103265,Figure 2,"Gel electrophoresis (1 is a negative control, 2 is a positive control, 3,4,10 are inverted follicular keratosis negative result, 5,6,7,13 are seborrheic keratosis (negative result), 8,11,12 are nevus sebaceous (negative result) 9 is trichilemmoma (negative result))",IJD-59-334-g003
PMC4247895,Figure 1,"Pedunculated nodule, 8-12 mm in diameter, with a keratotic surface, in the upper lip midline skin",PAMJ-18-304-g001
PMC3881083,Figure 1.,"Exophytic, corneal brown lesion located in the left nostril.",dp0101a11g001r
PMC3881083,Figure 2.,A: Epithelial proliferation both above and below the level of residual epidermis (hematoxylin and eosin (H&E) stain); B: Keratin crypt formation at the surface of the lesion with hyperkeratotic epithelium and acanthosis (H&E stain); C: Epithelial proliferation containing a squamous eddy formation (H&E stain); D: High-power photomicrograph depicting base of inverted follicular keratosis with peripheral palisading of basaloid cells at the periphery of the tumor lobules and intercellular edema; E: Squamous eddy formation.,dp0101a11g002
PMC3881083,Figure 3.,Spontaneous regression of the inverted follicular keratosis,dp0101a11g003
PMC4886589,Figure 1,"Oval-round, gray-pink, solitary, verrucous, plaque lesion measuring 1.5 × 2.5 cm on the lateral side of the forehead",IDOJ-7-177-g001
PMC4886589,Figure 2,"Endophytic proliferation composed of basaloid and squamous cells (H and E, ×100)",IDOJ-7-177-g002
PMC4886589,Figure 3,A pseudoinfiltrative pattern with squamous cell area,IDOJ-7-177-g003
PMC4886589,Figure 4,Post-treatment appearance,IDOJ-7-177-g004
PMC4643351,Fig. 1,Pre-operative MRI revealed a well-demarcated cyst close to the hyoid bone. High signal intensity was found at the partial center in T1-weighted image and entirely at T2-weighted image. This was filmed using short TI inversion recovery imaging.,gr1
PMC4643351,Fig. 2,"Cystic structure or thyroid gland follicle, mucus component were not histopathologically detected, and inflammatory cells were mostly occupied; the latter resection sample is more scarred than the former. (Hematoxylin and eosin staining, 1.25× original magnification).",gr2
PMC4643351,Fig. 3,"Extraorally, approximately 10 mm suture was dehiscent at the submental region, and gentle pressure on the surrounding tissue produced suppurative drainage from the central punctum.",gr3
PMC4643351,Fig. 4,Periapical radiograph examination indicated 6 mm × 7 mm radiolucency at the apex of the left mandibular second molar.,gr4
PMC4643351,Fig. 5,Fistulography confirmed that the cutaneous lesion communicated with the periapex of the left mandibular molars.,gr5
PMC4643351,Fig. 6,The use of a sonde revealed that the tract was leading from the submental lesion to the apex of the left mandibular second molar.,gr6
PMC5718125,Figure 1A,Clinical photograph demonstrating a red papule on the right volar forearm near the antecubital fossa. [Copyright: ©2017 Hocker et al.],dp0704a09g001a
PMC5718125,Figure 1B,Clinical close-up photograph showing a 7 mm red papule. [Copyright: ©2017 Hocker et al.],dp0704a09g001b
PMC5718125,Figure 2,Contact non-polarized dermoscopy demonstrating hairpin vessels surrounded by a white structureless area. [Copyright: ©2017 Hocker et al.],dp0704a09g002
PMC5718125,Figure 3A,RCM mosaic (1.5 × 1.5 mm2) at the spinous and granular layers displaying an irregular honeycomb pattern. [Copyright: ©2017 Hocker et al.],dp0704a09g003a
PMC5718125,Figure 3B,RCM image (1×1mm2) at the dermo-epidermal junction showing bright-edged papillae. An irregular honeycomb pattern was identified in the adjacent spinous layer. [Copyright: ©2017 Hocker et al.],dp0704a09g003b
