pmid,pmcid,title,journal,insert_time,label,caption,graphic
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 1,Inverted follicular keratosis: lesion shows proliferative downgrowths of mature squamous epithelium with infundibular keratinization (H&E ×40). ,JSC2013-752864.001
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 2,Inverted follicular keratosis: higher magnification showing squamous eddies (H&E ×200). ,JSC2013-752864.002
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 3,"Bowen disease: Shave biopsy specimen showing mainly papillomatous epidermal lesion with hyperkeratotic horn. Inset: closer view of the underlying lesional epidermis shows cells with nuclear pleomorphism, prominent nucleoli, and frequent and abnormal mitotic figures. (H&E, ×20; Inset: ×400).",JSC2013-752864.003
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 4,"Pseudoepitheliomatous hyperplasia featuring acanthotic squamous epithelium showing irregular thick finger-like downgrowths into the underlying dermis. (H&E, ×20). ",JSC2013-752864.004
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 5,"Pseudoepitheliomatous hyperplasia: higher magnification view showing reactive-appearing squamous downgrowths with no significant cytologic atypia. The dermis shows mild chronic inflammation and granulation tissue formation (H&E, ×200).",JSC2013-752864.005
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 6,"Infundibulocystic hyperplasia: skin lesion showing follicular proliferative process with bland squamous cells and formation of dilated canals containing keratotic material. (H&E, ×40).",JSC2013-752864.006
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 7,"Infundibulocystic SCC: superficial areas showing infundibulocystic canals with deeper infiltrative squamous cell clusters featuring cellular atypia and mitoses (arrow). (H&E, ×100).",JSC2013-752864.007
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 8,"Verrucous hyperplasia: low power magnification view showing epidermal squamous proliferation with broad and superficial downgrowths of the epidermis. Overlying hyper-and parakeratosis is present. There is no atypia or koilocytes. (H&E, ×100).",JSC2013-752864.008
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 9,"Eccrine squamous syringometaplasia: bland appearing squamous islands in the dermis centered around eccrine lumina. Scattered lymphocytes are present in the surrounding dermis. (H&E, ×200). ",JSC2013-752864.009
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 10,Desmoplastic trichoepithelioma: macroscopic picture showing an ulcerative nodular lesion with raised rolled edges features which mimic SCC or BCC. ,JSC2013-752864.010
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 11,"Desmoplastic trichoepithelioma: low power magnification showing hyperplastic downgrowths of epidermis with cords of basaloid tumor cells arranged in a pseudoinfiltrative pattern. (H&E, ×40).",JSC2013-752864.011
23878739,PMC3708441,Simulators of squamous cell carcinoma of the skin: diagnostic challenges on small biopsies and clinicopathological correlation.,J Skin Cancer,2023-12-17-22-08-09,Figure 12,"Meningioma: medium power magnification showing syncytial sheets and whorls of tumor cells with bland nuclear features. The presence of nuclear pseudoinclusions, psammoma bodies and the absence of atypia allow the distinction from SCC. (H&E, ×200).",JSC2013-752864.012
