pmid,pmcid,title,journal,insert_time,has_targz
10983686,PMC3054666,Clinicopathologic study of Castleman's disease in Korea.,J Korean Med Sci,2023-12-17-22-16-19,True
11602023,PMC57813,"Mycobacterial and nonbacterial pulmonary complications in hospitalized patients with human immunodeficiency virus infection: a prospective, cohort study.",BMC Pulm Med,2023-12-17-22-16-19,True
12969507,PMC212557,An unusual presentation of Castleman's disease:a case report.,BMC Infect Dis,2023-12-17-22-16-19,True
16907973,PMC1586214,Affordable flow cytometry for enumeration of absolute CD4+ T-lymphocytes to identify subtype C HIV-1 infected adults requiring antiretroviral therapy (ART) and monitoring response to ART in a resource-limited setting.,J Transl Med,2023-12-17-22-16-19,True
17238276,PMC1626102,Quantitative membrane proteomics reveals new cellular targets of viral immune modulators.,PLoS Pathog,2023-12-17-22-16-19,True
17397260,PMC1839163,Systematic identification of cellular signals reactivating Kaposi sarcoma-associated herpesvirus.,PLoS Pathog,2023-12-17-22-16-19,True
17433107,PMC1857702,HHV-8 encoded LANA-1 alters the higher organization of the cell nucleus.,Mol Cancer,2023-12-17-22-16-19,True
17500590,PMC1876501,Identification of cellular genes targeted by KSHV-encoded microRNAs.,PLoS Pathog,2023-12-17-22-16-19,True
17907806,PMC1994968,Viral oncogene-induced DNA damage response is activated in Kaposi sarcoma tumorigenesis.,PLoS Pathog,2023-12-17-22-16-19,True
18208585,PMC2265259,Insights into pathogenic events of HIV-associated Kaposi sarcoma and immune reconstitution syndrome related Kaposi sarcoma.,Infect Agent Cancer,2023-12-17-22-16-19,True
18226270,PMC2275292,The prognostic significance of facial lymphoedema in HIV-seropositive subjects with Kaposi sarcoma.,AIDS Res Ther,2023-12-17-22-16-19,True
18426556,PMC2359738,The herpesvirus 8 encoded chemokines vCCL2 (vMIP-II) and vCCL3 (vMIP-III) target the human but not the murine lymphotactin receptor.,Virol J,2023-12-17-22-16-19,True
