pmcid,figure_name,width,height
PMC1876501,ppat.0030065.g003.jpg,447,505
PMC1876501,ppat.0030065.g004.jpg,402,459
PMC1876501,ppat.0030065.t002.jpg,714,425
PMC1876501,ppat.0030065.g001.jpg,669,232
PMC1876501,ppat.0030065.g002.jpg,519,1011
PMC1876501,ppat.0030065.g005.jpg,403,329
PMC1876501,ppat.0030065.t001.jpg,714,399
PMC212557,1471-2334-3-20-3.jpg,600,450
PMC212557,1471-2334-3-20-1.jpg,600,602
PMC212557,1471-2334-3-20-2.jpg,600,450
PMC1626102,ppat.0020107.g005.jpg,752,906
PMC1626102,ppat.0020107.g001.jpg,797,503
PMC1626102,ppat.0020107.g002.jpg,797,1254
PMC1626102,ppat.0020107.t001.jpg,740,600
PMC1626102,ppat.0020107.g006.jpg,644,676
PMC1626102,ppat.0020107.g003.jpg,787,498
PMC1626102,ppat.0020107.g004.jpg,784,948
PMC1839163,ppat.0030044.g007.jpg,447,645
PMC1839163,ppat.0030044.g005.jpg,671,402
PMC1839163,ppat.0030044.g003.jpg,448,163
PMC1839163,ppat.0030044.g002.jpg,447,291
PMC1839163,ppat.0030044.g001.jpg,403,1078
PMC1839163,ppat.0030044.g004.jpg,403,714
PMC1839163,ppat.0030044.g006.jpg,670,611
PMC1839163,ppat.0030044.t001.jpg,740,365
PMC1586214,1479-5876-4-33-1.jpg,600,494
PMC1586214,1479-5876-4-33-2.jpg,600,435
PMC2275292,1742-6405-5-2-5.jpg,600,450
PMC2275292,1742-6405-5-2-4.jpg,600,722
PMC2275292,1742-6405-5-2-3.jpg,600,393
PMC2275292,1742-6405-5-2-2.jpg,600,393
PMC2275292,1742-6405-5-2-6.jpg,381,527
PMC2275292,1742-6405-5-2-7.jpg,600,450
PMC2275292,1742-6405-5-2-1.jpg,600,433
PMC2359738,1743-422X-5-50-2.jpg,600,788
PMC2359738,1743-422X-5-50-1.jpg,600,102
PMC2359738,1743-422X-5-50-3.jpg,600,748
PMC2359738,1743-422X-5-50-4.jpg,600,553
PMC2423475,pone.0002505.g001.jpg,425,412
PMC2423475,pone.0002505.t001.jpg,657,335
PMC2423475,pone.0002505.t003.jpg,492,379
PMC2423475,pone.0002505.t004.jpg,491,411
PMC2423475,pone.0002505.t005.jpg,493,879
PMC2423475,pone.0002505.t002.jpg,657,341
PMC1857702,1476-4598-6-28-14.jpg,600,369
PMC1857702,1476-4598-6-28-8.jpg,600,432
PMC1857702,1476-4598-6-28-5.jpg,600,245
PMC1857702,1476-4598-6-28-10.jpg,600,404
PMC1857702,1476-4598-6-28-3.jpg,480,951
PMC1857702,1476-4598-6-28-1.jpg,600,257
PMC1857702,1476-4598-6-28-12.jpg,600,470
PMC1857702,1476-4598-6-28-7.jpg,600,332
PMC1857702,1476-4598-6-28-13.jpg,600,508
PMC1857702,1476-4598-6-28-11.jpg,600,192
PMC1857702,1476-4598-6-28-6.jpg,600,1175
PMC1857702,1476-4598-6-28-4.jpg,600,521
PMC1857702,1476-4598-6-28-2.jpg,600,426
PMC1857702,1476-4598-6-28-9.jpg,600,392
PMC2515841,1472-6890-8-7-2.jpg,600,600
PMC2515841,1472-6890-8-7-1.jpg,600,600
PMC2515841,1472-6890-8-7-4.jpg,600,551
PMC2515841,1472-6890-8-7-3.jpg,600,600
PMC2528138,6604520f2.jpg,783,557
PMC2528138,6604520f1.jpg,799,558
PMC2538530,1477-7819-6-94-3.jpg,600,600
PMC2538530,1477-7819-6-94-1.jpg,512,512
PMC2538530,1477-7819-6-94-2.jpg,600,600
PMC2585090,1756-0500-1-82-2.jpg,600,600
PMC2585090,1756-0500-1-82-1.jpg,600,600
PMC2585090,1756-0500-1-82-3.jpg,600,600
PMC2633277,1475-2867-8-14-1.jpg,600,424
PMC2627819,1757-1626-2-5-1.jpg,600,395
PMC2627819,1757-1626-2-5-3.jpg,600,440
PMC2627819,1757-1626-2-5-2.jpg,600,454
PMC2526984,1746-1596-3-31-4.jpg,600,443
PMC2526984,1746-1596-3-31-2.jpg,600,451
PMC2526984,1746-1596-3-31-9.jpg,600,581
PMC2526984,1746-1596-3-31-3.jpg,600,450
PMC2526984,1746-1596-3-31-1.jpg,600,600
PMC2526984,1746-1596-3-31-8.jpg,600,450
PMC2526984,1746-1596-3-31-18.jpg,600,446
PMC2526984,1746-1596-3-31-12.jpg,600,445
PMC2526984,1746-1596-3-31-14.jpg,600,343
PMC2526984,1746-1596-3-31-19.jpg,600,446
PMC2526984,1746-1596-3-31-17.jpg,600,540
PMC2526984,1746-1596-3-31-7.jpg,600,600
PMC2526984,1746-1596-3-31-21.jpg,600,450
PMC2526984,1746-1596-3-31-16.jpg,391,667
PMC2526984,1746-1596-3-31-11.jpg,600,445
PMC2526984,1746-1596-3-31-13.jpg,600,343
PMC2526984,1746-1596-3-31-10.jpg,600,626
PMC2526984,1746-1596-3-31-6.jpg,600,446
PMC2526984,1746-1596-3-31-15.jpg,600,450
PMC2526984,1746-1596-3-31-20.jpg,600,446
PMC2526984,1746-1596-3-31-5.jpg,600,450
PMC2625442,pone.0004222.g003.jpg,449,259
PMC2625442,pone.0004222.g004.jpg,656,472
PMC2625442,pone.0004222.t003.jpg,657,356
PMC2625442,pone.0004222.t001.jpg,657,383
PMC2625442,pone.0004222.g002.jpg,449,339
PMC2625442,pone.0004222.t002.jpg,657,350
PMC2625442,pone.0004222.g001.jpg,529,329
PMC2653754,6604923f1.jpg,465,554
PMC2667414,1750-9378-4-4-1.jpg,600,407
PMC2671441,08-1488-F.jpg,480,451
PMC2682704,pone.0005613.t002.jpg,657,252
PMC2682704,pone.0005613.g001.jpg,498,536
PMC2682704,pone.0005613.t001.jpg,492,484
PMC1994968,ppat.0030140.g002.jpg,669,430
PMC1994968,ppat.0030140.g006.jpg,669,449
PMC1994968,ppat.0030140.g003.jpg,446,589
PMC1994968,ppat.0030140.g001.jpg,607,818
PMC1994968,ppat.0030140.g005.jpg,669,607
PMC1994968,ppat.0030140.g004.jpg,669,558
PMC2720383,1750-1172-4-18-4.jpg,600,414
PMC2720383,1750-1172-4-18-7.jpg,600,245
PMC2720383,1750-1172-4-18-6.jpg,600,401
PMC2720383,1750-1172-4-18-9.jpg,600,209
PMC2720383,1750-1172-4-18-1.jpg,600,220
PMC2720383,1750-1172-4-18-2.jpg,600,400
PMC2720383,1750-1172-4-18-5.jpg,600,426
PMC2720383,1750-1172-4-18-3.jpg,600,369
PMC2720383,1750-1172-4-18-8.jpg,600,573
PMC2752788,jkms-24-970-g001.jpg,635,216
PMC2752788,jkms-24-970-g002.jpg,635,435
PMC2752788,jkms-24-970-i001.jpg,420,194
PMC2752788,jkms-24-970-g003.jpg,453,136
PMC2663814,ppat.1000389.g005.jpg,498,1051
PMC2663814,ppat.1000389.t001.jpg,492,982
PMC2663814,ppat.1000389.g001.jpg,661,596
PMC2663814,ppat.1000389.g002.jpg,661,662
PMC2663814,ppat.1000389.g003.jpg,560,624
PMC2663814,ppat.1000389.g004.jpg,498,277
PMC2799672,pone.0008621.g003.jpg,478,351
PMC2799672,pone.0008621.g002.jpg,478,322
PMC2799672,pone.0008621.g001.jpg,478,328
PMC2751827,ppat.1000616.g005.jpg,400,270
PMC2751827,ppat.1000616.g004.jpg,465,685
PMC2751827,ppat.1000616.g002.jpg,536,686
PMC2751827,ppat.1000616.g001.jpg,451,883
PMC2751827,ppat.1000616.g003.jpg,585,669
PMC2879418,jncidjq134f01_lw.jpg,500,406
PMC2749101,zbc0380986320001.jpg,477,387
PMC2749101,zbc0380986320003.jpg,477,387
PMC2749101,zbc038098632005b.jpg,477,417
PMC2749101,zbc038098632005a.jpg,485,665
PMC2749101,zbc0380986320002.jpg,477,378
PMC2749101,zbc0380986320006.jpg,477,363
PMC2749101,zbc0380986320004.jpg,477,473
PMC2749101,sbox.jpg,21,20
PMC3352049,2047-783X-15-2-79-2.jpg,600,448
PMC3352049,2047-783X-15-2-79-1.jpg,600,399
PMC2895884,CJ-7-7-g006.jpg,657,331
PMC2895884,CJ-7-7-g002.jpg,547,547
PMC2895884,CJ-7-7-g008.jpg,547,546
PMC2895884,CJ-7-7-g004.jpg,787,593
PMC2895884,CJ-7-7-g003.jpg,547,546
PMC2895884,CJ-7-7-g005.jpg,740,342
PMC2895884,CJ-7-7-g007.jpg,661,546
PMC2895884,CJ-7-7-g001.jpg,561,546
PMC2992923,IJO-58-433-g001.jpg,771,157
PMC3294982,10-0381-F2.jpg,480,629
PMC3294982,10-0381-F1.jpg,480,275
PMC2908282,nihms187626f2.jpg,1050,712
PMC2908282,nihms187626f5.jpg,1050,625
PMC2908282,nihms187626f7.jpg,1050,935
PMC2908282,nihms187626f1.jpg,1050,915
PMC2908282,nihms187626f6.jpg,669,1050
PMC2908282,nihms187626f3.jpg,497,1050
PMC2908282,nihms187626f9.jpg,1050,665
PMC2908282,nihms187626f4.jpg,1050,744
PMC2908282,nihms187626f8.jpg,1050,620
PMC2988369,zbc0521040510002.jpg,477,686
PMC2988369,zbc0521040510005.jpg,477,403
PMC2988369,zbc0521040510004.jpg,477,705
PMC2988369,zbc0521040510001.jpg,477,257
PMC2988369,zbc0521040510003.jpg,477,606
PMC2964585,JEM_20101597R_GS_Fig3.jpg,419,252
PMC2964585,JEM_20101597_GS_Fig2.jpg,400,256
PMC2964585,JEM_20101597_RGB_Fig1.jpg,400,191
PMC2980479,pone.0013936.g003.jpg,498,366
PMC2980479,pone.0013936.t001.jpg,656,536
PMC2980479,pone.0013936.g002.jpg,425,213
PMC2980479,pone.0013936.g001.jpg,425,225
PMC3014880,1750-9378-5-23-1.jpg,600,660
PMC2880564,ppat.1000935.g001.jpg,652,239
PMC2880564,ppat.1000935.t001.jpg,491,342
PMC2880564,ppat.1000935.g009.jpg,484,783
PMC2880564,ppat.1000935.g002.jpg,653,801
PMC2880564,ppat.1000935.g003.jpg,652,604
PMC2880564,ppat.1000935.g007.jpg,653,762
PMC2880564,ppat.1000935.g005.jpg,463,244
PMC2880564,ppat.1000935.g008.jpg,652,639
PMC2880564,ppat.1000935.g006.jpg,653,693
PMC2880564,ppat.1000935.g004.jpg,463,628
PMC2880564,ppat.1000935.t002.jpg,657,341
PMC2999850,ijbsv06p0730g09.jpg,514,338
PMC2999850,ijbsv06p0730g05.jpg,521,724
PMC2999850,ijbsv06p0730g06.jpg,661,560
PMC2999850,ijbsv06p0730g07.jpg,562,868
PMC2999850,ijbsv06p0730g08.jpg,642,229
PMC2999850,ijbsv06p0730g01.jpg,769,298
PMC2999850,ijbsv06p0730g04.jpg,649,641
PMC2999850,ijbsv06p0730g03.jpg,563,843
PMC2999850,ijbsv06p0730g02.jpg,597,652
PMC3004209,cde0002-0032-f02.jpg,429,302
PMC3004209,cde0002-0032-f01.jpg,451,282
PMC3049575,6606088f1.jpg,484,616
