pmid,pmcid,title,journal,insert_time,has_targz
18629354,PMC2464749,Kaposiform hemangioendothelioma with distant lymphangiomatosis without an association to Kasabach-Merritt-Syndrome in a female adult!,Vasc Health Risk Manag,2023-12-17-22-16-20,True
21605441,PMC3118378,Kaposiform hemangioendothelioma in tonsil of a child associated with cervical lymphangioma: a rare case report.,World J Surg Oncol,2023-12-17-22-16-20,True
21772913,PMC3129083,Kaposiform hemangioendothelioma: report of a case unresponsive to usual medical treatments.,J Res Med Sci,2023-12-17-22-16-20,True
22279364,PMC3263038,Kasabach-Merritt syndrome with large cutaneous vascular tumors.,J Indian Assoc Pediatr Surg,2023-12-17-22-16-20,True
23227439,PMC3513847,Primary calvarial angiosarcoma: A case report and review of the literature.,Surg Neurol Int,2023-12-17-22-16-20,True
24575011,PMC3934804,Chemotherapy and surgical approach with repeated endovascular embolizations: safe interdisciplinary treatment for kasabach-merritt syndrome in a small baby.,Case Rep Oncol,2023-12-17-22-16-20,True
24855571,PMC4029251,Tufted hemangioma: clinical case and literature review.,Dermatol Pract Concept,2023-12-17-22-16-20,True
24963423,PMC4054805,Successful treatment of mild pediatric kasabach-merritt phenomenon with propranolol monotherapy.,Case Rep Hematol,2023-12-17-22-16-20,True
25336808,PMC4204251,A rare case of kaposiform hemangioendothelioma presenting as intussusception in a 4-month-old child without Kasabach-Merrit syndrome: A case report.,J Indian Assoc Pediatr Surg,2023-12-17-22-16-20,True
25550706,PMC4279012,Multifocal kaposiform hemangioendothelioma of soft tissue with bilateral pulmonary involvement in an adolescent.,Korean J Pediatr,2023-12-17-22-16-20,True
25692091,PMC4325701,The importance of early diagnosis and treatment of kaposiform hemangioendothelioma complicated by Kasabach-Merritt phenomenon.,Dermatol Pract Concept,2023-12-17-22-16-20,True
25755958,PMC4336109,Pancreatic kaposiform hemangioendothelioma presenting with duodenal obstruction and kasabach-merritt phenomenon: a neonate cured by whipple operation.,European J Pediatr Surg Rep,2023-12-17-22-16-20,True
26628813,PMC4586984,Kaposiform hemangioendothelioma with Kasabach-Merritt phenomenon in a neonate of life- and limb-threatening nature: A case report.,J Indian Assoc Pediatr Surg,2023-12-17-22-16-20,True
26871848,PMC4753944,"Abdominal Kaposiform Hemangioendothelioma Associated With Lymphangiomatosis Involving Mesentery and Ileum: A Case Report of MRI, CT, and 18F-FDG PET/CT Findings.",Medicine (Baltimore),2023-12-17-22-16-20,True
27065850,PMC4821154,Metastatic Angiosarcoma with Kasabach-Merritt Syndrome Responsive to Gemcitabine and Vinorelbine after Failure of Liposomal Doxorubicin and Paclitaxel: A Case Report.,Case Rep Oncol,2023-12-17-22-16-20,True
27134709,PMC4827646,A Case of Patch Stage of Kaposi's Sarcoma and Discussion of the Differential Diagnosis.,Rare Tumors,2023-12-17-22-16-20,True
27196448,PMC4902390,Clinical Outcomes for Systemic Corticosteroids Versus Vincristine in Treating Kaposiform Hemangioendothelioma and Tufted Angioma.,Medicine (Baltimore),2023-12-17-22-16-20,True
27721772,PMC5043218,Response to Paclitaxel in an Adult Patient with Advanced Kaposiform Hemangioendothelioma.,Case Rep Oncol,2023-12-17-22-16-20,True
27796340,PMC5087085,Interferon-alpha therapy for refractory kaposiform hemangioendothelioma: a single-center experience.,Sci Rep,2023-12-17-22-16-20,True
27829366,PMC5101728,Anesthestic management of Kassabach-Meritt Phenomenon in an adult: case report.,BMC Anesthesiol,2023-12-17-22-16-20,True
27981218,PMC5148769,Sirolimus for treatment of kaposiform hemangioendothelioma associated with Kasabach-Merritt phenomenon.,JAAD Case Rep,2023-12-17-22-16-20,True
28099595,PMC5193184,Exome sequence analysis of Kaposiform hemangioendothelioma: identification of putative driver mutations.,An Bras Dermatol,2023-12-17-22-16-20,True
28228957,PMC5308515,Surgical treatment of a huge kaposiform hemangioendothelioma in the chest wall: A case study.,SAGE Open Med Case Rep,2023-12-17-22-16-20,True
28579853,PMC5428202,Kasabach-Merritt Phenomenon: Classic Presentation and Management Options.,Clin Med Insights Blood Disord,2023-12-17-22-16-20,True
28761800,PMC5533608,Pancreatic Kaposiform Hemangioendothelioma Not Responding to Sirolimus.,European J Pediatr Surg Rep,2023-12-17-22-16-20,True
28906349,PMC5604618,Intestinal obstruction due to kaposiform hemangioendothelioma in a 1-month-old infant: A case report.,Medicine (Baltimore),2023-12-17-22-16-20,True
29151787,PMC5683828,Infantile hemangiomas: a 7-year experience of a single-center.,Clujul Med,2023-12-17-22-16-20,True
29693073,PMC5911980,Extracranial congenital malignant rhabdoid tumor in infant with disseminated disease: An uncommon entity and diagnostic challenge.,JAAD Case Rep,2023-12-17-22-16-20,True
29872523,PMC5977423,Impact of sirolimus treatment for refractory kaposiform hemangioendothelioma with exacerbation of the disease 10 years after initial diagnosis.,Rare Tumors,2023-12-17-22-16-20,True
30002799,PMC6039087,Successful Management of Kaposiform Hemangioendothelioma with Long-Term Sirolimus Treatment: a Case Report and Review of the Literature.,Mediterr J Hematol Infect Dis,2023-12-17-22-16-20,True
30023237,PMC6014259,"C-Kit, CD34 & α-SMA Immunohistochemical Features in Classic Kaposi Sarcoma and Kaposiform Hemangioendothelioma.",J Microsc Ultrastruct,2023-12-17-22-16-20,True
30233248,PMC6135070,Musculoskeletal complication in kaposiform hemangioendothelioma without Kasabach-Merritt phenomenon: clinical characteristics and management.,Cancer Manag Res,2023-12-17-22-16-20,True
30306121,PMC6172438,A rapidly growing violaceous tumor in a neonate.,JAAD Case Rep,2023-12-17-22-16-20,True
30466240,PMC6258975,Adult-onset kaposiform hemangioendothelioma with neurofibromatosis type 1: A case report and literature review.,Arch Plast Surg,2023-12-17-22-16-20,True
30896568,PMC6629349,A report on Kaposiform hemangioendothelioma in the cervical spine.,Chin Med J (Engl),2023-12-17-22-16-20,True
31044058,PMC6486652,Pediatric facial kaposiform hemangioendothelioma: a case report and review of the literature.,J Surg Case Rep,2023-12-17-22-16-20,True
31093393,PMC6476061,Kaposiform Hemangioendothelioma of the GI Tract: An Exception to Occam's Principle in an Adult with SBO.,Case Rep Oncol Med,2023-12-17-22-16-20,True
31277673,PMC6612206,Kaposiform lymphangiomatosis and kaposiform hemangioendothelioma: similarities and differences.,Orphanet J Rare Dis,2023-12-17-22-16-20,True
31452734,PMC6676569,Population pharmacokinetics of sirolimus in pediatric patients with kaposiform hemangioendothelioma: A retrospective study.,Oncol Lett,2023-12-17-22-16-20,True
31695833,PMC6823738,Congenital hemangioma of the face-Value of fetal MRI with prenatal ultrasound.,Radiol Case Rep,2023-12-17-22-16-20,True
