pmcid,figure_name,width,height
PMC2464749,vhrm0401-263-01.jpg,522,495
PMC3263038,JIAPS-17-33-g003.jpg,743,518
PMC3263038,JIAPS-17-33-g002.jpg,725,520
PMC3263038,JIAPS-17-33-g004.jpg,743,518
PMC3263038,JIAPS-17-33-g001.jpg,743,518
PMC3129083,JRMS-14-389-g003.jpg,693,580
PMC3129083,JRMS-14-389-g004.jpg,702,527
PMC3129083,JRMS-14-389-g001.jpg,705,529
PMC3129083,JRMS-14-389-g002.jpg,706,557
PMC3118378,1477-7819-9-57-1.jpg,600,661
PMC3118378,1477-7819-9-57-5.jpg,600,450
PMC3118378,1477-7819-9-57-2.jpg,600,549
PMC3118378,1477-7819-9-57-3.jpg,600,450
PMC3118378,1477-7819-9-57-4.jpg,600,450
PMC3513847,SNI-3-134-g006.jpg,556,543
PMC3513847,SNI-3-134-g001.jpg,742,536
PMC3513847,SNI-3-134-g004.jpg,742,385
PMC3513847,SNI-3-134-g005.jpg,701,806
PMC3513847,SNI-3-134-g003.jpg,536,537
PMC3513847,SNI-3-134-g002.jpg,742,536
PMC3934804,cro-0007-0023-g01.jpg,717,459
PMC3934804,cro-0007-0023-g03.jpg,717,569
PMC3934804,cro-0007-0023-g02.jpg,597,941
PMC4204251,JIAPS-19-233-g001.jpg,504,516
PMC4204251,JIAPS-19-233-g002.jpg,650,521
PMC4054805,CRIHEM2014-364693.002.jpg,600,317
PMC4054805,CRIHEM2014-364693.001.jpg,413,2691
PMC4029251,dp0402a06g005.jpg,666,501
PMC4029251,dp0402a06g004.jpg,666,501
PMC4029251,dp0402a06g002.jpg,666,501
PMC4029251,dp0402a06g006.jpg,675,169
PMC4029251,dp0402a06g003.jpg,666,501
PMC4029251,dp0402a06g001.jpg,666,469
PMC4325701,dp0501a18g001.jpg,800,434
PMC4586984,JIAPS-20-194-g002.jpg,367,569
PMC4586984,JIAPS-20-194-g001.jpg,762,569
PMC4279012,kjped-57-500-g003.jpg,773,216
PMC4279012,kjped-57-500-g002.jpg,779,503
PMC4279012,kjped-57-500-g004.jpg,751,422
PMC4279012,kjped-57-500-g001.jpg,759,659
PMC4336109,10-1055-s-0033-1361835-i130090cr-2.jpg,800,800
PMC4336109,10-1055-s-0033-1361835-i130090cr-3.jpg,786,800
PMC4336109,10-1055-s-0033-1361835-i130090cr-1.jpg,692,800
PMC4753944,medi-95-e2806-g003.jpg,800,633
PMC4753944,medi-95-e2806-g002.jpg,800,384
PMC4753944,medi-95-e2806-g001.jpg,800,669
PMC4821154,cro-0009-0177-g03.jpg,692,496
PMC4821154,cro-0009-0177-g02.jpg,754,289
PMC4821154,cro-0009-0177-g01.jpg,754,217
PMC4827646,rt-2016-1-6123-g001.jpg,500,373
PMC4827646,rt-2016-1-6123-g003.jpg,500,373
PMC4827646,rt-2016-1-6123-g002.jpg,500,371
PMC5043218,cro-0009-0481-g01.jpg,629,486
PMC5043218,cro-0009-0481-g02.jpg,629,538
PMC5087085,srep36261-f2.jpg,697,450
PMC5087085,srep36261-f1.jpg,697,264
PMC5087085,srep36261-f3.jpg,697,449
PMC4902390,medi-95-e3431-g008.jpg,800,363
PMC4902390,medi-95-e3431-g006.jpg,800,517
PMC4902390,medi-95-e3431-g002.jpg,1200,531
PMC4902390,medi-95-e3431-g001.jpg,800,449
PMC4902390,medi-95-e3431-g004.jpg,1200,485
PMC4902390,medi-95-e3431-g007.jpg,800,463
PMC4902390,medi-95-e3431-g005.jpg,1200,396
PMC4902390,medi-95-e3431-g003.jpg,800,651
PMC5101728,12871_2016_278_Fig4_HTML.jpg,472,123
PMC5101728,12871_2016_278_Fig3_HTML.jpg,358,343
PMC5101728,12871_2016_278_Fig2_HTML.jpg,358,202
