pmid,pmcid,title,journal,insert_time,label,caption,graphic
18629354,PMC2464749,Kaposiform hemangioendothelioma with distant lymphangiomatosis without an association to Kasabach-Merritt-Syndrome in a female adult!,Vasc Health Risk Manag,2023-12-17-22-16-20,Figure 1,"Immunohistology: immunohistochemical stainings for CD31 (A), CD34 (B), HHV8 (C), and D2-40 (D) of the chest tumor (immunoperoxidase, original magnification: A-C 40×, D 20×).",vhrm0401-263-01
21605441,PMC3118378,Kaposiform hemangioendothelioma in tonsil of a child associated with cervical lymphangioma: a rare case report.,World J Surg Oncol,2023-12-17-22-16-20,Figure 1,"Current clinical photograph of a swelling in the right side of neck (arrow), post tonsillectomy.",1477-7819-9-57-1
21605441,PMC3118378,Kaposiform hemangioendothelioma in tonsil of a child associated with cervical lymphangioma: a rare case report.,World J Surg Oncol,2023-12-17-22-16-20,Figure 2,Preoperative ultrasonography (USG) neck showing a tonsillar swelling in the right side.,1477-7819-9-57-2
21605441,PMC3118378,Kaposiform hemangioendothelioma in tonsil of a child associated with cervical lymphangioma: a rare case report.,World J Surg Oncol,2023-12-17-22-16-20,Figure 3,Post operative computed tomography (CT) scan imaging showing multiple fluid containing rim enhancing lesions in the right side of neck.,1477-7819-9-57-3
21605441,PMC3118378,Kaposiform hemangioendothelioma in tonsil of a child associated with cervical lymphangioma: a rare case report.,World J Surg Oncol,2023-12-17-22-16-20,Figure 4,"Kaposiform hemangioendothelioma of tonsil. A. Tonsillar epithelium with several dilated lymphatic spaces underneath reminiscent of lymphangioma along with nodules of spindle cells separated by fibrocollagenous stroma. H & E × 40. B. Higher magnification showing dilated lymphatic vessels containing lymph and lymphocytes. H & E × 200 C. Spindle cells in irregular fascicles with Kaposiform vascular pattern, slit-like vessels and extravasated red blood cells (RBC's). H & E × 200. D. Higher magnification showing slit-like crescentic capillaries within spindle cells, including single cells forming lumina and containing RBC's. H & E × 400. Upper Inset showing micro thrombi and eosinophilic bodies amid spindle shaped vascular cells. H & E × 1000. Lower Inset showing an eosinophilic body amid spindle cells. H & E × 1000.",1477-7819-9-57-4
21605441,PMC3118378,Kaposiform hemangioendothelioma in tonsil of a child associated with cervical lymphangioma: a rare case report.,World J Surg Oncol,2023-12-17-22-16-20,Figure 5,Immunohistochemical results. A. CD34 positivity within infiltrating tumor nodules separated by desmoplastic stroma and negativity in lymphatic vessels (arrows). 3'-3'-diaminobenzidine tetrahydrochloride. (DAB) × 40. B. Nodules of infiltrating spindle cells showing immunoreactivity to CD34. A vessel showing CD34 positivity is noted (arrow). DAB × 200. C. Higher magnification showing diffuse positivity with CD34. DAB × 400.D. CD31 positivity discretely within spindle-shaped tumor cells. DAB × 400.E. Focal SMA positivity within pericytic cells. DAB × 200.,1477-7819-9-57-5
21772913,PMC3129083,Kaposiform hemangioendothelioma: report of a case unresponsive to usual medical treatments.,J Res Med Sci,2023-12-17-22-16-20,Figure 1,Bulky red mass on the left arm of neonate,JRMS-14-389-g001
21772913,PMC3129083,Kaposiform hemangioendothelioma: report of a case unresponsive to usual medical treatments.,J Res Med Sci,2023-12-17-22-16-20,Figure 2,Mixture of small capillary size vessels that blend with slit-like vessels (×20 objective),JRMS-14-389-g002
21772913,PMC3129083,Kaposiform hemangioendothelioma: report of a case unresponsive to usual medical treatments.,J Res Med Sci,2023-12-17-22-16-20,Figure 3,Red blood cell fragments were identified between the spindle endothelial cells of kaposiform areas (× 40 objective),JRMS-14-389-g003
21772913,PMC3129083,Kaposiform hemangioendothelioma: report of a case unresponsive to usual medical treatments.,J Res Med Sci,2023-12-17-22-16-20,Figure 4,CD34 positive endothelial cells (× 40 objective),JRMS-14-389-g004
