pmid,pmcid,title,journal,insert_time,has_targz,disease
12445328,PMC138803,Phenotypic differences between dermal fibroblasts from different body sites determine their responses to tension and TGFbeta1.,BMC Dermatol,2023-12-17-22-03-14,True,NotMatch
14887625,PMC5288013,Keloid and self administration of adrenaline.,Edinb Med J,2023-12-17-22-03-14,True,Match
16623939,PMC1562439,Case report and summary of literature: giant perineal keloids treated with post-excisional radiotherapy.,BMC Dermatol,2023-12-17-22-03-14,True,Match
17352809,PMC1828721,Combination of surgical excision and custom designed silicon pressure splint therapy for keloids on the helical rim.,Head Face Med,2023-12-17-22-03-14,True,Match
17722265,PMC2426758,Silk-fibroin-coated liposomes for long-term and targeted drug delivery.,Int J Nanomedicine,2023-12-17-22-03-14,True,NotMatch
18237399,PMC2268708,Equine CTNNB1 and PECAM1 nucleotide structure and expression analyses in an experimental model of normal and pathological wound repair.,BMC Physiol,2023-12-17-22-03-14,True,NotMatch
18294403,PMC2267204,A case of unilateral keloid after bilateral breast reduction.,Int Semin Surg Oncol,2023-12-17-22-03-14,True,Match
18463712,PMC2311454,RAC activity in keloid disease: comparative analysis of fibroblasts from margin of keloid to its surrounding normal skin.,Eplasty,2023-12-17-22-03-14,True,Match
19399279,PMC2672137,Erosive arthropathy with osteolysis as a typical feature in polyfibromatosis syndrome: a case report and a review of the literature.,J Korean Med Sci,2023-12-17-22-03-14,True,NotMatch
19432814,PMC3828849,Hepatoma-derived growth factor and its role in keloid pathogenesis.,J Cell Mol Med,2023-12-17-22-03-14,True,Match
19638218,PMC2724379,Description of familial keloids in five pedigrees: evidence for autosomal dominant inheritance and phenotypic heterogeneity.,BMC Dermatol,2023-12-17-22-03-14,True,Match
19753193,PMC2739539,"A prospective clinical review of ""multi model"" approach for treating ear keloids.",Indian J Plast Surg,2023-12-17-22-03-14,True,Match
19863817,PMC2774319,Telomere shortening may be associated with human keloids.,BMC Med Genet,2023-12-17-22-03-14,True,Match
19907660,PMC2771422,Tumor-like stem cells derived from human keloid are governed by the inflammatory niche driven by IL-17/IL-6 axis.,PLoS One,2023-12-17-22-03-14,True,Match
20418938,PMC2851107,Identification of novel keloid biomarkers through profiling of tissue biopsies versus cell cultures in keloid margin specimens compared to adjacent normal skin.,Eplasty,2023-12-17-22-03-14,True,Match
20642475,PMC3504979,"Characterization of hyaluronan and TSG-6 in skin scarring: differential distribution in keloid scars, normal scars and unscarred skin.",J Eur Acad Dermatol Venereol,2023-12-17-22-03-14,True,Match
20740205,PMC2920008,Diabetic Mastopathy: A Case Report and Literature Review.,Case Rep Oncol,2023-12-17-22-03-14,True,NotMatch
20968196,PMC3019047,"Overview about the keloid scars and the elaboration of a non-invasive, unconventional treatment.",J Med Life,2023-12-17-22-03-14,True,Match
21122137,PMC3009623,Presentation and management of keloid scarring following median sternotomy: a case study.,J Cardiothorac Surg,2023-12-17-22-03-14,True,Match
21203463,PMC3009728,Circadian disruption accelerates tumor growth and angio/stromagenesis through a Wnt signaling pathway.,PLoS One,2023-12-17-22-03-14,True,NotMatch
21436892,PMC3060056,Telomere dynamics in keloids.,Eplasty,2023-12-17-22-03-14,True,Match
21489249,PMC3094374,Management of chest keloids.,J Cardiothorac Surg,2023-12-17-22-03-14,True,Match
21535890,PMC3094296,Insights gained from the reverse engineering of gene networks in keloid fibroblasts.,Theor Biol Med Model,2023-12-17-22-03-14,True,Match
21559318,PMC3086522,Heat shock proteins modulate keloid formation.,Eplasty,2023-12-17-22-03-14,True,Match
21572673,PMC3081479,Effect of carbon dioxide laser ablation followed by intralesional steroids on keloids.,J Cutan Aesthet Surg,2023-12-17-22-03-14,True,Match
21655048,PMC3102826,Conventional Epi-LASIK and lamellar epithelial debridement in myopic patients with dermatologic keloids.,Korean J Ophthalmol,2023-12-17-22-03-14,True,Match
21860560,PMC3154345,Effects of hepatocyte growth factor on collagen synthesis and matrix metalloproteinase production in keloids.,J Korean Med Sci,2023-12-17-22-03-14,True,Match
21938132,PMC3168053,Unusual formation of keloids after each episode of recurrent herpes zoster in an HIV positive patient.,Indian J Sex Transm Dis AIDS,2023-12-17-22-03-14,True,Match
21943200,PMC3224358,Antiproliferative effect of methanolic extraction of tualang honey on human keloid fibroblasts.,BMC Complement Altern Med,2023-12-17-22-03-14,True,Match
21986318,PMC3313695,Possible involvement of NEDD4 in keloid formation; its critical role in fibroblast proliferation and collagen production.,Proc Jpn Acad Ser B Phys Biol Sci,2023-12-17-22-03-14,True,Match
22084557,PMC3213730,Mycobacteria in keloid.,Lung India,2023-12-17-22-03-14,True,Match
22091340,PMC3214283,Tuberculosis verrucosa cutis developing over a keloid: a rare presentation.,J Surg Tech Case Rep,2023-12-17-22-03-14,True,Match
22096339,PMC3210074,Occupational chemical burns: a 2-year experience in the emergency department.,J Multidiscip Healthc,2023-12-17-22-03-14,True,NotMatch
22114431,PMC3220147,An unusual sucking habit in a child.,Contemp Clin Dent,2023-12-17-22-03-14,True,NotMatch
22148035,PMC3229050,Linear focal elastosis following striae distensae: further evidence of keloidal repair process in the pathogenesis of linear focal elastosis.,Ann Dermatol,2023-12-17-22-03-14,True,Match
22219571,PMC3249712,Multifocal keloids associated with Mycobacterium fortuitum following intralesional steroid therapy.,J Lab Physicians,2023-12-17-22-03-14,True,Match
22298115,PMC6268744,Effects of the cyclin-dependent kinase 10 (CDK10) on the tamoxifen sensitivity of keloid samples.,Molecules,2023-12-17-22-03-14,True,Match
22536458,PMC3331576,LETTER TO THE EDITOR Abnormal Responses of Keloid Tissue to Wounding Identified Using In Vitro Model System.,Eplasty,2023-12-17-22-03-14,True,Match
22577497,PMC3348684,Open reduction and internal fixation of displaced clavicle fractures in adolescents.,Orthop Rev (Pavia),2023-12-17-22-03-14,True,NotMatch
22606599,PMC3350220,Primary cutaneous melanoma arising in a long-standing irradiated keloid.,Case Rep Surg,2023-12-17-22-03-14,True,Match
22690265,PMC3370405,The keloid strikes back.,Eplasty,2023-12-17-22-03-14,True,Match
22754684,PMC3385800,"Flap outcome using ""c"" shaped and ""new"" incisions in pediatric cochlear implantation.",Iran Red Crescent Med J,2023-12-17-22-03-14,True,NotMatch
22783524,PMC3385329,"Keloid scarring: understanding the genetic basis, advances, and prospects.",Arch Plast Surg,2023-12-17-22-03-14,True,Match
22844620,PMC3400329,Management of unilateral masseter hypertrophy and hypertrophic scar-a case report.,Case Rep Dent,2023-12-17-22-03-14,True,NotMatch
22893785,PMC3417776,The sternalis muscle-incidental finding of a rare chest wall muscle variant during keloid excision-chest wall reconstruction.,Eplasty,2023-12-17-22-03-14,True,Match
22984682,PMC3429888,Therapeutic results and safety of postoperative radiotherapy for keloid after repeated Cesarean section in immediate postpartum period.,Radiat Oncol J,2023-12-17-22-03-14,True,Match
23056831,PMC3446130,A repot of surgical complications in a series of 262 consecutive pediatric cochlear implantations in iran.,Iran J Pediatr,2023-12-17-22-03-14,True,NotMatch
23114500,PMC3534582,"Common threads in cardiac fibrosis, infarct scar formation, and wound healing.",Fibrogenesis Tissue Repair,2023-12-17-22-03-14,True,NotMatch
