pmcid,figure_name,width,height
PMC1562439,1471-5945-6-7-2.jpg,600,464
PMC1562439,1471-5945-6-7-1.jpg,600,781
PMC1562439,1471-5945-6-7-3.jpg,600,627
PMC138803,1471-5945-2-13-4.jpg,600,549
PMC138803,1471-5945-2-13-1.jpg,600,519
PMC138803,1471-5945-2-13-5.jpg,600,849
PMC138803,1471-5945-2-13-6.jpg,600,374
PMC138803,1471-5945-2-13-7.jpg,600,909
PMC138803,1471-5945-2-13-2.jpg,600,800
PMC138803,1471-5945-2-13-3.jpg,600,366
PMC2426758,nano0101-81-01.jpg,621,364
PMC2426758,nano0101-81-02.jpg,628,414
PMC2426758,nano0101-81-03.jpg,620,450
PMC2426758,nano0101-81-04.jpg,621,512
PMC2426758,nano0101-81-06.jpg,423,354
PMC2426758,nano0101-81-05.jpg,630,467
PMC1828721,1746-160X-3-14-3.jpg,600,800
PMC1828721,1746-160X-3-14-4.jpg,600,996
PMC1828721,1746-160X-3-14-1.jpg,600,800
PMC1828721,1746-160X-3-14-2.jpg,600,450
PMC1828721,1746-160X-3-14-5.jpg,600,800
PMC2267204,1477-7800-5-3-2.jpg,600,398
PMC2267204,1477-7800-5-3-1.jpg,600,398
PMC5288013,edinbmedj74540-0050.jpg,717,1205
PMC5288013,edinbmedj74540-0051.jpg,717,1205
PMC5288013,edinbmedj74540-0052.jpg,717,1205
PMC5288013,edinbmedj74540-0052-a.jpg,727,569
PMC5288013,edinbmedj74540-0052-b.jpg,699,943
PMC5288013,edinbmedj74540-0053.jpg,717,1205
PMC2268708,1472-6793-8-1-4.jpg,600,451
PMC2268708,1472-6793-8-1-3.jpg,600,451
PMC2268708,1472-6793-8-1-1.jpg,600,486
PMC2268708,1472-6793-8-1-2.jpg,600,486
PMC2672137,jkms-24-326-g002.jpg,472,472
PMC2672137,jkms-24-326-g001.jpg,636,216
PMC2672137,jkms-24-326-i001.jpg,635,207
PMC2724379,1471-5945-9-8-1.jpg,600,505
PMC2724379,1471-5945-9-8-4.jpg,600,222
PMC2724379,1471-5945-9-8-3.jpg,600,600
PMC2724379,1471-5945-9-8-2.jpg,600,597
PMC2739539,IJPS-41-2-g002.jpg,427,314
PMC2739539,IJPS-41-2-g001.jpg,427,378
PMC2311454,eplasty08e19_fig2.jpg,494,1089
PMC2311454,eplasty08e19_fig3.jpg,530,377
PMC2311454,eplasty08e19_fig1.jpg,407,186
PMC2311454,eplasty08e19_fig4.jpg,523,420
PMC2774319,1471-2350-10-110-4.jpg,600,278
PMC2774319,1471-2350-10-110-1.jpg,600,272
PMC2774319,1471-2350-10-110-3.jpg,600,276
PMC2774319,1471-2350-10-110-2.jpg,484,577
PMC3828849,jcmm0014-1328-f3.jpg,480,685
PMC3828849,jcmm0014-1328-f6.jpg,480,261
PMC3828849,jcmm0014-1328-f4.jpg,360,626
PMC3828849,jcmm0014-1328-f5.jpg,480,1007
PMC3828849,jcmm0014-1328-f2.jpg,480,458
