pmcid,label,caption,graphic
PMC2808619,Fig. 1,LOH at chromosome region 10q (D10S185) in patient No. 10. The arrow indicates the reduction of signal intensity in tumor (T) DNA as compared with corresponding normal (N) DNA.,jkms-20-340-g001
PMC2408913,Figure 1,"Two subtypes of keratoacanthoma: (A) nKA revealing neither cellular nor nuclear atypia (H&E). (B) mKA showing prominent cellular and nuclear atypia of tumour cells (H&E). Immunohistochemical staining of microvessels using CD31-antibodies in KA. (C) nKA (counterstaining modified Masson-Goldner). (D) mKA, ‘hot spot’ in frame (t: tumour). (E) Endothelial staining in detail. VEGF expression: (F) VEGF protein localisation by immunohistochemistry in KA revealed a distribution with preference to differentiating cells. (G) Expression of VEGF-RNA revealed by radioactive in situ hybridisation in KA. VEGF anti-sense probe (dark field). (H) Corresponding sense probe control (dark field). Bar: 30 μm.",87-6600622f1
PMC2408913,Figure 2,Linear regression of the two vascular density parameters: manual count vs % area.,87-6600622f2
PMC2408913,Figure 3,"Vessel density in normal skin and KA and the subtypes of KA: nKA, mKA compared to late-stage SCCs (# P<0.001 significant vs skin, § P<0.05 significant vs skin using all pairwise multiple comparison).",87-6600622f3
PMC2526422,Fig. 1,"Expression of NGAL in normal human epidermal keratinocytes cultured in vitro. (A) RT-PCR analysis. Cells were differentiated by addition of 1.2 mM calcium for the indicated time points. Two micrograms of total RNAs were reverse transcribed with MMLV reverse transcriptase and used for PCR amplification. GAPDH was used as an internal control. (B) Immunoblot analysis. Cellular proteins (20 µg per lane) were separated on duplicate 15% polyacrylamide gels, and transferred onto nitrocellulose membranes. Each membrane was reacted with anti-NGAL antibody, and antiactin antibody as a loading control, respectively.",jkms-23-302-g001
PMC2526422,Fig. 2,"(A) Cells received fresh medium daily and conditioned medium were prepared. The amount of NGAL was measured by a specific ELISA method. The results are shown as mean values ±SEM of triplicate measurements (*p<0.01 vs. control). (B) MMP-9 activity in conditioned medium. Samples of conditioned medium were run on 10% SDS-polyacrylamide gel containing 0.1% gelatin, under a non-reducing condition. After substrate digestion, the MMP-9 activity was visualized by Coomassie staining. The bands migrated to a location corresponding to a molecular mass of 92-kDa.",jkms-23-302-g002
PMC2526422,Fig. 3,"Immunohistochemistry analysis of NGAL expression in several skin diseases. Paraffin-embedded tissue sections of skin specimens were stained with anti-NGAL antibody. (A) Inflammatory disorders. LP, lichen planus; PRP, pityriasis rubura pilaris; PR, pityriasis rosea. (B) Skin cancers. KA, keratoacanthoma; SCC, squamous cell carcinoma; BCC, basal cell carcinoma.",jkms-23-302-g003
PMC4399544,FIGURE 1,"Initial aspect of the patient, showing a nodular exophytic lesion in the inferior lip, with superficial ulceration and partial brown-pigmented crust covering",1678-7757-jaos-17-03-0262-gf01
PMC4399544,FIGURE 2,"Representative aspects of the histological features observed in the initial biopsy. A Low-power view of the tissue section presenting epithelial proliferation and apparent invasion of the lamina propria in one of the fragment borders (arrow). [Hematoxylin-eosin stain, scale-bar = 1mm] B Detail of epithelial projections observed in the specimen presenting acanthosis (white bar), abrupt keratin pearl formation (black arrow), mild cellular pleomorphism in the basal layer (black star), occasional mitosis (white arrow), and moderate infiltrate by inflammatory cells (white star). [Hematoxylin-eosin stain, scale-bar = 125 μm]",1678-7757-jaos-17-03-0262-gf02
PMC4399544,FIGURE 3,"Clinical aspect of the lesion after the initial surgical intervention (biopsy), demonstrating partial regression compared to Figure 1
",1678-7757-jaos-17-03-0262-gf03
