pmcid,figure_name,width,height
PMC2808619,jkms-20-340-i001.jpg,421,329
PMC2808619,jkms-20-340-g001.jpg,465,110
PMC2408913,87-6600622f1.jpg,548,825
PMC2408913,87-6600622f2.jpg,317,229
PMC2408913,87-6600622f3.jpg,319,227
PMC2526422,jkms-23-302-g003.jpg,635,279
PMC2526422,jkms-23-302-g002.jpg,454,353
PMC2526422,jkms-23-302-g001.jpg,446,291
PMC4399544,1678-7757-jaos-17-03-0262-gf03.jpg,686,457
PMC4399544,1678-7757-jaos-17-03-0262-gf02.jpg,791,298
PMC4399544,1678-7757-jaos-17-03-0262-gf01.jpg,686,457
PMC4399544,1678-7757-jaos-17-03-0262-gf04.jpg,687,458
PMC2763752,IJD-53-199-g004.jpg,500,511
PMC2763752,IJD-53-199-g003.jpg,731,511
PMC2763752,IJD-53-199-g002.jpg,731,511
PMC2763752,IJD-53-199-g001.jpg,730,511
PMC2007866,brjcancer00390-0078-a.jpg,578,487
PMC2007866,brjcancer00390-0079-a.jpg,452,668
PMC2007866,brjcancer00390-0078-b.jpg,577,393
PMC3162267,ad-23-357-g003.jpg,632,209
PMC3162267,ad-23-357-g002.jpg,469,350
PMC3162267,ad-23-357-g004.jpg,469,350
PMC3162267,ad-23-357-g001.jpg,469,350
PMC3162267,ad-23-357-i001.jpg,665,314
PMC3027001,CRIM2010-431813.004.jpg,471,345
PMC3027001,CRIM2010-431813.001.jpg,465,250
PMC3027001,CRIM2010-431813.003.jpg,456,345
PMC3027001,CRIM2010-431813.002.jpg,685,846
PMC3179026,IJD-56-455-g001.jpg,747,520
PMC3179026,IJD-56-455-g002.jpg,644,520
PMC3179014,IJD-56-435-g002.jpg,745,538
PMC3179014,IJD-56-435-g003.jpg,744,539
PMC3179014,IJD-56-435-g001.jpg,670,368
PMC3391993,1479-5876-10-85-1.jpg,600,450
PMC3391993,1479-5876-10-85-2.jpg,567,348
PMC3335672,tropmed-86-741-g001.jpg,600,900
PMC3335672,tropmed-86-741-g003.jpg,500,341
PMC3335672,tropmed-86-741-g002.jpg,500,447
PMC6081109,asm-6-642f3.jpg,754,207
PMC6081109,asm-6-642f2.jpg,799,333
PMC6081109,asm-6-642f1.jpg,756,209
PMC3521415,CRIM.DM2012-158158.002.jpg,600,564
PMC3521415,CRIM.DM2012-158158.001.jpg,600,477
PMC3521415,CRIM.DM2012-158158.003.jpg,600,526
PMC3481809,IDOJ-2-121-g003.jpg,744,558
PMC3481809,IDOJ-2-121-g002.jpg,558,744
PMC3481809,IDOJ-2-121-g001.jpg,744,419
PMC3481809,IDOJ-2-121-g004.jpg,744,558
PMC3555381,IJD-58-74-g004.jpg,570,412
PMC3555381,IJD-58-74-g002.jpg,569,412
PMC3555381,IJD-58-74-g005.jpg,748,618
PMC3555381,IJD-58-74-g001.jpg,535,412
PMC3555381,IJD-58-74-g003.jpg,568,392
PMC3548846,pone.0054355.g003.jpg,696,482
PMC3548846,pone.0054355.g001.jpg,672,1134
PMC3548846,pone.0054355.g005.jpg,675,951
PMC3548846,pone.0054355.g002.jpg,698,413
PMC3548846,pone.0054355.g004.jpg,686,537
PMC3548846,pone.0054355.g006.jpg,759,647
PMC3683613,ejh-2013-1-e6-g003.jpg,500,180
PMC3683613,ejh-2013-1-e6-g004.jpg,500,184
PMC3683613,ejh-2013-1-e6-g001.jpg,500,185
PMC3683613,ejh-2013-1-e6-g005.jpg,500,186
PMC3683613,ejh-2013-1-e6-g002.jpg,500,185
PMC3683614,ejh-2013-1-e7-g003.jpg,500,148
PMC3683614,ejh-2013-1-e7-g001.jpg,500,356
PMC3683614,ejh-2013-1-e7-g002.jpg,500,352
PMC3617885,cde-0005-0069-g02.jpg,789,294
PMC3617885,cde-0005-0069-g01.jpg,788,584
PMC3597638,pone.0058721.g001.jpg,675,511
PMC3597638,pone.0058721.g002.jpg,697,529
PMC3597638,pone.0058721.g008.jpg,697,535
PMC3597638,pone.0058721.g010.jpg,697,535
PMC3597638,pone.0058721.g003.jpg,766,519
PMC3597638,pone.0058721.g005.jpg,697,543
PMC3597638,pone.0058721.g007.jpg,697,535
PMC3597638,pone.0058721.g006.jpg,672,537
PMC3597638,pone.0058721.g009.jpg,675,510
PMC3597638,pone.0058721.g011.jpg,746,514
PMC3597638,pone.0058721.g012.jpg,745,444
PMC3597638,pone.0058721.g004.jpg,738,387
PMC3663370,dp0204a03g003b.jpg,650,486
PMC3663370,dp0204a03g001a.jpg,650,490
PMC3663370,dp0204a03g003a.jpg,696,383
PMC3663370,dp0204a03g003c.jpg,650,502
PMC3663370,dp0204a03g003d.jpg,650,486
PMC3663370,dp0204a03g003e.jpg,650,486
PMC3663370,dp0204a03g002.jpg,666,500
PMC3663370,dp0204a03g001b.jpg,650,490
PMC3663386,dp0301a12g003.jpg,800,600
PMC3663386,dp0301a12f005a-b.jpg,672,595
PMC3663386,dp0301a12g001.jpg,666,534
PMC3663386,dp0301a12g004.jpg,800,679
PMC3663386,dp0301a12g002.jpg,666,763
PMC3672356,nihms-446774-f0003.jpg,603,603
PMC3672356,nihms-446774-f0004.jpg,787,153
PMC3672356,nihms-446774-f0001.jpg,777,653
PMC3672356,nihms-446774-f0002.jpg,788,773
PMC3752476,IDOJ-4-202-g001.jpg,545,273
PMC3752476,IDOJ-4-202-g002.jpg,545,369
PMC3774981,DM35-03-787130.001.jpg,600,533
PMC3747062,pone.0071887.g002.jpg,683,827
PMC3747062,pone.0071887.g003.jpg,620,1379
PMC3747062,pone.0071887.g004.jpg,683,753
PMC3747062,pone.0071887.g001.jpg,683,918
PMC3747062,pone.0071887.g005.jpg,683,607
PMC3870444,0392-100X-33-428-g001.jpg,600,448
PMC3870444,0392-100X-33-428-g002.jpg,756,564
PMC3884938,IJD-59-88-g002.jpg,619,446
PMC3884938,IJD-59-88-g004.jpg,619,448
PMC3884938,IJD-59-88-g001.jpg,618,448
PMC3884938,IJD-59-88-g003.jpg,618,448
PMC3909690,PAMJ-16-15-g001.jpg,454,537
PMC3884180,cde-0005-0272-g08.jpg,749,559
PMC3884180,cde-0005-0272-g09.jpg,749,681
PMC3884180,cde-0005-0272-g06.jpg,788,590
PMC3884180,cde-0005-0272-g04.jpg,788,593
PMC3884180,cde-0005-0272-g07.jpg,789,553
PMC3884180,cde-0005-0272-g02.jpg,788,590
PMC3884180,cde-0005-0272-g03.jpg,789,586
PMC3884180,cde-0005-0272-g01.jpg,749,593
PMC3884180,cde-0005-0272-g05.jpg,789,576
PMC4030000,1756-0500-7-257-2.jpg,600,429
PMC4030000,1756-0500-7-257-1.jpg,600,426
PMC4029247,dp0402a02g001.jpg,670,669
PMC4037668,ad-26-172-i002.jpg,1200,224
PMC4037668,ad-26-172-i001.jpg,1200,389
PMC4037668,ad-26-172-g001.jpg,789,194
PMC4097349,f1000research-3-4723-g0002.jpg,439,183
PMC4097349,f1000research-3-4723-g0001.jpg,829,661
PMC4097349,f1000research-3-4723-g0000.jpg,826,630
PMC3708441,JSC2013-752864.014.jpg,600,444
PMC3708441,JSC2013-752864.024.jpg,600,462
PMC3708441,JSC2013-752864.002.jpg,600,462
PMC3708441,JSC2013-752864.004.jpg,600,783
PMC3708441,JSC2013-752864.018.jpg,600,462
PMC3708441,JSC2013-752864.021.jpg,600,498
PMC3708441,JSC2013-752864.003.jpg,600,459
PMC3708441,JSC2013-752864.006.jpg,600,440
PMC3708441,JSC2013-752864.025.jpg,600,433
PMC3708441,JSC2013-752864.015.jpg,600,429
PMC3708441,JSC2013-752864.020.jpg,600,432
PMC3708441,JSC2013-752864.007.jpg,600,448
PMC3708441,JSC2013-752864.013.jpg,600,453
PMC3708441,JSC2013-752864.010.jpg,600,439
PMC3708441,JSC2013-752864.009.jpg,600,470
PMC3708441,JSC2013-752864.016.jpg,600,446
PMC3708441,JSC2013-752864.012.jpg,600,442
PMC3708441,JSC2013-752864.011.jpg,600,470
PMC3708441,JSC2013-752864.008.jpg,600,461
PMC3708441,JSC2013-752864.005.jpg,600,462
PMC3708441,JSC2013-752864.023.jpg,600,427
PMC3708441,JSC2013-752864.001.jpg,600,445
PMC3708441,JSC2013-752864.019.jpg,600,389
PMC3708441,JSC2013-752864.022.jpg,600,462
PMC3708441,JSC2013-752864.017.jpg,600,473
PMC4131996,dp0403a06g005.jpg,800,346
PMC4131996,dp0403a06g003.jpg,800,340
PMC4131996,dp0403a06g002.jpg,666,444
PMC4131996,dp0403a06g001.jpg,666,444
PMC4131996,dp0403a06g004.jpg,800,341
PMC4149899,jds-15-91-g002.jpg,752,190
PMC4149899,jds-15-91-g001.jpg,363,185
PMC4127547,cde-0006-0169-g04.jpg,717,535
PMC4127547,cde-0006-0169-g02.jpg,717,1073
PMC4127547,cde-0006-0169-g03.jpg,717,919
PMC4127547,cde-0006-0169-g01.jpg,717,1073
PMC4215900,pone.0110478.g001.jpg,662,651
PMC4215900,pone.0110478.t001.jpg,799,505
PMC3974217,ncomms4543-i1.jpg,800,800
PMC3974217,ncomms4543-f5.jpg,788,467
PMC3974217,ncomms4543-f7.jpg,788,840
PMC3974217,ncomms4543-f4.jpg,788,591
PMC3974217,ncomms4543-f2.jpg,788,694
PMC3974217,ncomms4543-f8.jpg,786,726
PMC3974217,ncomms4543-f3.jpg,788,686
PMC3974217,ncomms4543-f6.jpg,788,553
PMC3974217,ncomms4543-f1.jpg,788,711
PMC4190131,nihms-607342-f0005.jpg,800,476
PMC4190131,nihms-607342-f0004.jpg,800,554
PMC4190131,nihms-607342-f0002.jpg,758,478
PMC4190131,nihms-607342-f0001.jpg,800,443
PMC4190131,nihms-607342-f0003.jpg,800,442
PMC4190131,nihms-607342-f0006.jpg,785,583
PMC4397509,JMedLife-08-109-g001.jpg,779,395
PMC4397509,JMedLife-08-109-g003.jpg,744,404
PMC4397509,JMedLife-08-109-g002.jpg,749,352
PMC4211481,dr-2010-1-e1-g005.jpg,661,555
PMC4211481,dr-2010-1-e1-g003.jpg,661,715
PMC4211481,dr-2010-1-e1-g002.jpg,672,830
PMC4211481,dr-2010-1-e1-g007.jpg,659,470
PMC4211481,dr-2010-1-e1-g001.jpg,672,485
PMC4211481,dr-2010-1-e1-g006.jpg,659,598
PMC4211481,dr-2010-1-e1-g004.jpg,661,603
PMC4421447,ndtplussfr049f03_3c.jpg,776,585
PMC4421447,ndtplussfr049f02_3c.jpg,776,543
PMC4421447,ndtplussfr049f01_3c.jpg,640,557
PMC4616484,medi-94-e934-g001.jpg,800,601
PMC4616484,medi-94-e934-g004.jpg,800,248
PMC4616484,medi-94-e934-g005.jpg,800,309
PMC4616484,medi-94-e934-g003.jpg,800,470
PMC4616484,medi-94-e934-g002.jpg,800,600
PMC4427779,CRII2015-341898.005.jpg,744,442
PMC4427779,CRII2015-341898.004.jpg,750,750
PMC4427779,CRII2015-341898.003.jpg,567,869
PMC4427779,CRII2015-341898.002.jpg,738,736
PMC4427779,CRII2015-341898.001.jpg,750,884
PMC4513768,JIOH-7-132-g002.jpg,1200,402
PMC4513768,JIOH-7-132-g003.jpg,1200,639
PMC4513768,JIOH-7-132-g001.jpg,585,464
PMC4540534,abd-90-03-s1-0150-g03.jpg,771,451
PMC4540534,abd-90-03-s1-0150-g01.jpg,771,625
PMC4540534,abd-90-03-s1-0150-g02.jpg,600,404
PMC4598595,ejh-2015-3-2514-g001.jpg,500,247
PMC4628316,rjv13904.jpg,650,488
PMC4628316,rjv13901.jpg,650,488
PMC4628316,rjv13903.jpg,650,867
PMC4628316,rjv13902.jpg,650,867
PMC4681211,IJD-60-623-g003.jpg,539,199
PMC4681211,IJD-60-623-g002.jpg,472,586
PMC4681211,IJD-60-623-g001.jpg,621,587
PMC4635754,medi-94-e1552-g006.jpg,800,636
PMC4635754,medi-94-e1552-g001.jpg,800,419
PMC4635754,medi-94-e1552-g005.jpg,800,534
PMC4635754,medi-94-e1552-g003.jpg,800,512
PMC4635754,medi-94-e1552-g002.jpg,800,431
PMC4635754,medi-94-e1552-g007.jpg,800,301
PMC4635754,medi-94-e1552-g004.jpg,800,543
PMC4763622,IJD-61-106-g003.jpg,548,586
PMC4763622,IJD-61-106-g004.jpg,592,586
PMC4763622,IJD-61-106-g001.jpg,780,587
PMC4763622,IJD-61-106-g002.jpg,539,382
PMC4763623,IJD-61-107-g002.jpg,672,587
PMC4763623,IJD-61-107-g003.jpg,742,587
PMC4763623,IJD-61-107-g001.jpg,742,586
PMC4763623,IJD-61-107-g004.jpg,465,586
PMC4750532,IJO-48-03-1007-g06.jpg,602,1543
PMC4750532,IJO-48-03-1007-g00.jpg,602,1225
PMC4750532,IJO-48-03-1007-g03.jpg,602,884
PMC4750532,IJO-48-03-1007-g04.jpg,718,1027
PMC4750532,IJO-48-03-1007-g01.jpg,677,808
PMC4750532,IJO-48-03-1007-g02.jpg,677,1031
PMC4750532,IJO-48-03-1007-g05.jpg,602,1328
PMC4855796,12885_2016_2315_Fig1_HTML.jpg,567,581
PMC4809229,gr2.jpg,722,903
PMC4809229,gr4.jpg,722,542
PMC4809229,gr3.jpg,722,542
PMC4809229,gr1.jpg,722,995
PMC4377427,ad-27-237-g002.jpg,622,473
PMC4377427,ad-27-237-g001.jpg,733,373
PMC4927649,gr2.jpg,747,229
PMC4927649,gr1.jpg,711,343
PMC4885138,gr2.jpg,602,452
PMC4885138,gr4.jpg,602,454
PMC4885138,gr3.jpg,602,454
PMC4885138,gr5.jpg,602,452
PMC4885138,gr1.jpg,601,451
PMC5265949,medi-95-e4991-g001.jpg,1200,254
PMC5265949,medi-95-e4991-g002.jpg,800,357
PMC4936261,13000_2016_509_Fig3_HTML.jpg,567,174
PMC4936261,13000_2016_509_Fig1_HTML.jpg,567,173
