pmid,pmcid,title,journal,insert_time
20236545,PMC2846923,Kimura's disease with eosinophilic panniculitis--treated with cyclosporine: a case report.,Allergy Asthma Clin Immunol,2023-12-17-22-16-21
21423602,PMC3056317,Kimura disease: a case report and review of the literature with a new management protocol.,Int J Nephrol,2023-12-17-22-16-21
21487464,PMC3073756,A Long-Term Follow-Up of Angiolymphoid Hyperplasia with Eosinophilia Treated by Corticosteroids: When a Traditional Therapy is Still Up-to-Date.,Case Rep Dermatol,2023-12-17-22-16-21
23508372,PMC3593479,Microfilaria in lymph node mimicking Kimura disease.,Trop Parasitol,2023-12-17-22-16-21
23543681,PMC3596619,Kimura disease involving a caruncle.,Korean J Ophthalmol,2023-12-17-22-16-21
24574673,PMC3927356,"Kimura's disease - An unusual presentation involving subcutaneous tissue, parotid gland and lymph node.",J Oral Maxillofac Pathol,2023-12-17-22-16-21
25469188,PMC4247890,[Kimura disease in parotid location: about a case and review of the literature].,Pan Afr Med J,2023-12-17-22-16-21
25511019,PMC4274717,Kimura's disease of the lacrimal gland mimicking IgG4-related orbital disease.,BMC Ophthalmol,2023-12-17-22-16-21
25544928,PMC4259141,Kimura disease manifesting as synchronous bilateral parotid swelling in a young middle-eastern patient.,Case Rep Surg,2023-12-17-22-16-21
25928198,PMC4411654,Kimura disease accompanied with nephrotic syndrome in a 45-year-old male.,Diagn Pathol,2023-12-17-22-16-21
26831431,PMC4774079,Kimura disease: A rare case of bilateral infra-auricular masses.,Indian J Med Res,2023-12-17-22-16-21
26877967,PMC4714177,Remission of secondary membranous nephropathy in a patient with Kimura disease after surgical resection.,Kidney Res Clin Pract,2023-12-17-22-16-21
26905356,PMC4800898,Kimura disease: No age or ethnicity limit.,Saudi Med J,2023-12-17-22-16-21
27741124,PMC5072951,Concurrent Kimura disease and lupus nephritis: A case report.,Medicine (Baltimore),2023-12-17-22-16-21
28108473,PMC5537556,Expression of the interleukin-21 and phosphorylated extracellular signal regulated kinase 1/2 in Kimura disease.,J Clin Pathol,2023-12-17-22-16-21
28382271,PMC5380205,Acute Limb Ischemia and Coronary Artery Disease in a Case of Kimura's Disease.,Korean J Thorac Cardiovasc Surg,2023-12-17-22-16-21
28932783,PMC5594227,Treatment of Kimura disease with mycophenolate mofetil monotherapy.,JAAD Case Rep,2023-12-17-22-16-21
28946727,PMC5621826,A Rare Case of Kimura Disease with Bilateral Parotid Involvement.,Arch Plast Surg,2023-12-17-22-16-21
29094020,PMC5663750,Basophils are increased and express increased levels of interleukin-4 in the parotid lesions of Kimura disease.,Asia Pac Allergy,2023-12-17-22-16-21
29310412,PMC5728813,Kimura disease of buccal region in a pediatric patient with nephrotic syndrome: A case report.,Medicine (Baltimore),2023-12-17-22-16-21
29657623,PMC5894045,"Detailed Imaging Findings in a Rare Case of Kimura Disease, with Special Mention on Diffusion Weighted Imaging.",Pol J Radiol,2023-12-17-22-16-21
31086850,PMC6510362,Kimura disease: case report and brief review of literature.,Med Pharm Rep,2023-12-17-22-16-21
31198555,PMC6556853,Spontaneous intra-parotid pseudoaneurysm of the external carotid artery: A rare case report due to an unfrequent disease.,Ann Med Surg (Lond),2023-12-17-22-16-21
31681687,PMC6820387,Mepolizumab as an effective treatment for Kimura's disease associated with ulcerative colitis: A case report.,J Family Med Prim Care,2023-12-17-22-16-21
31786905,PMC7065985,Groin abnormalities: ultrasonographic and clinical findings.,Ultrasonography,2023-12-17-22-16-21
31852109,PMC6922356,Tissue-infiltrating immune cells contribute to understanding the pathogenesis of Kimura disease: A case report.,Medicine (Baltimore),2023-12-17-22-16-21
32180608,PMC7059481,A Rare Case of Kimura Disease.,Indian J Dermatol,2023-12-17-22-16-21
32363093,PMC7190463,Remission of Kimura Disease With Carotid Hypervascularization After Cyclosporine Treatment.,Dermatol Pract Concept,2023-12-17-22-16-21
32698293,PMC7332501,Buccal region's Kimura disease in a pediatric patient: A case report and review of the literatture.,Int J Surg Case Rep,2023-12-17-22-16-21
32733768,PMC7384504,Kimura Disease with Parotid Swelling and Cervical Lymphadenopathy: A Case Report and Literature Review.,Medeni Med J,2023-12-17-22-16-21
32850321,PMC7397819,Radiomics Based on CECT in Differentiating Kimura Disease From Lymph Node Metastases in Head and Neck: A Non-Invasive and Reliable Method.,Front Oncol,2023-12-17-22-16-21
32868502,PMC7546835,Kimura disease with a history of Budd-Chiari syndrome: a case report.,Chin Med J (Engl),2023-12-17-22-16-21
33006549,PMC8171204,Kimura Disease Associated with Minimal Change Disease.,Turk J Haematol,2023-12-17-22-16-21
33529498,PMC8006622,The diagnosis of a giant cardiac malignant lymphoma in the right ventricle: a case report.,ESC Heart Fail,2023-12-17-22-16-21
33826234,PMC8126751,Clinical Images: Kimura disease of the earlobe.,ACR Open Rheumatol,2023-12-17-22-16-21
33927850,PMC8057133,Kimura disease: a rare cause of a recurrent cheek mass in a Jamaican man.,J Surg Case Rep,2023-12-17-22-16-21
34095210,PMC8176203,Case Report: A Rare Case of Nasal Forehead Mass in Kimura's Disease.,Front Surg,2023-12-17-22-16-21
34250028,PMC8255657,Rituximab Treatment in a Patient with Kimura Disease and Membranous Nephropathy: Case Report.,Case Rep Nephrol Dial,2023-12-17-22-16-21
34354968,PMC8329340,"Case Report: Hyper IgE, but Not the Usual Suspects-Kimura Disease in an Adolescent Female.",Front Pediatr,2023-12-17-22-16-21
34484611,PMC8403908,Kimura disease of the upper lip: Case report.,J Dent Sci,2023-12-17-22-16-21
