pmcid,figure_name,width,height
PMC2846923,1710-1492-6-5-1.jpg,600,400
PMC2846923,1710-1492-6-5-2.jpg,519,459
PMC3073756,cde0003-0064-f02.jpg,418,282
PMC3073756,cde0003-0064-f01.jpg,413,624
PMC3593479,TP-1-119-g001.jpg,772,602
PMC3593479,TP-1-119-g003.jpg,690,622
PMC3593479,TP-1-119-g002.jpg,777,582
PMC3593479,TP-1-119-g004.jpg,745,559
PMC3593479,TP-1-119-g005.jpg,743,557
PMC3593479,TP-1-119-g006.jpg,745,559
PMC3056317,IJN2010-673908.003.jpg,745,577
PMC3056317,IJN2010-673908.002.jpg,757,601
PMC3056317,IJN2010-673908.001.jpg,751,691
PMC3927356,JOMFP-17-455-g005.jpg,1158,684
PMC3927356,JOMFP-17-455-g003.jpg,270,404
PMC3927356,JOMFP-17-455-g001.jpg,556,398
PMC3927356,JOMFP-17-455-g002.jpg,373,404
PMC3927356,JOMFP-17-455-g004.jpg,556,370
PMC4247890,PAMJ-18-294-g002.jpg,514,369
PMC4247890,PAMJ-18-294-g003.jpg,512,384
PMC4247890,PAMJ-18-294-g004.jpg,518,388
PMC4247890,PAMJ-18-294-g001.jpg,512,384
PMC4274717,12886_2014_515_Fig2_HTML.jpg,600,239
PMC4274717,12886_2014_515_Fig1_HTML.jpg,600,1615
PMC4411654,13000_2015_277_Fig2_HTML.jpg,472,388
PMC4411654,13000_2015_277_Fig1_HTML.jpg,358,256
PMC3596619,kjo-27-137-g004.jpg,662,527
PMC3596619,kjo-27-137-g005.jpg,689,272
PMC3596619,kjo-27-137-g003.jpg,665,529
PMC3596619,kjo-27-137-g001.jpg,670,455
PMC3596619,kjo-27-137-g002.jpg,663,531
PMC4259141,CRIS2014-648607.002.jpg,750,698
PMC4259141,CRIS2014-648607.004.jpg,750,571
PMC4259141,CRIS2014-648607.001.jpg,750,673
PMC4259141,CRIS2014-648607.005.jpg,750,571
PMC4259141,CRIS2014-648607.003.jpg,800,869
PMC4259141,CRIS2014-648607.006.jpg,750,571
PMC4259141,CRIS2014-648607.007.jpg,750,573
PMC4774079,IJMR-142-774-g001.jpg,651,473
PMC4774079,IJMR-142-774-g002.jpg,657,345
PMC4714177,gr2.jpg,746,371
PMC4714177,gr3.jpg,650,421
PMC4714177,gr1.jpg,745,223
PMC5072951,medi-95-e5086-g004.jpg,1200,526
PMC5072951,medi-95-e5086-g005.jpg,1200,278
PMC5072951,medi-95-e5086-g002.jpg,800,346
PMC5072951,medi-95-e5086-g001.jpg,800,1216
PMC5072951,medi-95-e5086-g003.jpg,800,1237
PMC5537556,jclinpath-2016-204096f01.jpg,789,746
PMC5537556,jclinpath-2016-204096f02.jpg,770,578
PMC4800898,SaudiMedJ-37-315-g002.jpg,622,566
PMC4800898,SaudiMedJ-37-315-g003.jpg,295,792
PMC4800898,SaudiMedJ-37-315-g001.jpg,317,431
PMC4800898,SaudiMedJ-37-315-g004.jpg,318,790
PMC4800898,SaudiMedJ-37-315-g005.jpg,331,365
PMC5594227,gr2.jpg,747,360
PMC5594227,gr1.jpg,711,319
PMC5621826,aps-2017-44-5-439f3.jpg,658,242
PMC5621826,aps-2017-44-5-439f1.jpg,674,337
PMC5621826,aps-2017-44-5-439f2.jpg,657,233
PMC5621826,aps-2017-44-5-439f4.jpg,625,414
PMC5663750,apa-7-221-g003.jpg,707,179
PMC5663750,apa-7-221-g002.jpg,707,175
PMC5663750,apa-7-221-g001.jpg,655,491
PMC5728813,medi-96-e8990-g001.jpg,800,404
PMC5728813,medi-96-e8990-g002.jpg,800,300
PMC5380205,kjtcvs-50-114f2.jpg,714,953
PMC5380205,kjtcvs-50-114f1.jpg,654,497
PMC5380205,kjtcvs-50-114f3.jpg,761,495
PMC6510362,cm-92-195f2.jpg,663,437
PMC6510362,cm-92-195f1.jpg,663,441
PMC6510362,cm-92-195f5.jpg,654,488
PMC6510362,cm-92-195f4.jpg,661,437
PMC6510362,cm-92-195f6.jpg,662,496
PMC6510362,cm-92-195f3.jpg,663,440
PMC6820387,JFMPC-8-3028-g004.jpg,539,359
PMC6820387,JFMPC-8-3028-g002.jpg,539,363
PMC6820387,JFMPC-8-3028-g003.jpg,539,359
PMC6820387,JFMPC-8-3028-g001.jpg,490,587
PMC5894045,PJR-82-903021-g011.jpg,775,604
PMC5894045,PJR-82-903021-g008.jpg,742,1121
PMC5894045,PJR-82-903021-g003.jpg,742,543
PMC5894045,PJR-82-903021-g004.jpg,742,543
PMC5894045,PJR-82-903021-g005.jpg,742,1012
PMC5894045,PJR-82-903021-g010.jpg,738,576
PMC5894045,PJR-82-903021-g002.jpg,742,543
PMC5894045,PJR-82-903021-g001.jpg,738,540
PMC5894045,PJR-82-903021-g007.jpg,742,542
PMC5894045,PJR-82-903021-g012.jpg,738,503
PMC5894045,PJR-82-903021-g009.jpg,742,543
PMC5894045,PJR-82-903021-g006.jpg,742,543
PMC5894045,PJR-82-903021-g013.jpg,738,504
PMC6556853,gr2.jpg,672,587
PMC6556853,gr4.jpg,791,856
PMC6556853,gr3.jpg,672,595
PMC6556853,gr1.jpg,791,563
PMC7059481,IJD-65-155-g005.jpg,481,585
PMC7059481,IJD-65-155-g002.jpg,538,147
PMC7059481,IJD-65-155-g001.jpg,538,332
PMC7059481,IJD-65-155-g003.jpg,605,116
PMC7059481,IJD-65-155-g004.jpg,605,175
PMC6922356,medi-98-e18300-g003.jpg,800,877
PMC6922356,medi-98-e18300-g001.jpg,800,463
PMC6922356,medi-98-e18300-g002.jpg,800,1336
PMC7190463,dp1002a30g002.jpg,800,1067
PMC7190463,dp1002a30g001.jpg,660,1050
PMC7065985,usg-19041f4.jpg,664,297
PMC7065985,usg-19041f17.jpg,681,514
PMC7065985,usg-19041f14.jpg,681,494
PMC7065985,usg-19041f12.jpg,663,400
PMC7065985,usg-19041f10.jpg,663,487
PMC7065985,usg-19041f8.jpg,751,572
PMC7065985,usg-19041f5.jpg,680,253
PMC7065985,usg-19041f18.jpg,681,496
PMC7065985,usg-19041f1.jpg,662,454
PMC7065985,usg-19041f6.jpg,662,477
PMC7065985,usg-19041f15.jpg,661,453
PMC7065985,usg-19041f16.jpg,680,502
PMC7065985,usg-19041f2.jpg,681,467
PMC7065985,usg-19041f19.jpg,681,517
PMC7065985,usg-19041f3.jpg,664,394
PMC7065985,usg-19041f9.jpg,752,495
PMC7065985,usg-19041f7.jpg,664,471
PMC7065985,usg-19041f13.jpg,664,455
PMC7065985,usg-19041f11.jpg,681,220
PMC7332501,gr2.jpg,669,841
PMC7332501,gr3.jpg,669,821
PMC7332501,gr1.jpg,669,893
PMC7546835,cm9-133-2392-g001.jpg,800,600
PMC8171204,TJH-38-165-g1.jpg,750,163
PMC7384504,MEDJ-35-170-f2.jpg,359,357
PMC7384504,MEDJ-35-170-f1.jpg,358,522
PMC7384504,MEDJ-35-170-f3.jpg,358,365
PMC7384504,MEDJ-35-170-f4.jpg,357,379
PMC7384504,MEDJ-35-170-f5.jpg,358,543
PMC8126751,ACR2-3-355-g001.jpg,709,255
PMC7397819,fonc-10-01121-g0008.jpg,795,338
PMC7397819,fonc-10-01121-g0007.jpg,656,304
PMC7397819,fonc-10-01121-g0002.jpg,710,248
PMC7397819,fonc-10-01121-g0003.jpg,793,373
PMC7397819,fonc-10-01121-g0005.jpg,656,658
PMC7397819,fonc-10-01121-g0004.jpg,792,365
PMC7397819,fonc-10-01121-g0001.jpg,795,448
PMC7397819,fonc-10-01121-g0006.jpg,661,365
PMC8057133,rjab100f4.jpg,475,156
PMC8057133,rjab100f1.jpg,475,161
PMC8057133,rjab100f2.jpg,475,180
PMC8057133,rjab100f3.jpg,475,314
PMC8176203,fsurg-08-672291-g0003.jpg,630,317
PMC8176203,fsurg-08-672291-g0001.jpg,630,630
PMC8176203,fsurg-08-672291-g0002.jpg,630,473
PMC8255657,cnd-0011-0116-g01.jpg,750,799
PMC8255657,cnd-0011-0116-g03.jpg,705,429
PMC8255657,cnd-0011-0116-g04.jpg,705,376
PMC8255657,cnd-0011-0116-g02.jpg,705,495
PMC8329340,fped-09-674317-g0002.jpg,708,272
PMC8329340,fped-09-674317-g0001.jpg,630,513
PMC8329340,fped-09-674317-g0003.jpg,630,425
PMC8403908,gr1.jpg,790,901
PMC8513784,fmed-08-720144-g0001.jpg,708,193
PMC8530722,cureus-0013-00000018178-i01.jpg,750,404
PMC8530722,cureus-0013-00000018178-i02.jpg,750,368
PMC8530722,cureus-0013-00000018178-i03.jpg,750,448
PMC9274332,ACR2-4-557-g001.jpg,512,181
PMC8993031,cureus-0014-00000023000-i01.jpg,750,1000
PMC8993031,cureus-0014-00000023000-i02.jpg,750,563
PMC8993031,cureus-0014-00000023000-i03.jpg,750,670
PMC8993031,cureus-0014-00000023000-i05.jpg,750,563
PMC8993031,cureus-0014-00000023000-i04.jpg,750,563
PMC10510610,TurkPatolojiDerg-37-10696-g006.jpg,789,457
PMC10510610,TurkPatolojiDerg-37-10696-g002.jpg,778,416
PMC10510610,TurkPatolojiDerg-37-10696-g003.jpg,786,273
PMC10510610,TurkPatolojiDerg-37-10696-g007.jpg,788,436
PMC10510610,TurkPatolojiDerg-37-10696-g005.jpg,711,356
PMC10510610,TurkPatolojiDerg-37-10696-g004.jpg,713,319
PMC10510610,TurkPatolojiDerg-37-10696-g001.jpg,758,571
PMC9167805,cureus-0014-00000024787-i06.jpg,750,1009
PMC9167805,cureus-0014-00000024787-i04.jpg,750,694
PMC9167805,cureus-0014-00000024787-i01.jpg,750,1174
PMC9167805,cureus-0014-00000024787-i03.jpg,750,694
PMC9167805,cureus-0014-00000024787-i02.jpg,750,568
PMC9167805,cureus-0014-00000024787-i05.jpg,750,1076
PMC9361620,12890_2022_2094_Fig1_HTML.jpg,1592,875
PMC9361620,12890_2022_2094_Fig3_HTML.jpg,708,367
PMC9361620,12890_2022_2094_Fig2_HTML.jpg,1959,719
PMC9238044,13223_2022_683_Fig5_HTML.jpg,1592,588
PMC9238044,13223_2022_683_Fig2_HTML.jpg,1592,1165
PMC9238044,13223_2022_683_Fig4_HTML.jpg,797,260
PMC9238044,13223_2022_683_Fig3_HTML.jpg,1592,1197
PMC9238044,13223_2022_683_Fig1_HTML.jpg,896,1196
PMC9478222,medi-101-e30750-g001.jpg,800,1082
PMC9478222,medi-101-e30750-g003.jpg,800,623
PMC9478222,medi-101-e30750-g002.jpg,800,799
PMC9537629,fmed-09-1023804-g003.jpg,675,258
PMC9537629,fmed-09-1023804-g002.jpg,675,410
PMC9537629,fmed-09-1023804-g001.jpg,660,195
PMC9794988,fimmu-13-1084879-g002.jpg,630,299
PMC9794988,fimmu-13-1084879-g001.jpg,718,557
PMC9794988,fimmu-13-1084879-g004.jpg,639,205
PMC9794988,fimmu-13-1084879-g003.jpg,689,632
PMC9816637,acfs-2022-01053f1.jpg,685,512
PMC9816637,acfs-2022-01053f2.jpg,685,354
PMC9826584,13256_2022_3729_Fig1_HTML.jpg,896,835
PMC9826584,13256_2022_3729_Fig3_HTML.jpg,1592,1357
PMC9826584,13256_2022_3729_Fig2_HTML.jpg,896,792
PMC9880338,gr2.jpg,602,584
PMC9880338,gr3.jpg,711,334
PMC9880338,gr1.jpg,711,289
PMC9946802,JIR-16-701-g0001.jpg,750,444
PMC9740894,jcm-11-06887-g001b.jpg,775,737
PMC9740894,jcm-11-06887-g003b.jpg,786,418
PMC9740894,jcm-11-06887-g003a.jpg,786,213
PMC9740894,jcm-11-06887-g001a.jpg,786,256
PMC9740894,jcm-11-06887-g002.jpg,695,699
PMC9981570,CCR3-11-e7031-g001.jpg,709,376
PMC9982731,fped-11-1131963-g001.jpg,700,232
PMC10152615,bm-33-2-020801-f1.jpg,672,584
PMC10152615,bm-33-2-020801-f2.jpg,618,401
PMC10270775,kjo-2023-0013f1.jpg,770,365
PMC10030818,gr2.jpg,708,835
PMC10030818,gr1.jpg,729,625
PMC10289553,ms9-85-3079-g001.jpg,500,312
