pmcid,figure_name,width,height
PMC5514579,abd-92-03-0375-g02.jpg,600,344
PMC5514579,abd-92-03-0375-g01.jpg,600,331
PMC10314746,CCID-16-1653-g0002.jpg,750,556
PMC10314746,CCID-16-1653-g0001.jpg,750,809
PMC7809210,41598_2020_80744_Fig5_HTML.jpg,749,564
PMC7809210,41598_2020_80744_Fig3_HTML.jpg,749,750
PMC7809210,41598_2020_80744_Fig4_HTML.jpg,749,547
PMC7809210,41598_2020_80744_Fig7_HTML.jpg,749,552
PMC7809210,41598_2020_80744_Fig2_HTML.jpg,749,1238
PMC7809210,41598_2020_80744_Fig6_HTML.jpg,749,505
PMC7809210,41598_2020_80744_Fig1_HTML.jpg,708,703
