pmcid,figure_name,width,height
PMC6243099,fphar-09-01279-g0002.jpg,714,391
PMC6243099,fphar-09-01279-g0001.jpg,708,493
PMC5916393,abd-93-02-0216-g02.jpg,771,264
PMC5916393,abd-93-02-0216-g01.jpg,771,264
PMC5916393,abd-93-02-0216-g03.jpg,771,534
PMC5348187,medi-96-e6269-g005.jpg,1200,457
PMC5348187,medi-96-e6269-g007.jpg,1200,420
PMC5348187,medi-96-e6269-g001.jpg,1200,1531
PMC5348187,medi-96-e6269-g004.jpg,1200,1542
PMC5348187,medi-96-e6269-g006.jpg,1200,406
PMC5348187,medi-96-e6269-g003.jpg,800,913
PMC5348187,medi-96-e6269-g002.jpg,800,601
PMC9459570,tcr-11-08-2990-f2.jpg,777,590
PMC9459570,tcr-11-08-2990-f1.jpg,768,534
