pmcid,figure_name,width,height
PMC2718203,kjr-1-212-g001.jpg,665,767
PMC4531766,kjim-15-3-240-12f2.jpg,633,455
PMC4531766,kjim-15-3-240-12f3.jpg,631,544
PMC4531766,kjim-15-3-240-12f5.jpg,401,547
PMC4531766,kjim-15-3-240-12f4.jpg,406,577
PMC4531766,kjim-15-3-240-12f6.jpg,479,573
PMC4531766,kjim-15-3-240-12f1.jpg,478,506
PMC2713839,kjr-3-140-g001.jpg,665,548
PMC2713839,kjr-3-140-g002.jpg,663,266
PMC441390,1471-2474-5-20-5.jpg,600,836
PMC441390,1471-2474-5-20-2.jpg,600,1267
PMC441390,1471-2474-5-20-1.jpg,600,480
PMC441390,1471-2474-5-20-3.jpg,600,411
PMC441390,1471-2474-5-20-4.jpg,600,1333
PMC3015622,jsls-9-3-342-g02.jpg,513,344
PMC3015622,jsls-9-3-342-g01.jpg,513,468
PMC546208,1471-2121-6-1-7.jpg,600,470
PMC546208,1471-2121-6-1-2.jpg,600,465
PMC546208,1471-2121-6-1-1.jpg,600,685
PMC546208,1471-2121-6-1-4.jpg,600,429
PMC546208,1471-2121-6-1-5.jpg,600,660
PMC546208,1471-2121-6-1-3.jpg,600,695
PMC546208,1471-2121-6-1-6.jpg,600,737
PMC3891058,kjim-21-15-i001.jpg,1200,630
PMC3891058,kjim-21-15-i002.jpg,1200,415
PMC3891058,kjim-21-15-i003.jpg,1200,244
PMC3891058,kjim-21-15-g001.jpg,752,507
PMC1481629,1477-7819-4-28-3.jpg,600,750
PMC1481629,1477-7819-4-28-4.jpg,600,475
PMC1481629,1477-7819-4-28-2.jpg,600,263
PMC1481629,1477-7819-4-28-1.jpg,600,715
PMC1481629,1477-7819-4-28-5.jpg,600,741
PMC1526433,1477-7819-4-33-2.jpg,244,480
PMC1526433,1477-7819-4-33-1.jpg,600,398
PMC1526433,1477-7819-4-33-4.jpg,600,398
PMC1526433,1477-7819-4-33-7.jpg,600,324
PMC1526433,1477-7819-4-33-5.jpg,600,398
PMC1526433,1477-7819-4-33-3.jpg,600,334
PMC1526433,1477-7819-4-33-6.jpg,600,398
PMC3016128,jsls-10-2-250-g01.jpg,515,516
PMC3016128,jsls-10-2-250-g02.jpg,515,515
PMC1570133,1746-6148-2-27-2.jpg,600,290
PMC1570133,1746-6148-2-27-1.jpg,600,1210
PMC6074097,asm-5-388f1.jpg,672,387
PMC6074097,asm-5-388f3.jpg,754,513
PMC6074097,asm-5-388f2.jpg,662,603
PMC6074329,asm-6-486f2.jpg,754,614
PMC6074329,asm-6-486f1.jpg,754,576
PMC6074329,asm-6-486f3.jpg,753,613
PMC2721945,jkms-21-1133-g002.jpg,636,303
PMC2721945,jkms-21-1133-g001.jpg,476,466
PMC1779271,1477-7819-5-2-2.jpg,600,239
PMC1779271,1477-7819-5-2-1.jpg,600,297
PMC1557590,1746-1596-1-13-1.jpg,600,399
PMC1557590,1746-1596-1-13-3.jpg,600,792
PMC1557590,1746-1596-1-13-5.jpg,600,615
PMC1557590,1746-1596-1-13-4.jpg,600,812
PMC1557590,1746-1596-1-13-2.jpg,600,396
PMC2868128,jvs-8-229-g001.jpg,573,454
PMC2868128,jvs-8-229-i001.jpg,674,534
PMC2868128,jvs-8-229-i003.jpg,673,234
PMC2868128,jvs-8-229-i006.jpg,673,149
PMC2868128,jvs-8-229-i005.jpg,674,220
PMC2868128,jvs-8-229-i004.jpg,672,198
PMC2868128,jvs-8-229-i002.jpg,674,491
PMC2627159,kjr-8-336-g009.jpg,440,326
PMC2627159,kjr-8-336-g007.jpg,438,323
PMC2627159,kjr-8-336-g010.jpg,438,323
PMC2627159,kjr-8-336-g004.jpg,462,230
PMC2627159,kjr-8-336-g005.jpg,441,285
PMC2627159,kjr-8-336-g013.jpg,438,297
PMC2627159,kjr-8-336-g012.jpg,436,322
PMC2627159,kjr-8-336-g011.jpg,665,164
PMC2627159,kjr-8-336-g014.jpg,432,401
PMC2627159,kjr-8-336-g001.jpg,667,153
PMC2627159,kjr-8-336-g016.jpg,440,328
PMC2627159,kjr-8-336-g003.jpg,462,201
PMC2627159,kjr-8-336-g006.jpg,436,323
PMC2627159,kjr-8-336-g002.jpg,463,218
PMC2627159,kjr-8-336-g008.jpg,438,336
PMC2627159,kjr-8-336-g017.jpg,435,326
PMC2627159,kjr-8-336-g015.jpg,440,300
PMC2064240,jcb1740447f08.jpg,475,517
PMC2064240,jcellbiol_174_3_jcb.200512051__JCB200512051_FS1.jpg,1414,1007
PMC2064240,jcb1740447f05.jpg,451,310
PMC2064240,jcb1740447f07.jpg,475,631
PMC2064240,jcellbiol_174_3_jcb.200512051__JCB200512051_FS3-01.jpg,421,440
PMC2064240,jcellbiol_174_3_jcb.200512051__JCB200512051_FS1-01.jpg,440,313
PMC2064240,jcb1740447f03.jpg,451,484
PMC2064240,jcb1740447f04.jpg,475,208
PMC2064240,jcellbiol_174_3_jcb.200512051__JCB200512051_FS4.jpg,1722,1800
PMC2064240,jcb1740447f06.jpg,448,544
