pmcid,figure_name,width,height
PMC2394353,89-6601306f2.jpg,779,1288
PMC2394353,89-6601306f1.jpg,671,259
PMC2394353,89-6601306t1.jpg,796,214
PMC2713850,kjr-3-264-g001.jpg,665,709
PMC2448936,ulstermedj00075-0074-a.jpg,676,982
PMC2448936,ulstermedj00075-0074-b.jpg,410,474
PMC2448936,ulstermedj00075-0073-a.jpg,492,367
PMC1526433,1477-7819-4-33-2.jpg,244,480
PMC1526433,1477-7819-4-33-1.jpg,600,398
PMC1526433,1477-7819-4-33-4.jpg,600,398
PMC1526433,1477-7819-4-33-7.jpg,600,324
PMC1526433,1477-7819-4-33-5.jpg,600,398
PMC1526433,1477-7819-4-33-3.jpg,600,334
PMC1526433,1477-7819-4-33-6.jpg,600,398
PMC1584249,1746-1596-1-30-1.jpg,600,450
PMC1553437,1746-160X-2-21-1.jpg,600,403
PMC1553437,1746-160X-2-21-2.jpg,600,407
PMC1553437,1746-160X-2-21-3.jpg,600,403
PMC3890723,kjim-21-187-g001.jpg,728,719
PMC3890723,kjim-21-187-g005.jpg,731,399
PMC3890723,kjim-21-187-g004.jpg,741,735
PMC3890723,kjim-21-187-g003.jpg,721,534
PMC3890723,kjim-21-187-g002.jpg,798,445
PMC1665230,ci05008901.jpg,434,736
PMC1665230,ci05008904.jpg,434,776
PMC1665230,ci05008907.jpg,434,1026
PMC1665230,ci05008903.jpg,432,300
PMC1665230,ci05008906.jpg,436,1074
PMC1665230,ci05008905.jpg,434,704
PMC1665230,ci05008902.jpg,434,356
PMC1618397,1476-4598-5-42-4.jpg,600,479
PMC1618397,1476-4598-5-42-2.jpg,600,456
PMC1618397,1476-4598-5-42-3.jpg,600,338
PMC1618397,1476-4598-5-42-1.jpg,600,450
PMC1866233,1477-7819-5-42-3.jpg,600,446
PMC1866233,1477-7819-5-42-1.jpg,600,533
PMC1866233,1477-7819-5-42-2.jpg,600,464
PMC1924523,1477-7819-5-66-2.jpg,595,437
PMC1924523,1477-7819-5-66-4.jpg,491,361
PMC1924523,1477-7819-5-66-3.jpg,600,435
PMC1924523,1477-7819-5-66-5.jpg,600,478
PMC1924523,1477-7819-5-66-1.jpg,600,458
PMC1779505,SRCM2006-23039.003.jpg,477,303
