pmid,pmcid,title,journal,insert_time,has_targz,disease
10402167,PMC3054378,A pathologic study of abdominal lymphangiomas.,J Korean Med Sci,2023-12-17-22-16-26,True,Match
11306753,PMC3054732,Gastric lymphangioma.,J Korean Med Sci,2023-12-17-22-16-26,True,Match
12087203,PMC2713836,Mediastinal lymphangioma and chylothorax: thoracic involvement of Gorham's disease.,Korean J Radiol,2023-12-17-22-16-26,True,Match
13299427,PMC2480258,Neonatal respiratory obstruction due to hygroma colli cysticum.,Ulster Med J,2023-12-17-22-16-26,True,NotMatch
14726645,PMC2698106,Prenatal sonographic and MR imaging findings of extensive fetal lymphangioma: a case report.,Korean J Radiol,2023-12-17-22-16-26,True,Match
15201516,PMC2816851,Intrapulmonary cystic lymphangioma in a 2-month-old infant.,J Korean Med Sci,2023-12-17-22-16-26,True,Match
15651774,PMC2475458,Acute presentation of lymphangioma of the retroperitoneum.,Ulster Med J,2023-12-17-22-16-26,True,Match
15702222,PMC5936490,Solitary endobronchial lymphangioma: a case report and review of literature.,ScientificWorldJournal,2023-12-17-22-16-26,True,Match
16154823,PMC1665244,Tumours of the spleen.,Cancer Imaging,2023-12-17-22-16-26,True,NotMatch
16259073,PMC2810581,Recurrent retroperitoneal cystic lymphangioma.,Yonsei Med J,2023-12-17-22-16-26,True,Match
16359555,PMC1352359,Hemangiopericytoma of the spleen: unusual presentation as multiple abscess.,World J Surg Oncol,2023-12-17-22-16-26,True,NotMatch
16759365,PMC1479837,Bilateral symmetrical lymphangiomas of the gingiva: case report.,Diagn Pathol,2023-12-17-22-16-26,True,Match
17143033,PMC2667616,Generalized lymphangiomatosis: radiologic findings in three pediatric patients.,Korean J Radiol,2023-12-17-22-16-26,True,Match
17192181,PMC1770937,A huge omental lymphangioma with extension into labia majorae: a case report.,BMC Surg,2023-12-17-22-16-26,True,Match
17584918,PMC1906778,Cavernous lymphangioma of the breast.,World J Surg Oncol,2023-12-17-22-16-26,True,Match
17584927,PMC1925108,Elevated expression of VEGFR-3 in lymphatic endothelial cells from lymphangiomas.,BMC Cancer,2023-12-17-22-16-26,True,Match
17722248,PMC2628053,Spontaneous regression of a cystic tumor in a postpartum woman; is it a cystic lymphangioma?,Yonsei Med J,2023-12-17-22-16-26,True,Match
17939338,PMC2687694,Unusual presentation of cystic lymphangioma of the gallbladder.,Korean J Intern Med,2023-12-17-22-16-26,True,Match
18159600,PMC2628184,A case of cardiac lymphangioma presenting as a cystic mass in the right atrium.,Yonsei Med J,2023-12-17-22-16-26,True,Match
18493465,PMC2362595,Endoscopic resection of esophageal lymphangioma incidentally discovered.,Diagn Ther Endosc,2023-12-17-22-16-26,True,Match
18629354,PMC2464749,Kaposiform hemangioendothelioma with distant lymphangiomatosis without an association to Kasabach-Merritt-Syndrome in a female adult!,Vasc Health Risk Manag,2023-12-17-22-16-26,True,Match
18783617,PMC2553056,Cystic lymphangioma of the lesser sac presenting as acute appendicitis: A case report.,Cases J,2023-12-17-22-16-26,True,Match
18811950,PMC2557020,Broad ligament cystic lymphangioma: a case report.,J Med Case Rep,2023-12-17-22-16-26,True,Match
18928529,PMC2596096,Expression of interleukin-17RC protein in normal human tissues.,Int Arch Med,2023-12-17-22-16-26,True,NotMatch
19412523,PMC2672190,Small bowel volvulus induced by mesenteric lymphangioma in an adult: a case report.,Korean J Radiol,2023-12-17-22-16-26,True,Match
