pmcid,figure_name,width,height
PMC1352359,1477-7819-3-77-1.jpg,600,450
PMC1352359,1477-7819-3-77-2.jpg,600,426
PMC2698106,kjr-4-260-g001.jpg,664,592
PMC2816851,jkms-19-458-g002.jpg,472,458
PMC2816851,jkms-19-458-g003.jpg,472,466
PMC2816851,jkms-19-458-g004.jpg,473,467
PMC2816851,jkms-19-458-g001.jpg,472,458
PMC1479837,1746-1596-1-9-2.jpg,600,450
PMC1479837,1746-1596-1-9-1.jpg,600,450
PMC2475458,ulstermedj00004-0060-a.jpg,506,372
PMC2475458,ulstermedj00004-0060-b.jpg,509,407
PMC2713836,kjr-3-130-g001.jpg,664,504
PMC2810581,ymj-46-715-g004.jpg,459,318
PMC2810581,ymj-46-715-g001.jpg,426,322
PMC2810581,ymj-46-715-g002.jpg,439,307
PMC2810581,ymj-46-715-g003.jpg,457,735
PMC1906778,1477-7819-5-69-1.jpg,600,450
PMC1906778,1477-7819-5-69-2.jpg,600,450
PMC1770937,1471-2482-6-18-3.jpg,600,423
PMC1770937,1471-2482-6-18-5.jpg,600,871
PMC1770937,1471-2482-6-18-4.jpg,600,608
PMC1770937,1471-2482-6-18-2.jpg,600,379
PMC1770937,1471-2482-6-18-1.jpg,600,992
PMC2667616,kjr-7-287-g002.jpg,544,790
PMC2667616,kjr-7-287-g003.jpg,666,658
PMC2667616,kjr-7-287-g001.jpg,663,251
PMC1925108,1471-2407-7-105-3.jpg,351,285
PMC1925108,1471-2407-7-105-1.jpg,600,261
PMC1925108,1471-2407-7-105-5.jpg,600,346
PMC1925108,1471-2407-7-105-2.jpg,521,341
PMC1925108,1471-2407-7-105-11.jpg,600,346
PMC1925108,1471-2407-7-105-9.jpg,600,376
PMC1925108,1471-2407-7-105-7.jpg,600,321
PMC1925108,1471-2407-7-105-8.jpg,436,341
PMC1925108,1471-2407-7-105-6.jpg,600,415
PMC1925108,1471-2407-7-105-10.jpg,600,314
PMC1925108,1471-2407-7-105-4.jpg,600,323
PMC2628053,ymj-48-715-g002.jpg,400,358
PMC2628053,ymj-48-715-g001.jpg,487,446
PMC2687694,kjim-22-197-g001.jpg,466,462
PMC2687694,kjim-22-197-g002.jpg,480,460
PMC2687694,kjim-22-197-g004.jpg,636,305
PMC2687694,kjim-22-197-g003.jpg,483,486
PMC2464749,vhrm0401-263-01.jpg,522,495
PMC2553056,1757-1626-1-147-1.jpg,600,800
PMC2628184,ymj-48-1043-g003.jpg,435,309
PMC2628184,ymj-48-1043-g004.jpg,634,452
PMC2628184,ymj-48-1043-g001.jpg,435,309
PMC2628184,ymj-48-1043-g002.jpg,441,309
PMC2557020,1752-1947-2-310-2.jpg,600,450
PMC2557020,1752-1947-2-310-3.jpg,600,225
PMC2557020,1752-1947-2-310-1.jpg,600,615
PMC2672190,kjr-10-319-g001.jpg,663,1145
PMC2701920,1471-2482-9-9-2.jpg,600,430
PMC2701920,1471-2482-9-9-1.jpg,600,453
PMC2701920,1471-2482-9-9-3.jpg,600,361
PMC2783138,1757-1626-2-183-1.jpg,600,370
PMC2783138,1757-1626-2-183-2.jpg,600,347
PMC2783052,1752-1947-3-111-3.jpg,600,450
PMC2783052,1752-1947-3-111-1.jpg,600,370
PMC2783052,1752-1947-3-111-2.jpg,600,408
PMC2596096,1755-7682-1-19-3.jpg,600,704
PMC2596096,1755-7682-1-19-5.jpg,600,672
PMC2596096,1755-7682-1-19-6.jpg,600,712
PMC2596096,1755-7682-1-19-9.jpg,600,678
PMC2596096,1755-7682-1-19-10.jpg,600,712
PMC2596096,1755-7682-1-19-2.jpg,600,687
PMC2596096,1755-7682-1-19-7.jpg,600,717
PMC2596096,1755-7682-1-19-8.jpg,600,688
PMC2596096,1755-7682-1-19-4.jpg,600,689
PMC2596096,1755-7682-1-19-1.jpg,600,682
PMC2799640,kjr-11-115-g001.jpg,668,1146
PMC2882165,nihms-131529-f0002.jpg,769,1048
PMC2882165,nihms-131529-f0006.jpg,800,640
PMC2882165,nihms-131529-f0001.jpg,785,1049
PMC2882165,nihms-131529-f0003.jpg,784,1049
PMC2882165,nihms-131529-f0004.jpg,800,878
PMC2882165,nihms-131529-f0005.jpg,800,925
PMC2803988,1757-1626-2-9328-2.jpg,600,450
PMC2803988,1757-1626-2-9328-3.jpg,600,450
PMC2803988,1757-1626-2-9328-1.jpg,600,600
PMC2775878,jkms-24-1212-g002.jpg,635,302
PMC2775878,jkms-24-1212-g001.jpg,635,435
PMC2775878,jkms-24-1212-g003.jpg,635,435
PMC2856365,IJD-55-121-g001.jpg,744,445
PMC2856365,IJD-55-121-g002.jpg,744,454
PMC2840899,JCAS-01-85-g004.jpg,588,438
PMC2840899,JCAS-01-85-g003.jpg,588,440
PMC2840899,JCAS-01-85-g007.jpg,586,439
PMC2840899,JCAS-01-85-g006.jpg,586,440
PMC2840899,JCAS-01-85-g008.jpg,490,732
PMC2840899,JCAS-01-85-g001.jpg,589,440
PMC2840899,JCAS-01-85-g005.jpg,586,441
PMC2840899,JCAS-01-85-g002.jpg,589,440
PMC2840899,JCAS-01-85-g009.jpg,743,408
PMC2900040,IJA-53-79-g003.jpg,640,448
PMC2900040,IJA-53-79-g001.jpg,480,637
PMC2900040,IJA-53-79-g002.jpg,637,480
PMC2900040,IJA-53-79-g004.jpg,640,480
PMC2836381,pone.0009653.g001.jpg,662,493
PMC2836381,pone.0009653.g004.jpg,563,733
PMC2836381,pone.0009653.g005.jpg,537,530
PMC2836381,pone.0009653.t001.jpg,657,388
PMC2836381,pone.0009653.g002.jpg,662,580
PMC2836381,pone.0009653.g003.jpg,484,366
PMC2931496,1749-799X-5-56-7.jpg,600,542
PMC2931496,1749-799X-5-56-4.jpg,600,588
PMC2931496,1749-799X-5-56-5.jpg,309,417
PMC2931496,1749-799X-5-56-6.jpg,312,190
PMC2931496,1749-799X-5-56-1.jpg,600,1258
PMC2931496,1749-799X-5-56-3.jpg,600,786
PMC2931496,1749-799X-5-56-2.jpg,600,589
PMC2931496,1749-799X-5-56-8.jpg,600,537
PMC2931127,IJN-20-114-g004.jpg,669,427
PMC2931127,IJN-20-114-g001.jpg,521,522
PMC2931127,IJN-20-114-g003.jpg,585,518
PMC2931127,IJN-20-114-g002.jpg,597,472
PMC2931127,IJN-20-114-g005.jpg,543,533
PMC2934585,UA-2-26-g001.jpg,741,519
PMC2934585,UA-2-26-g002.jpg,743,519
PMC2938560,IJU-26-294-g002.jpg,600,520
PMC2938560,IJU-26-294-g001.jpg,530,520
PMC2994526,rt-2010-3-e46-g002.jpg,441,297
PMC2994526,rt-2010-3-e46-g001.jpg,439,337
PMC2994526,rt-2010-3-e46-g003.jpg,439,325
PMC2994469,rt-2009-2-e48-g003.jpg,652,489
PMC2994469,rt-2009-2-e48-g002.jpg,644,673
PMC2994469,rt-2009-2-e48-g001.jpg,661,1088
PMC3047730,JCAS-3-139-g006.jpg,744,522
PMC3047730,JCAS-3-139-g004.jpg,743,495
PMC3047730,JCAS-3-139-g009.jpg,632,577
PMC3047730,JCAS-3-139-g002.jpg,670,503
PMC3047730,JCAS-3-139-g008.jpg,636,581
PMC3047730,JCAS-3-139-g001.jpg,670,503
PMC3047730,JCAS-3-139-g003.jpg,508,588
PMC3047730,JCAS-3-139-g007.jpg,698,581
PMC3047730,JCAS-3-139-g005.jpg,669,501
PMC3047742,JCAS-3-189-g002.jpg,744,497
PMC3047742,JCAS-3-189-g001.jpg,744,584
PMC3066714,LJM-4-044-g002.jpg,733,1148
PMC3066714,LJM-4-044-g001.jpg,418,572
PMC3066745,LJM-4-160-g003.jpg,436,299
