pmid,pmcid,title,journal,insert_time,label,caption,graphic
10402167,PMC3054378,A pathologic study of abdominal lymphangiomas.,J Korean Med Sci,2023-12-17-22-16-26,,,
11306753,PMC3054732,Gastric lymphangioma.,J Korean Med Sci,2023-12-17-22-16-26,,,
12087203,PMC2713836,Mediastinal lymphangioma and chylothorax: thoracic involvement of Gorham's disease.,Korean J Radiol,2023-12-17-22-16-26,Fig. 1,"Gorham's disease in a 38-year-old man with mediastinal lymphangioma.A. Posteroanterior chest radiograph shows widening of the mediastinum and osteolysis of the proximal clavicles.B, C. Contrast-enhanced CT scan demonstrates an anterior mediastinal mass of low attenuation, which infiltrates mediastinal fat and envelops adjacent structures. Lysis of the manubrium (arrow in B) is apparent and follow-up CT (C) after three months shows left pleural effusion.D. Irregular-shaped dilated lymphatic spaces lined by attenuated endothelium are embedded in connective tissue stroma, and small lymphoid aggregates are dispersed in the stroma. These findings are compatible with cavernous lymphangioma (original magnification, ×250; hematoxylin-eosin staining).",kjr-3-130-g001
13299427,PMC2480258,Neonatal respiratory obstruction due to hygroma colli cysticum.,Ulster Med J,2023-12-17-22-16-26,,,
14726645,PMC2698106,Prenatal sonographic and MR imaging findings of extensive fetal lymphangioma: a case report.,Korean J Radiol,2023-12-17-22-16-26,Fig. 1,"A 26-week-old female fetus with an extensive lymphangioma.A. Prenatal ultrasonography shows a large multiseptated cystic mass (arrows) with variable echo patterns, located at the right of the fetal abdomen and also involving the right lower extremity (open arrows). The transverse diameter of this extremity is much greater than that of the left one (L). Color Doppler ultrasonography revealed no flow within the mass at the time of examination (not shown).B. Sagittal T2-weighted single-shot fast spin-echo MR image (TR/TE, 1624/79) depicts a large intra-abdominal high-signal-intensity mass (arrows) with multiple internal locules, displacing the ipsilateral kidney (K) superiorly. The mass (arrows) extends continuously to the right buttock and right lower extremity.C. Coronal T2-weighted single-shot fast spin-echo MR image (TR/TE, 1624/79) clearly reveals the multilocular cystic nature of the mass (arrows), each locule of which contains multiple fluid-fluid levels. S=Stomach.D. T2-weighted single-shot fast spin-echo MR image (TR/TE, 1624/79) obtained parallel to the right lower fetal extremity shows the distal extent of the lymphangioma (arrows). This presents as an extensive subcutaneous cystic mass, with asymmetric limb hypertrophy.E. Post-mortem photograph depicts a large lymphangioma (arrows) at the right of the abdomen, extending to the right lower extremity.",kjr-4-260-g001
15201516,PMC2816851,Intrapulmonary cystic lymphangioma in a 2-month-old infant.,J Korean Med Sci,2023-12-17-22-16-26,Fig. 1,"High-resolution computed tomography of the chest depicts a well-circumscribed, multiseptate, air-filled cystic lesion in the upper lobe of the right lung.",jkms-19-458-g001
15201516,PMC2816851,Intrapulmonary cystic lymphangioma in a 2-month-old infant.,J Korean Med Sci,2023-12-17-22-16-26,Fig. 2,"1:1 scaned photograph shows a large intrapulmonary cystic tumor (Ly), causing emphysematous change (Em) in surrounding pulmonary parenchyma (H&E, ×1).",jkms-19-458-g002
15201516,PMC2816851,Intrapulmonary cystic lymphangioma in a 2-month-old infant.,J Korean Med Sci,2023-12-17-22-16-26,Fig. 3,"The cystic walls (in the right top) of the tumor are supported by loose fibrous tissue and adjoin to the emphysematous lung tissue (in the left) (H&E, ×20).",jkms-19-458-g003
15201516,PMC2816851,Intrapulmonary cystic lymphangioma in a 2-month-old infant.,J Korean Med Sci,2023-12-17-22-16-26,Fig. 4,"Immunohistochemical staining for factor VIII-related antigen shows weak positive reactions in the lining cells of the cystic walls (Streptavidin-biotin, ×100).",jkms-19-458-g004
15651774,PMC2475458,Acute presentation of lymphangioma of the retroperitoneum.,Ulster Med J,2023-12-17-22-16-26,Fig 1,,ulstermedj00004-0060-a
15651774,PMC2475458,Acute presentation of lymphangioma of the retroperitoneum.,Ulster Med J,2023-12-17-22-16-26,Fig 2,,ulstermedj00004-0060-b
15702222,PMC5936490,Solitary endobronchial lymphangioma: a case report and review of literature.,ScientificWorldJournal,2023-12-17-22-16-26,,,
16154823,PMC1665244,Tumours of the spleen.,Cancer Imaging,2023-12-17-22-16-26,,,
16259073,PMC2810581,Recurrent retroperitoneal cystic lymphangioma.,Yonsei Med J,2023-12-17-22-16-26,Fig. 1,"Transverse sonogram of the left flank demonstrating a large mass with multiloculated, thick septum and having hyperechogenic calcific foci (arrow).",ymj-46-715-g001
16259073,PMC2810581,Recurrent retroperitoneal cystic lymphangioma.,Yonsei Med J,2023-12-17-22-16-26,Fig. 2,Transaxial abdominal CT scan demonstrating low attenuation cysts of the retroperitoneum displacing the pancreas (arrow) anteriorly and mildly compressing the adrenal and left kidney. Calcification is seen as high attenuation foci in the cyst.,ymj-46-715-g002
16259073,PMC2810581,Recurrent retroperitoneal cystic lymphangioma.,Yonsei Med J,2023-12-17-22-16-26,Fig. 3,"A. Axial T2 weighted MR (TR 3000 ms, TE 112 ms) and B. Coronal T2 weighted MR showing a high signal intensity mass lesion in the retroperitoneum.",ymj-46-715-g003
16259073,PMC2810581,Recurrent retroperitoneal cystic lymphangioma.,Yonsei Med J,2023-12-17-22-16-26,Fig. 4,Pathologic specimen showing multiple cystic spaces containing lymphoid and endothelial cells (hematoxylineosin ×100).,ymj-46-715-g004
16359555,PMC1352359,Hemangiopericytoma of the spleen: unusual presentation as multiple abscess.,World J Surg Oncol,2023-12-17-22-16-26,Figure 1,"Resected specimen measured 18 × 12 × 6 cm and cut surface showed multiple lobulated, solid, well circumscribed nodules of variable sizes 1 cm to 7 cm in diameter with areas of hemorrhage and cystic degeneration.",1477-7819-3-77-1
16359555,PMC1352359,Hemangiopericytoma of the spleen: unusual presentation as multiple abscess.,World J Surg Oncol,2023-12-17-22-16-26,Figure 2,"(a) shows dilated, sinuous vascular channels surrounded by oval to spindle tumor cells, having scanty cytoplasm and hyperchromatic nuclei, mitotic figures occasional present (Hematoxylin & Eosin ×200); (b) Reticulin stain (×200) shows intricate reticulum laid down around tumor cells and dilated vascular channels; (c) & (d) shows fibrous capsule of the tumor along with areas of necrosis (Hematoxylin & Eosin ×50).",1477-7819-3-77-2
16759365,PMC1479837,Bilateral symmetrical lymphangiomas of the gingiva: case report.,Diagn Pathol,2023-12-17-22-16-26,Figure 1,"Microscopic appearance of the lymphangioma of right side, the dilated lymphatic channels lined by endothelial cells can be observed.",1746-1596-1-9-1
16759365,PMC1479837,Bilateral symmetrical lymphangiomas of the gingiva: case report.,Diagn Pathol,2023-12-17-22-16-26,Figure 2,"Microscopic appearance of the lymphangioma of left side, the dilated lymphatic channels lined by endothelial cells can be observed.",1746-1596-1-9-2
17143033,PMC2667616,Generalized lymphangiomatosis: radiologic findings in three pediatric patients.,Korean J Radiol,2023-12-17-22-16-26,Fig. 1,Case 1. A 4-year-old boy.A. Contrast enhanced CT shows a mediastinal mass (arrowheads) enveloping the thoracic great vessels and thymus. The mass extends around the trachea and esophagus (arrow).B. The CT image with the lung window setting shows interstitial thickenings (arrowheads) and bilateral pleural effusions (arrows).,kjr-7-287-g001
17143033,PMC2667616,Generalized lymphangiomatosis: radiologic findings in three pediatric patients.,Korean J Radiol,2023-12-17-22-16-26,Fig. 2,"Case 2. An 8-year-old boy.A. Pelvic bone radiograph shows well-defined osteolytic lesions (arrowheads) with thin sclerotic rims in both pubic bones.B. The coronal T2 weighted MR image (TR/TE = 1200/90, flip angle = 90°, slice thickness = 6 mm) shows a homogenous high-signal intensity mass in the mediastinum (arrowheads).C. On ultrasound, the mass is delineated as a multiseptated anechoic mass. Note the multiple septa in the mass (arrowheads).D. The coronal short tau inversion recovery whole body MR image shows multiple high signal intensity lesions involving vertebrae, pelvic bones, both humeri, both femurs, both tibias, the ribs, and calvarium.",kjr-7-287-g002
17143033,PMC2667616,Generalized lymphangiomatosis: radiologic findings in three pediatric patients.,Korean J Radiol,2023-12-17-22-16-26,Fig. 3,"Case 3. An 11-year-old boy.A. The contrast enhanced CT shows a mediastinal mass (arrowheads) enveloping the thoracic great vessels and thymus (arrow). The mass extends to the posterior mediastinum (double arrow). Note the well-defined osteolytic lesion in the left fourth rib (curved arrow).B. Contrast enhanced CT shows multiple low-density lesions (arrowheads) in the spleen. Multiple well-defined osteolytic lesions with sclerotic rims are noted in the thoracic vertebra (arrows). Note the mass extending to the retroperitoneum (double arrow).C. The coronal short tau inversion recovery MR image shows multiple high-signal intensity lesions involving the bilateral lower neck (arrows), the mediastinum and the spleen (arrowheads). Note the mass extending to the posterior mediastinum (curved arrow).",kjr-7-287-g003
17192181,PMC1770937,A huge omental lymphangioma with extension into labia majorae: a case report.,BMC Surg,2023-12-17-22-16-26,Figure 1,Patient on presentation.,1471-2482-6-18-1
17192181,PMC1770937,A huge omental lymphangioma with extension into labia majorae: a case report.,BMC Surg,2023-12-17-22-16-26,Figure 2,CT scan of abdomen-pelvis showing extension of the cyst into labia mejorae on both sides.,1471-2482-6-18-2
