pmcid,figure_name,width,height
PMC2644746,467_2008_1009_Fig2_HTML.jpg,776,429
PMC2644746,467_2008_1009_Fig1_HTML.jpg,776,536
PMC1174960,ar1724-1.jpg,600,254
PMC3037888,1752-1947-5-43-1.jpg,600,392
PMC3657265,IJD-58-163f-g001.jpg,740,490
PMC3657265,IJD-58-163f-g002.jpg,744,1115
PMC2918348,JCAS-2-97-g002.jpg,669,469
PMC2918348,JCAS-2-97-g006.jpg,669,469
PMC2918348,JCAS-2-97-g007.jpg,669,467
PMC2918348,JCAS-2-97-g005.jpg,669,469
PMC2918348,JCAS-2-97-g004.jpg,669,469
PMC2918348,JCAS-2-97-g008.jpg,669,467
PMC2918348,JCAS-2-97-g009.jpg,743,520
PMC2918348,JCAS-2-97-g003.jpg,669,468
PMC2918348,JCAS-2-97-g001.jpg,669,469
PMC4389026,13317_2013_48_Article_Fig1_HTML.jpg,598,180
PMC4389026,13317_2013_48_Article_Fig2_HTML.jpg,600,287
PMC3765467,1746-1596-8-135-1.jpg,600,679
PMC3765467,1746-1596-8-135-3.jpg,600,678
PMC3765467,1746-1596-8-135-2.jpg,600,912
PMC4533536,IJD-60-373-g003.jpg,539,270
PMC4533536,IJD-60-373-g001.jpg,382,586
PMC4533536,IJD-60-373-g002.jpg,782,586
PMC4217770,ETM-08-06-1927-g04.jpg,630,542
PMC4217770,ETM-08-06-1927-g03.jpg,708,384
PMC4217770,ETM-08-06-1927-g06.jpg,708,604
PMC4217770,ETM-08-06-1927-g05.jpg,708,150
PMC4217770,ETM-08-06-1927-g01.jpg,708,152
PMC4217770,ETM-08-06-1927-g00.jpg,630,449
PMC4217770,ETM-08-06-1927-g02.jpg,708,591
PMC4217770,ETM-08-06-1927-g07.jpg,772,363
PMC4802551,gr2.jpg,722,511
PMC4802551,gr4.jpg,722,511
PMC4802551,gr3.jpg,722,511
PMC4802551,gr1.jpg,722,585
PMC4808731,gr2.jpg,602,787
PMC4808731,gr4.jpg,602,472
PMC4808731,gr3.jpg,602,472
PMC4808731,gr1.jpg,602,427
PMC4856249,CCR3-4-517-g002.jpg,709,532
PMC4856249,CCR3-4-517-g001.jpg,709,475
PMC4969480,ad-28-491-g002.jpg,784,864
PMC4969480,ad-28-491-g001.jpg,622,465
PMC5384345,koni-06-03-1273310-g004.jpg,640,661
PMC5384345,koni-06-03-1273310-g002.jpg,685,255
PMC5384345,koni-06-03-1273310-g006.jpg,699,827
PMC5384345,koni-06-03-1273310-g003.jpg,651,479
PMC5384345,koni-06-03-1273310-g001.jpg,640,777
PMC5384345,koni-06-03-1273310-g005.jpg,688,524
PMC5394193,gr2.jpg,602,403
PMC5394193,gr4.jpg,602,899
PMC5394193,gr3.jpg,602,403
PMC5394193,gr5.jpg,602,403
PMC5394193,gr1.jpg,602,403
PMC6201614,PAMJ-30-138-g001.jpg,611,676
PMC5120630,13555_2016_141_Fig5_HTML.jpg,661,497
PMC5120630,13555_2016_141_Fig8_HTML.jpg,765,384
PMC5120630,13555_2016_141_Fig6_HTML.jpg,765,187
PMC5120630,13555_2016_141_Fig9_HTML.jpg,661,504
PMC5120630,13555_2016_141_Fig4_HTML.jpg,765,383
PMC5120630,13555_2016_141_Fig10_HTML.jpg,765,385
PMC5120630,13555_2016_141_Fig11_HTML.jpg,661,498
PMC5120630,13555_2016_141_Fig2_HTML.jpg,765,384
PMC5120630,13555_2016_141_Fig12_HTML.jpg,661,498
PMC5120630,13555_2016_141_Fig1_HTML.jpg,661,495
PMC5120630,13555_2016_141_Fig7_HTML.jpg,661,499
PMC5120630,13555_2016_141_Fig3_HTML.jpg,661,504
PMC6293026,gr2.jpg,722,1017
PMC6293026,gr1.jpg,608,579
PMC5429914,CRIDM2017-3194738.001.jpg,727,1032
PMC5429914,CRIDM2017-3194738.002.jpg,752,641
PMC5429914,CRIDM2017-3194738.003.jpg,683,419
PMC6341360,cro-0011-0850-g01.jpg,717,543
PMC6341360,cro-0011-0850-g02.jpg,717,803
PMC6403113,gr2.jpg,711,172
PMC6403113,gr1.jpg,602,743
PMC6615420,acfs-2018-02201f3.jpg,754,573
PMC6615420,acfs-2018-02201f4.jpg,743,266
PMC6615420,acfs-2018-02201f1.jpg,702,248
PMC6615420,acfs-2018-02201f2.jpg,698,261
PMC6355473,104226.fig1.jpg,770,1192
PMC6355473,104226.fig3.jpg,763,1130
PMC6355473,104226.fig2.jpg,757,975
PMC6355473,104226.fig4.jpg,718,513
PMC7028293,JDV-34-260-g001.jpg,630,459
PMC7168128,medicines-07-00001-g001.jpg,726,387
PMC7168128,medicines-07-00001-g002.jpg,706,399
PMC6662440,CRIDM2019-1765210.004.jpg,643,390
PMC6662440,CRIDM2019-1765210.002.jpg,639,830
PMC6662440,CRIDM2019-1765210.003.jpg,657,830
PMC6662440,CRIDM2019-1765210.001.jpg,574,829
PMC6728836,gr2.jpg,777,1725
PMC6728836,gr1.jpg,602,537
PMC6986121,IJD-65-57-g001.jpg,539,408
PMC6986121,IJD-65-57-g004.jpg,538,797
