pmid,pmcid,title,journal,insert_time,label,caption,graphic
15899052,PMC1174960,Dermatological conditions during TNF-alpha-blocking therapy in patients with rheumatoid arthritis: a prospective study.,Arthritis Res Ther,2023-12-17-22-06-59,Figure 1,Eczematous drug-related eruption a patient with rheumatoid arthritis after infliximab therapy: Eczematous eruptions on the left arm (top left) and right arm (top right) and erythematous eruptions with purpura on the left leg (bottom left) and right leg (bottom right).,ar1724-1
18853201,PMC2644746,Pathophysiological lessons from rare associations of immunological disorders.,Pediatr Nephrol,2023-12-17-22-06-59,Fig. 1,"B-cell epitope spreading. The primary immune response against the dominant initiating epitope (shown in red) may further extend to other epitopes within the same molecule (intramolecular epitope spreading) or among different molecules (intermolecular spreading). The initiating antigen is shown in blue. The secondary antigen is shown in green
",467_2008_1009_Fig1_HTML
18853201,PMC2644746,Pathophysiological lessons from rare associations of immunological disorders.,Pediatr Nephrol,2023-12-17-22-06-59,Fig. 2,"Polyreactivity of antibody. The same antibody can bind to different molecules shown in blue and green, respectively, because they have similar surface shapes or areas of similar charge. The epitope is shown as a blue star. In polyreactive antibodies, the antigen-binding pocket is more flexible",467_2008_1009_Fig2_HTML
20808598,PMC2918348,"Primary cutaneous anaplastic large cell lymphoma arising from lymphomatoid papulosis, responding to low dose methotrexate.",J Cutan Aesthet Surg,2023-12-17-22-06-59,Figure 1,"Erythematous papules, plaques, and nodules in generalized distribution",JCAS-2-97-g001
20808598,PMC2918348,"Primary cutaneous anaplastic large cell lymphoma arising from lymphomatoid papulosis, responding to low dose methotrexate.",J Cutan Aesthet Surg,2023-12-17-22-06-59,Figure 2,Ulceration of plaque seen,JCAS-2-97-g002
20808598,PMC2918348,"Primary cutaneous anaplastic large cell lymphoma arising from lymphomatoid papulosis, responding to low dose methotrexate.",J Cutan Aesthet Surg,2023-12-17-22-06-59,Figure 3,Resolved lesion with hyperpigmentation,JCAS-2-97-g003
20808598,PMC2918348,"Primary cutaneous anaplastic large cell lymphoma arising from lymphomatoid papulosis, responding to low dose methotrexate.",J Cutan Aesthet Surg,2023-12-17-22-06-59,Figure 4,Resolved lesion with scarring,JCAS-2-97-g004
20808598,PMC2918348,"Primary cutaneous anaplastic large cell lymphoma arising from lymphomatoid papulosis, responding to low dose methotrexate.",J Cutan Aesthet Surg,2023-12-17-22-06-59,Figure 5,Dense mononuclear infiltrate throughout dermis extending into subcutis (Stain H and E ×25),JCAS-2-97-g005
20808598,PMC2918348,"Primary cutaneous anaplastic large cell lymphoma arising from lymphomatoid papulosis, responding to low dose methotrexate.",J Cutan Aesthet Surg,2023-12-17-22-06-59,Figure 6,Many large lymphocytes with atypical nuclei seen (Stain H and E ×100),JCAS-2-97-g006
20808598,PMC2918348,"Primary cutaneous anaplastic large cell lymphoma arising from lymphomatoid papulosis, responding to low dose methotrexate.",J Cutan Aesthet Surg,2023-12-17-22-06-59,Figure 7,Immunonohistochemistry showing CD30-positive cells,JCAS-2-97-g007
