pmid,pmcid,title,journal,insert_time,has_targz,disease
20101314,PMC2807158,Malignant eccrine spiradenoma on the lateral margin of nose as an infrequent localization.,Indian J Dermatol,2023-12-17-22-02-32,True,Match
22493654,PMC3318883,Direct intracranial extension of malignant eccrine spiradenoma of the face.,J Clin Med Res,2023-12-17-22-02-32,True,Match
26318134,PMC4601958,Malignant eccrine breast spiradenoma. A case report and literature review.,Int J Surg Case Rep,2023-12-17-22-02-32,True,NotMatch
26500731,PMC4600993,Locally Advanced Spiroadenocarcinoma in the Regional Axilla of a Breast Cancer Patient: Hallmarks of Definitive Diagnosis and Management.,Rare Tumors,2023-12-17-22-02-32,True,NotMatch
32169099,PMC7071686,"Low grade malignant eccrine spiradenoma of the vulva: case report, review of the literature and discussion about the role of p53 and HPV.",Diagn Pathol,2023-12-17-22-02-32,True,Match
33469512,PMC7813981,Malignant Eccrine Spiradenoma of the External Auditory Canal: A Case Report and Literature Review.,Front Oncol,2023-12-17-22-02-32,True,Match
33532153,PMC7845752,Malignant Eccrine Adenoma With Sarcomatous (Heterologous) Components: Report of a Rare Skin Adnexal Neoplasm With Literature Review.,Cureus,2023-12-17-22-02-32,True,NotMatch
35717180,PMC9206259,Direct intracranial invasion of eccrine spiradenocarcinoma of the scalp: a case report and literature review.,BMC Neurol,2023-12-17-22-02-32,True,Match
36750462,PMC9905852,Lymphangiectatic Variant of Low-Grade Malignant Eccrine Spiradenoma.,Ann Dermatol,2023-12-17-22-02-32,True,Match
37292109,PMC10246931,Malignant Eccrine Spiradenoma of the Posterior Scalp: An Odd Presentation.,Cureus,2023-12-17-22-02-32,True,Match
9610621,PMC3054479,Malignant eccrine spiradenoma with florid squamous differentiation.,J Korean Med Sci,2023-12-17-22-02-32,True,Match
