pmcid,label,caption,graphic,disease,modality
PMC3318883,Figure 1," Axial CT scan image showing tumour invading the orbit, right side of skull base and destroying the bones. This is suggestive of aggressive tumour.",jocmr-01-181-g001,NotMatch,NotMatch
PMC3318883,Figure 2, Coronal T1 post contrast MR image showing the tumour extension intracranially into the right temporal lobe causing compression of the right lateral ventricle and midline shift to the left.,jocmr-01-181-g002,NotMatch,NotMatch
PMC2807158,Figure 1,Appearence of the lesion on lateral part of nose and anteriorinferior aspect of medial canthus,IJD-54-173-g001,NotMatch,NotMatch
PMC2807158,Figure 2,"Nodular tumor located in dermis. Note that the heavy infiltration by lymphocytes is mainly present at the peripheral portions of the tumor (H&E, ×20)",IJD-54-173-g002,NotMatch,Match
PMC2807158,Figure 3,"Solid areas of the tumor composed of malignant cells with nuclear atypia and high mitotic figures (left). The other component resembled an ecrine spiradenoma; with two distinct cell proliferation and tubule formations (right) (H&E, ×100)",IJD-54-173-g003,NotMatch,Match
PMC2807158,Figure 4,"Focal tumor cell necrosis is seen through out the tumor (H&E, ×200)",IJD-54-173-g004,NotMatch,Match
PMC4600993,Figure 1.,"Histologic features of spiradenocarcinoma arising in association with spiradenoma. A) Pure spiroadenoma is characterized by circumscribed nodules composed of slender interanastamosing strands of basaloid epithelial cells with occasional duct formation. B) Pure spiradenocarcinoma composed of solid nodules of atypical basaloid cells. C) Focal connection of spiradenocarcinoma to the epidermis supports a primary cutaneous carcinoma rather than metastatic carcinoma. D) One tumor nodule contained mixed spiradenoma and spiradenocarcinoma. The more basaloid component represents spiradenoma (10×, Hematoxylin & Eosin).",rt-2015-3-5912-g001,Match,NotMatch
PMC4600993,Figure 2.,"Findings on cross-sectional imaging showing bulky adenopathy in the right axilla (A, white arrows) which is highly FDG avid (B).",rt-2015-3-5912-g002,NotMatch,NotMatch
PMC7071686,Fig. 1,a. Tumor aspect at low power × 20. b. Tumor arranged in solid aggregates and cords of basaloid tumor cells × 40. c. Fibrous and vascularized tumoral stroma with a slight lymphocytic infiltrate × 100. d. necrosis dissectinf the tumor × 40. e. Basaloïd tumor cells with mild to moderate nuclear atypia with numerous and atypical mitotic figures,13000_2020_945_Fig1_HTML,NotMatch,NotMatch
PMC7071686,Fig. 2,a. Strong nuclear expression of p53 mutation in tumor cells with mutation of TP53 gene by NGS. b. Strong nuclear and cytoplasmic expression of p16 protein in tumor cells with no association with HPV,13000_2020_945_Fig2_HTML,NotMatch,NotMatch
PMC4601958,Fig. 1,"Mammography shows a well-defined, isodense nodule.",gr1,NotMatch,NotMatch
PMC4601958,Fig. 2,US shows a well-defined hipoechoic mass.,gr2,NotMatch,NotMatch
PMC4601958,Fig. 3,Benign area is composed of two cell population.,gr3,NotMatch,NotMatch
PMC4601958,Fig. 4,Area of malignant transformation.,gr4,NotMatch,NotMatch
PMC4601958,Fig. 5,Positive inmunohistochemistry to Ki 67.,gr5,NotMatch,NotMatch
PMC7813981,Figure 1,PET-CT scan of the whole body demonstrated the ﬂuorodeoxyglucose (FDG)-avid mass (maximum standard uptake volume (SUVmax 2.6).,fonc-10-574112-g001,NotMatch,NotMatch
PMC7813981,Figure 2,"
(A) Tumor mainly composed of pale and dark cells, which are similar to basaloid in benign part (HE, × 100). (B) Lymphocytes (arrows) were infiltrated around the central tumor area (HE, × 100). (C) Partial capsule is incomplete (arrows), forming a focal infiltration (HE, × 100). (D) The mitotic activity (arrow) was high with a mitotic index count estimated at 10∼15 mitosis per 10 high power field (HE, × 400).",fonc-10-574112-g002,NotMatch,Match
