pmid,pmcid,title,journal,insert_time,has_targz,disease
11769579,PMC4531729,Intrathoracic malignant peripheral nerve sheath tumor in von Recklinghausen's disease.,Korean J Intern Med,2023-12-17-22-14-31,True,Match
15906964,PMC3891405,Malignant peripheral nerve sheath tumor in neurofibromatosis type I: unusual presentation of intraabdominal or intrathoracic mass.,Korean J Intern Med,2023-12-17-22-14-31,True,Match
16923196,PMC1560134,Malignant peripheral nerve sheath tumors (MPNST)--clinicopathological study and treatment outcome of twenty-four cases.,World J Surg Oncol,2023-12-17-22-14-31,True,Match
16981999,PMC1584249,Uncommon sarcomas of the uterine cervix: a review of selected entities.,Diagn Pathol,2023-12-17-22-14-31,True,NotMatch
17227576,PMC1780055,Brain metastases as primary manifestation of a melanocytic malignant peripheral nerve sheath tumor in a 60-year-old man.,BMC Neurol,2023-12-17-22-14-31,True,Match
17251660,PMC1557797,Electroporation therapy in soft tissue sarcoma: a potentially effective novel treatment.,Sarcoma,2023-12-17-22-14-31,True,NotMatch
18154670,PMC2246134,Malignant peripheral nerve sheath tumor of the breast: case report.,World J Surg Oncol,2023-12-17-22-14-31,True,Match
19830003,PMC2740005,Malignant peripheral nerve sheath tumor in neurobifromatosis type-1: two case reports.,Cases J,2023-12-17-22-14-31,True,Match
19901965,PMC2809821,Inhibition of Eyes Absent Homolog 4 expression induces malignant peripheral nerve sheath tumor necrosis.,Oncogene,2023-12-17-22-14-31,True,Match
20205747,PMC2881068,"Malignant peripheral nerve sheath tumor associated with neurofibromatosis type 1, with metastasis to the heart: a case report.",Diagn Pathol,2023-12-17-22-14-31,True,Match
20671860,PMC2905584,A Rare Malignant Triton Tumor.,Case Rep Neurol,2023-12-17-22-14-31,True,NotMatch
21139905,PMC2994463,Malignant neuroectodermal tumor with melanocytic and rhabdomyoblastic differentiation.,Rare Tumors,2023-12-17-22-14-31,True,NotMatch
21139906,PMC2994481,Malignant Triton tumor in the retroperitoneal space associated with neurofibromatosis type 1: a case study.,Rare Tumors,2023-12-17-22-14-31,True,NotMatch
21418642,PMC3070674,Malignant peripheral nerve sheath tumor arising from the greater omentum: case report.,World J Surg Oncol,2023-12-17-22-14-31,True,Match
21423902,PMC3056624,Malignant brachial plexopathy: A pictorial essay of MRI findings.,Indian J Radiol Imaging,2023-12-17-22-14-31,True,NotMatch
21460792,PMC3197311,Orthotopic xenografting of human luciferase-tagged malignant peripheral nerve sheath tumor cells for in vivo testing of candidate therapeutic agents.,J Vis Exp,2023-12-17-22-14-31,True,Match
21541199,PMC3086164,"Single-stage posterior midline approach for dumbbell tumors of the thoracic spine, with intraoperative CT guidance.",Surg Neurol Int,2023-12-17-22-14-31,True,NotMatch
21731277,PMC3125655,Intraoral presentation of multiple malignant peripheral nerve sheath tumors associated with neurofibromatosis-1.,J Oral Maxillofac Pathol,2023-12-17-22-14-31,True,Match
22148039,PMC3229054,Primary malignant rhabdoid melanoma.,Ann Dermatol,2023-12-17-22-14-31,True,NotMatch
22151963,PMC3269400,Delineation of the clinical phenotype associated with non-mosaic type-2 NF1 deletions: two case reports.,J Med Case Rep,2023-12-17-22-14-31,True,NotMatch
22461875,PMC3299187,Malignant schwannoma of anterior abdominal wall: report of a case.,J Clin Med Res,2023-12-17-22-14-31,True,NotMatch
22515616,PMC3438054,A rare case of malignant triton tumor in the cerebellopontine angle.,Diagn Pathol,2023-12-17-22-14-31,True,NotMatch
22606446,PMC3350304,Advanced epithelioid malignant peripheral nerve sheath tumor showing complete response to combined surgery and chemotherapy: a case report.,Case Rep Oncol Med,2023-12-17-22-14-31,True,Match
22773934,PMC3390600,Malignant peripheral nerve sheath tumors: differentiation patterns and immunohistochemical features - a mini-review and our new findings.,J Cancer,2023-12-17-22-14-31,True,Match
22814266,PMC6000070,[Malignant peripheral nerve sheath tumor of the left lung: a case report].,Zhongguo Fei Ai Za Zhi,2023-12-17-22-14-31,True,Match
22829840,PMC3399549,Radiation-induced peripheral malignant nerve sheath tumor arising from vestibular schwannoma after linac-based stereotactic radiation therapy: a case report and review of literatures.,Case Rep Med,2023-12-17-22-14-31,True,NotMatch
23066463,PMC3461777,Coexistent malignant peripheral nerve sheath tumor and lateral spinal meningoceles.,J Surg Tech Case Rep,2023-12-17-22-14-31,True,Match
23091673,PMC3467372,Brachial plexus tumors in a consecutive series of twenty one patients.,J Korean Neurosurg Soc,2023-12-17-22-14-31,True,NotMatch
