pmcid,label,caption,graphic,disease,modality
PMC4531729,Figure 1.,"(A) Multiple variable sized cafe-au-lait spots and nodular skin lesions over the chest wall and both arms. (B) Chest PA shows a homogeneous mass density at right upper lung field with well demarcated margin and elevation of right side diaphragm. (C) Chest MRI shows a homogeneous, well-enhanced and well-circumscribed 12×10×8 cm mass involved in the mediastinum and right supraclavicular fossa with multiple adjacent lymphadenopathy. The lesion extrinsically compressed the trachea, esophagus, right carotid and subclavian artery, and encased the brachial plexus. (D) Lower power view of MPNST shows nodular growth pattern and conspicious necrosis (H & E stain, ×100). (E) The tumor cells show pleomorphism and twisted and irregular-shaped nuclei in high power field (H & E stain, ×400). (F) Immunohistochemical stain for S-100 stain shows positive reaction on tumor lesion (×100).",kjim-16-3-201-9f1,NotMatch,Match
PMC1584249,Figure 1,Proportional distribution (estimated) of all previously reported cases of cervical sarcoma.,1746-1596-1-30-1,NotMatch,NotMatch
PMC1560134,Figure 1,Shows Kaplan Meier survival curve indicating disease free survival in months.,1477-7819-4-55-1,NotMatch,NotMatch
PMC1560134,Figure 2,Shows Kaplan Meier survival curve indicating overall survival in months.,1477-7819-4-55-2,NotMatch,NotMatch
PMC1560134,Figure 3,Shows Kaplan Meier Curve indicating the effect of postoperative radiotherapy on disease free survival.,1477-7819-4-55-3,NotMatch,NotMatch
PMC1560134,Figure 4,Shows Kaplan Meier Curve indicating the effect of post operative radiotherapy on overall survival.,1477-7819-4-55-4,NotMatch,NotMatch
PMC1560134,Figure 5,Kaplan Meier Curve indicating the impact of cellular differentiation on disease free survival.,1477-7819-4-55-5,NotMatch,NotMatch
PMC1560134,Figure 6,Kaplan Meier Curve indicating the impact of cellular differentiation on overall survival.,1477-7819-4-55-6,NotMatch,NotMatch
PMC1560134,Figure 7,Shows Kaplan Meier projected survival curve indicating the influence of relapse of the disease on overall survival of the patients.,1477-7819-4-55-7,NotMatch,NotMatch
PMC3891405,Figure 1,"Skin lesions of case I. There are numerous, small subcutaneous nodules of neurofibroma and brownish-pigmented lesions (café au lait spots) in the trunk.",kjim-20-100-g001,NotMatch,NotMatch
PMC3891405,Figure 2,Abdominal CT scan of case I demonstrating a large (approximately 9×10 cm) inhomogeneous mass with an area of central necrosis.,kjim-20-100-g002,NotMatch,Match
PMC3891405,Figure 3,"(A) The tumor cells show frequent mitoses of more than five per one high power field (H & E stain, ×400). (B) Immunohistochemical stain for the S-100 protein shows a positive reaction.",kjim-20-100-g003,NotMatch,Match
PMC3891405,Figure 4,Chest PA (A) and CT scan (B) of case II show a homogenous mass measuring 3.5 cm×2.5 cm at the left upper lung field with a well-demarcated margin.,kjim-20-100-g004,NotMatch,NotMatch
PMC3891405,Figure 5,Chest CT scan of case II shows an inhomogeneous mass and a large amount of a left pleural effusion.,kjim-20-100-g005,NotMatch,NotMatch
PMC3891405,Figure 6,The chest CT scan shows that the tumor is markedly reduced after chemotherapy.,kjim-20-100-g006,NotMatch,NotMatch
PMC1557797,Figure 1,"MedPulser electroporation device from Genetronics
Biomedical Corporation (San Diego, California, USA).
Permission granted by Genetronics Inc Pulse generator, foot
switch, and applicator.",SRCM2006-85234.001,NotMatch,NotMatch
PMC1557797,Figure 2,"MRI (coronal view) showed the tumor in the right
infratemporal fossa with intracranial extension and invasion of
the maxillary sinus and mandible.",SRCM2006-85234.002,NotMatch,NotMatch
PMC1557797,Figure 3,"Surgical specimen including maxillectomy, segmental
mandibula resection, and selective neck dissection.",SRCM2006-85234.003,NotMatch,NotMatch
PMC1557797,Figure 4,"Subcutaneous metastasis in the scar of the craniotomy 5
months after initial treatment.",SRCM2006-85234.004,NotMatch,NotMatch
PMC1557797,Figure 5,"MRI (axial view) showed the subcutaneous temporal
metastasis with intact underlying bone.",SRCM2006-85234.005,NotMatch,NotMatch
PMC1557797,Figure 6,(a) Intralesional injection of bleomycin. (b) Electroporation therapy.,SRCM2006-85234.006,NotMatch,NotMatch
PMC1557797,Figure 7,"Lesion after 5 weeks (a), 10 weeks (b), and 12 months (c).",SRCM2006-85234.007,NotMatch,NotMatch
PMC1780055,Figure 1,"A, C Pre-Operative MRI: contrast-enhancing lesion in the left and right frontal lobe. B MRI follow-up after 6 month: no recurrence of the tumor after resection and irradiation (left frontal). D MRI follow-up after 6 month: no progression of the tumor after irradiation only (right frontal).",1471-2377-7-2-1,NotMatch,NotMatch
PMC1780055,Figure 2,Whole-body MRI (T2WI) identified structure of increased signal intensity in close relation to the sciatic nerve (arrow).,1471-2377-7-2-2,NotMatch,NotMatch
PMC1780055,Figure 3,"Whole-body MRI (T1WI+Gd) axial sacral slice, identified structure of increased signal intensity in close relation to the right sciatic nerve.",1471-2377-7-2-3,NotMatch,NotMatch
PMC1780055,Figure 4,Spinal sagittal MRI (T1WI+Gd) identified tumors in the sacral section of spinal column (S1 and S2).,1471-2377-7-2-4,NotMatch,NotMatch
PMC1780055,Figure 5,"A Hematoxylin-Eosin (H&E) staining, with polymorphic, spindled cells in nestlike clusters (10×). B Melanin within epitheloid cells (20×). C Positive immunreaction against S-100 (20×). D Positive immunreaction against VIM (20×).",1471-2377-7-2-5,NotMatch,Match
PMC2246134,Figure 1,a. Alternating hyper and hypocellular areas of tumor with palisading spindle shaped cells and intervening myxoid areas (H&E ×200). Cells are diffusely positive for S-100 (b) (Immunoperoxidase ×200),1477-7819-5-142-1,NotMatch,Match
PMC2246134,Figure 2,Hyperchromatic and pleomorphic wavy nuclei with mitoses. (H&E ×400),1477-7819-5-142-2,NotMatch,Match
PMC2740005,Figure 1.,MRI image showing the site of the tumor in the left tibia (Case 1).,1757-1626-0002-0000007612-001,NotMatch,NotMatch
PMC2740005,Figure 2.,Histology demonstrates a plexiform malignant peripheral nerve sheath tumor; hematoxylin-eosin stain × 40 (Case 1).,1757-1626-0002-0000007612-002,Match,NotMatch
PMC2740005,Figure 3.,"(A) Multiple cutaneous neurofibromas over the anterior thoracic and abdominal wall and café-au-lait spots characteristic of neurofibromatosis type-1 (NF1) and an axillary tumor. (B) Multiple cutaneous neurofibromas and café-au-lait spots over the dorsum and an ulcerating mass, which on biopsy revealed sarcomatous transformation (Case 2).",1757-1626-0002-0000007612-003,NotMatch,NotMatch
PMC2881068,Figure 1,Clinical manifestations of NF1: multiple cutaneous neurofibromas and café-au-lait spots.,1746-1596-5-2-1,NotMatch,NotMatch
PMC2881068,Figure 2,"Hematoxylin and eosin and S-100 staining of the tumors of the thigh treated surgically in 1990 (A, B), recurrent tumor operated in 1995 (C, D) and metastatic tumor in heart (E, F) and lung (G, H) at autopsy in 2007. A, C, E, G: Hematoxylin and eosin staining; B, D, F, H: S-100 immunohistochemistry. Histological factors such as cellularity, degree of nuclear atypia, mitotic counts, and S-100 immunoreactivity were similar among the specimens.",1746-1596-5-2-2,NotMatch,NotMatch
