pmcid,figure_name,width,height
PMC4606588,IJABMR-5-220-g001.jpg,594,586
PMC4606588,IJABMR-5-220-g002.jpg,539,386
PMC3881931,OL-07-02-0342-g00.jpg,688,1207
PMC4352436,CRIDM2015-487814.004.jpg,750,283
PMC4352436,CRIDM2015-487814.002.jpg,750,509
PMC4352436,CRIDM2015-487814.003.jpg,750,283
PMC4352436,CRIDM2015-487814.001.jpg,743,283
PMC6676843,UA-11-314-g001.jpg,386,586
PMC6676843,UA-11-314-g002.jpg,718,586
PMC6775486,cp-9-3-1176-g001.jpg,500,419
PMC6775486,cp-9-3-1176-g003.jpg,500,478
PMC6775486,cp-9-3-1176-g002.jpg,500,351
PMC7247623,IDOJ-11-216-g004.jpg,538,359
PMC7247623,IDOJ-11-216-g003.jpg,538,359
PMC7247623,IDOJ-11-216-g002.jpg,539,359
PMC7247623,IDOJ-11-216-g001.jpg,538,359
PMC6626626,13256_2019_2133_Fig1_HTML.jpg,787,680
PMC6626626,13256_2019_2133_Fig4_HTML.jpg,787,457
PMC6626626,13256_2019_2133_Fig3_HTML.jpg,787,444
PMC6626626,13256_2019_2133_Fig2_HTML.jpg,787,597
PMC7164741,medarch-74-28-g011.jpg,462,755
PMC7164741,medarch-74-28-g009.jpg,521,747
PMC7164741,medarch-74-28-g005.jpg,503,404
PMC7164741,medarch-74-28-g004.jpg,546,409
PMC7164741,medarch-74-28-g008.jpg,463,668
PMC7164741,medarch-74-28-g001.jpg,498,663
PMC7164741,medarch-74-28-g013.jpg,527,703
PMC7164741,medarch-74-28-g007.jpg,551,703
PMC7164741,medarch-74-28-g012.jpg,566,755
PMC7164741,medarch-74-28-g002.jpg,497,663
PMC7164741,medarch-74-28-g003.jpg,498,663
PMC7164741,medarch-74-28-g006.jpg,521,694
PMC7164741,medarch-74-28-g010.jpg,521,747
PMC8088894,IJU5-4-172-g002.jpg,709,672
PMC8088894,IJU5-4-172-g001.jpg,709,907
PMC8896147,13052_2022_1224_Fig1_HTML.jpg,786,548
PMC8896147,13052_2022_1224_Fig2_HTML.jpg,595,600
PMC8901341,CRIRA2022-8899541.001.jpg,754,261
PMC8901341,CRIRA2022-8899541.004.jpg,414,297
PMC8901341,CRIRA2022-8899541.003.jpg,521,242
PMC8901341,CRIRA2022-8899541.002.jpg,312,255
PMC10117023,AJPS-20-80-g003.jpg,539,177
PMC10117023,AJPS-20-80-g001.jpg,539,286
PMC10117023,AJPS-20-80-g002.jpg,539,201
PMC8488025,gr2.jpg,790,1048
PMC8488025,gr3.jpg,791,1050
PMC8488025,gr1.jpg,688,518
