pmid,pmcid,title,journal,insert_time,label,caption,graphic
17619701,PMC5917203,"Ciliated median raphe cyst of perineum presenting as perianal polyp: a case report with immunohistochemical study, review of literature, and pathogenesis.",ScientificWorldJournal,2023-12-17-22-02-48,,,
24396444,PMC3881931,Pigmented median raphe cyst of the penis with consideration of the possible mechanism of melanocytic colonization: A case report.,Oncol Lett,2023-12-17-22-02-48,Figure 1,"Histopathological and immunohistochemical features of the nodule on the ventral aspect of the penis. (A) The cyst wall was covered by bland urothelial cells and dendritic melanocytes were present within the epithelium. (B) Immunostaining for Melan-A clearly demonstrated dendritic melanocytes. (C) Stem cell factor was not expressed (hematoxylin and eosin; magnification, ×400).",OL-07-02-0342-g00
25793130,PMC4352436,Perianal median raphe cyst: a rare lesion with unusual histology and localization.,Case Rep Dermatol Med,2023-12-17-22-02-48,Figure 1,"(a) Invaginated intradermal cyst. (b) Paved areas with stratified squamous epithelium (hematoxylin and eosin, magnifications (a) ×50, (b) ×200).",CRIDM2015-487814.001
25793130,PMC4352436,Perianal median raphe cyst: a rare lesion with unusual histology and localization.,Case Rep Dermatol Med,2023-12-17-22-02-48,Figure 2,"Cyst lining ciliated epithelium (arrow) (hematoxylin and eosin, magnification ×200).",CRIDM2015-487814.002
25793130,PMC4352436,Perianal median raphe cyst: a rare lesion with unusual histology and localization.,Case Rep Dermatol Med,2023-12-17-22-02-48,Figure 3,"(a) Columnar epithelium with scattered goblet cells. (b) Bright pink mucin secretion in goblet cells ((a) hematoxylin and eosin and (b) mucicarmine, magnifications (a) and (b) ×200).",CRIDM2015-487814.003
25793130,PMC4352436,Perianal median raphe cyst: a rare lesion with unusual histology and localization.,Case Rep Dermatol Med,2023-12-17-22-02-48,Figure 4,"(a) Pigmented macrophages under stratified squamous epithelium. (b) This pigmented area consisted of blue colored hemosiderin and brown colored melanin ((a) hematoxylin and eosin and (b) Prussian blue, magnifications (a) and (b) ×100).",CRIDM2015-487814.004
26539378,PMC4606588,Para-meatal urethral cyst with bladder calculi: A case report and review of the literature.,Int J Appl Basic Med Res,2023-12-17-22-02-48,Figure 1,Clinical photograph of an obstructive para-meatal urethral cyst,IJABMR-5-220-g001
26539378,PMC4606588,Para-meatal urethral cyst with bladder calculi: A case report and review of the literature.,Int J Appl Basic Med Res,2023-12-17-22-02-48,Figure 2,Ultrasound image showing an echo-reflective bladder calculus,IJABMR-5-220-g002
31301740,PMC6626626,Median raphe cyst of the penis: a case report and review of the literature.,J Med Case Rep,2023-12-17-22-02-48,Fig. 1,"A solitary, soft, translucent cystic lesion of about 1-cm diameter seen at the ventral aspect of glans penis, close to the meatus",13256_2019_2133_Fig1_HTML
31301740,PMC6626626,Median raphe cyst of the penis: a case report and review of the literature.,J Med Case Rep,2023-12-17-22-02-48,Fig. 2,Ultrasonography of the cyst showing a well-circumscribed isoechoic lesion without any extension to the urethra,13256_2019_2133_Fig2_HTML
31301740,PMC6626626,Median raphe cyst of the penis: a case report and review of the literature.,J Med Case Rep,2023-12-17-22-02-48,Fig. 3,"a and b Glans penis immediately following excision of the cyst and after healing, leaving no residual effect",13256_2019_2133_Fig3_HTML
31301740,PMC6626626,Median raphe cyst of the penis: a case report and review of the literature.,J Med Case Rep,2023-12-17-22-02-48,Fig. 4,a Hematoxylin and eosin (H&E) stain (original magnification ×200) showing cystic cavity lined externally by normal skin and internally by pseudostratified columnar epithelium. b H&E stain (original magnification ×400) showing cyst wall lined partly by ciliated pseudostratified columnar epithelium and partly by columnar epithelium,13256_2019_2133_Fig4_HTML
31413513,PMC6676843,Median raphe cyst of the penis: A startling diagnosis for the unaccustomed clinician.,Urol Ann,2023-12-17-22-02-48,Figure 1,"Skin-lined tissue with a cyst lined by cuboidal epithelium (H and E, ×10)",UA-11-314-g001
31413513,PMC6676843,Median raphe cyst of the penis: A startling diagnosis for the unaccustomed clinician.,Urol Ann,2023-12-17-22-02-48,Figure 2,"Stratified cuboidal epithelium noted at few foci of the cyst (H and E, ×40)",UA-11-314-g002
31583066,PMC6775486,Median raphe cyst: A clinically challenging diagnosis.,Clin Pract,2023-12-17-22-02-48,Figure 1.,"Ultrasound showing the 7.5×1.5×1.2 cm avascular cystic structure. Left hemiscrotum: testicular morphology and flow is normal. Along the posterior scrotum, extending from the base of the penis at least 8 cm is a 7.5×1.5×1.2 cm avascular fluid filled tubular structure with thickened walls (white arrow). Ultrasound impression was an unusual complex tubular structure in the superficial posterior scrotum, no associated mass, most likely occlusion of superficial vein.",cp-9-3-1176-g001
31583066,PMC6775486,Median raphe cyst: A clinically challenging diagnosis.,Clin Pract,2023-12-17-22-02-48,Figure 2.,"Computed tomography (CT) scan showing the scrotal cyst along the scrotal midline. Concordant with ultrasound, an avascular appearing tubular structure (yellow arrow) that extends from the base of the penis anterior and inferior along the scrotum. No overt findings of infection in the regional fat. CT impression was most likely a thrombosed vessel, consider urologic consultation.",cp-9-3-1176-g002
31583066,PMC6775486,Median raphe cyst: A clinically challenging diagnosis.,Clin Pract,2023-12-17-22-02-48,Figure 3.,"A) Transitional epithelium mixed with goblet cells and a prominent neutrophilic infiltration (H&E stain, ×200). B) Squamous epithelium lining with a prominent neutrophilic infiltration (H&E stain, ×200). C) Mucin producing goblet cells are highlighted in pink (Mucicarmine stain, ×400). D) Alcian blue/Periodic Acid-Shiff (PAS) also demonstrates the presence of goblet cells (Alcian Blue/PAS stain, ×400).",cp-9-3-1176-g003
32317831,PMC7164741,Anogenital Papular Lesions in Children Five Year Old and Younger: Gender Differences.,Med Arch,2023-12-17-22-02-48,Figure 1a.,Perianal Pseudoverrucous papules and nodules over erythematous macerated base in the Anogenital area,medarch-74-28-g001
32317831,PMC7164741,Anogenital Papular Lesions in Children Five Year Old and Younger: Gender Differences.,Med Arch,2023-12-17-22-02-48,Figure 1b.,Perianal Psuedoverrucous papules and nodules in a female patient,medarch-74-28-g002
