pmcid,label,caption,graphic
PMC2631493,Figure 1,Brownish-black macular lesion on left buccal mucosa adjacent to molar teeth with Class V glass ionomer cement restorations (arrows).,1752-1947-3-11-1
PMC2631493,Figure 2,"Hematoxylin and eosin stained sections (A, B and C) revealed stratified squamous non-keratinized epithelium exhibiting acanthosis and numerous dendritic melanocytes throughout the entire thickness of the epithelium; Masson-Fontana (M-F) special stain reveals numerous melanocytes.",1752-1947-3-11-2
PMC2631493,Figure 3,"Follow-up of lesion after 1 week (A), after 2 weeks (B) and complete resolution after 2 months (C).",1752-1947-3-11-3
PMC3088943,Figure 1,"Oval lesion of maximum transverse diameter 10 cm having brown to blackish pigmentation, well-defined margin and verrucous surface",IJD-56-79-g001
PMC3088943,Figure 2,"Dermoscopy showing regular pigmentary network without any suggestive features of malignant melanoma like brown globules, black dots, pseudopods, or depigmentation. Cribriform patterns of ridges are seen.",IJD-56-79-g002
PMC3088943,Figure 3,The basaloid cells formed well-defined islands and numerous melanocytes were scattered throughout the lesion (H&E stain: 400×),IJD-56-79-g003
PMC3505710,Figure 1,"Labial melanotic macule. B). Increased numbers of me-lanocytes along the junctional zone (H&E, x 200). C) Intraoral me-lanocytic nevus located on the left buccal mucosa. D) Nevus cells located within the connective tissue (H&E, x 200). E) Blue nevus located on the right posterior hard palate. F) Blue nevus showing proliferation of dendritic melanocytes, elongated and spindle-shaped in connective tissue deep (H&E, x 100).",medoral-17-e919-g001
PMC3505710,Figure 2,"A) Melanoacanthoma on the right buccal mucosa. B) Me-lanoacanthoma showing proliferation of benign dendritic melanocytes scattered throughout the epithelium, acanthosis and spongiosis (H&E, x 100). C) Clinical aspect of amalgam tattoo on the gingival border bilaterally. D) Radiographic evaluation of amalgam tattoo. E) Oral melanoma located in gingival region. F) Histopathology of oral melanoma with atypical melanocytes, nuclear pleomorphism and hyperchromatism (H&E, x 100).",medoral-17-e919-g002
PMC3505710,Figure 3,Peutz-Jeghers syndrome: black spots localized in the perioral area. ,medoral-17-e919-g003
PMC3519227,Figure 1,"Diffuse pigmentation involving hard palate, soft palate, bucal mucosa and retromolar areas",JOMFP-16-441-g001
PMC3519227,Figure 2,Marked acanthosis (Hematoxylin and Eosin. 40×),JOMFP-16-441-g002
PMC3519227,Figure 3,S-100 protein positivity in suprabasal layers indicating dendritic melanocytes in acanthotic epithelium,JOMFP-16-441-g003
PMC3568418,Figure 1,"A, Photograph showing the clinical appearance of the lesion. B, Lesion afterincisional biopsy.",1756-0500-6-30-1
PMC3568418,Figure 2,Histopathological appearance of melanoacanthoma stained with hematoxylin-eosin at different magnifications (A: 100x; B: 200x; C: 400x) and stained with periodic acid Schiff at 200x magnification (D).,1756-0500-6-30-2
PMC3568418,Figure 3,Immunostainingfor melan-A at three different magnifications.,1756-0500-6-30-3
PMC3568418,Figure 4,"Immunostaining for geminin (A), Ki-67 (B), MCM-2 (C), and MCM-5 (D).",1756-0500-6-30-4
PMC3808024,Figure 1,Melanoacanthoma on the maxillary posterior gingiva,JISP-17-657-g002
PMC3808024,Figure 2,"Melanoacanthoma on the occlusal surface of 26, 27",JISP-17-657-g003
PMC3808024,Figure 3,Gingivectomy carried out in II quadrant – Buccal aspect,JISP-17-657-g004
PMC3808024,Figure 4,Excised tissue after gingivectomy,JISP-17-657-g005
PMC3808024,Figure 5,Surgical area 2 weeks post-operatively,JISP-17-657-g006
PMC3808024,Figure 6,One year follow-up with no recurrence,JISP-17-657-g007
PMC3808024,Figure 7,Microscopical features of melanoacathoma showing dendritic melanocytes distributed throughout acanthotic epithelium (H and E; original magnification ×100),JISP-17-657-g008
PMC3808024,Figure 8,Melanoacanthoma showing dendritic melanocytes distributed in basal and suprabasal layers of epithelium with normal connective tissue (original magnification ×45),JISP-17-657-g009
PMC3673377,Figure 1,Well-defined deeply pigmented verrucous mass measuring 15 cm by 8 cm over the left inguinal region with areas depigmentation and maceration at the sites of friction,IDOJ-4-119-g001
PMC3673377,Figure 2,"At ×4 magnification, H and E staining epidermis showing hyperkeratosis, papillomatosis, acanthosis, with melanocytes spanning all layers of the epidermis with abundant melanin and small horn cysts. Base of the tumor is seen lying in a straight line with the surrounding normal epidermis",IDOJ-4-119-g002
