pmcid,figure_name,width,height
PMC3088943,IJD-56-79-g002.jpg,695,520
PMC3088943,IJD-56-79-g001.jpg,586,779
PMC3088943,IJD-56-79-g003.jpg,603,522
PMC2631493,1752-1947-3-11-2.jpg,600,120
PMC2631493,1752-1947-3-11-1.jpg,600,453
PMC2631493,1752-1947-3-11-3.jpg,600,194
PMC3505710,medoral-17-e919-g003.jpg,707,445
PMC3505710,medoral-17-e919-g002.jpg,700,721
PMC3505710,medoral-17-e919-g001.jpg,718,766
PMC3519227,JOMFP-16-441-g001.jpg,543,376
PMC3519227,JOMFP-16-441-g002.jpg,543,394
PMC3519227,JOMFP-16-441-g003.jpg,543,394
PMC3758711,JLP-5-63-g001.jpg,720,538
PMC3758711,JLP-5-63-g002.jpg,720,538
PMC3568418,1756-0500-6-30-2.jpg,600,447
PMC3568418,1756-0500-6-30-4.jpg,600,442
PMC3568418,1756-0500-6-30-1.jpg,600,261
PMC3568418,1756-0500-6-30-3.jpg,600,1348
PMC3673377,IDOJ-4-119-g003.jpg,641,484
PMC3673377,IDOJ-4-119-g005.jpg,514,686
PMC3673377,IDOJ-4-119-g001.jpg,668,895
PMC3673377,IDOJ-4-119-g004.jpg,645,484
PMC3673377,IDOJ-4-119-g002.jpg,651,485
PMC3808024,JISP-17-657-g003.jpg,503,391
PMC3808024,JISP-17-657-g009.jpg,618,391
PMC3808024,JISP-17-657-g004.jpg,669,391
PMC3808024,JISP-17-657-g005.jpg,572,391
PMC3808024,JISP-17-657-g001.jpg,1161,474
PMC3808024,JISP-17-657-g002.jpg,669,391
PMC3808024,JISP-17-657-g008.jpg,630,391
PMC3808024,JISP-17-657-g007.jpg,670,392
PMC3808024,JISP-17-657-g006.jpg,670,392
PMC4034627,ijcpd-06-040-g003.jpg,600,441
PMC4034627,ijcpd-06-040-g004.jpg,600,441
PMC4034627,ijcpd-06-040-g005.jpg,600,441
PMC4034627,ijcpd-06-040-g002.jpg,600,441
PMC4034627,ijcpd-06-040-g001.jpg,600,441
PMC4828376,ad-28-152-g001.jpg,789,293
PMC4828376,ad-28-152-g003.jpg,622,450
PMC4828376,ad-28-152-g004.jpg,622,539
PMC4828376,ad-28-152-g005.jpg,789,230
PMC4828376,ad-28-152-i002.jpg,742,290
PMC4828376,ad-28-152-i004.jpg,746,328
PMC4828376,ad-28-152-g002.jpg,622,446
PMC4828376,ad-28-152-i003.jpg,746,398
PMC4828376,ad-28-152-i001.jpg,748,362
PMC5108642,dp0604a06g003.jpg,666,571
PMC5108642,dp0604a06g004.jpg,666,842
PMC5108642,dp0604a06g005.jpg,675,160
PMC5108642,dp0604a06g002.jpg,666,446
PMC5108642,dp0604a06g001.jpg,683,226
PMC5789764,gr2.jpg,711,339
PMC5789764,gr1.jpg,602,355
PMC10118927,2359-4292-aem-61-04-0403-gf02.jpg,600,448
PMC10118927,2359-4292-aem-61-04-0403-gf01.jpg,600,550
PMC6106659,abd-93-05-0737-g02.jpg,771,551
PMC6106659,abd-93-05-0737-g04.jpg,771,770
PMC6106659,abd-93-05-0737-g05.jpg,771,413
PMC6106659,abd-93-05-0737-g03.jpg,771,551
PMC6106659,abd-93-05-0737-g01.jpg,693,970
PMC6306582,JOMFP-22-410-g002.jpg,539,223
PMC6306582,JOMFP-22-410-g001.jpg,539,398
PMC6306582,JOMFP-22-410-g003.jpg,539,199
PMC4930645,jced-8-e327-t003.jpg,1200,2420
PMC4930645,jced-8-e327-g003.jpg,676,601
PMC4930645,jced-8-e327-t005.jpg,1200,1643
PMC4930645,jced-8-e327-g001.jpg,684,454
PMC4930645,jced-8-e327-t001.jpg,1200,1800
PMC4930645,jced-8-e327-t004.jpg,1200,1560
PMC4930645,jced-8-e327-t002.jpg,1200,1800
PMC4930645,jced-8-e327-g002.jpg,684,453
PMC6706987,IJT-11-167-g001.jpg,539,400
PMC6522109,jced-11-e391-t001.jpg,732,829
PMC6522109,jced-11-e391-g003.jpg,748,151
PMC6522109,jced-11-e391-g001.jpg,747,123
PMC6522109,jced-11-e391-g002.jpg,749,187
PMC6939077,gr2.jpg,652,598
PMC6939077,gr3.jpg,697,151
PMC6939077,gr1.jpg,603,425
PMC7164714,cureus-0012-00000007315-i01.jpg,800,1222
PMC7164714,cureus-0012-00000007315-i04.jpg,800,1120
PMC7164714,cureus-0012-00000007315-i05.jpg,800,542
PMC7164714,cureus-0012-00000007315-i03.jpg,800,400
PMC7164714,cureus-0012-00000007315-i02.jpg,800,534
PMC8141314,medoral-26-e284-t003.jpg,778,558
PMC8141314,medoral-26-e284-g003.jpg,786,870
PMC8141314,medoral-26-e284-t001.jpg,778,463
PMC8141314,medoral-26-e284-g001.jpg,797,605
PMC8141314,medoral-26-e284-g002.jpg,681,976
PMC8141314,medoral-26-e284-g004.jpg,800,900
PMC8141314,medoral-26-e284-t004.jpg,778,350
PMC8141314,medoral-26-e284-t002.jpg,778,492
PMC6707823,cureus-0011-00000004998-i02.jpg,800,634
PMC6707823,cureus-0011-00000004998-i07.jpg,800,511
PMC6707823,cureus-0011-00000004998-i05.jpg,800,778
PMC6707823,cureus-0011-00000004998-i03.jpg,800,328
PMC6707823,cureus-0011-00000004998-i01.jpg,800,528
PMC6707823,cureus-0011-00000004998-i04.jpg,800,562
PMC6707823,cureus-0011-00000004998-i06.jpg,800,640
PMC9380846,cureus-0014-00000026946-i03.jpg,750,652
PMC9380846,cureus-0014-00000026946-i01.jpg,750,966
PMC9380846,cureus-0014-00000026946-i02.jpg,750,209
PMC7907239,gr2.jpg,602,652
PMC7907239,gr4.jpg,711,711
PMC7907239,gr3.jpg,711,502
PMC7907239,gr1.jpg,711,711
PMC9792031,IJD-67-404-g001.jpg,605,460
PMC9792031,IJD-67-404-g002.jpg,669,496
PMC7780343,f1000research-9-31485-g0003.jpg,711,434
PMC7780343,f1000research-9-31485-g0001.jpg,710,457
PMC7780343,f1000research-9-31485-g0002.jpg,710,549
PMC7780343,f1000research-9-31485-g0000.jpg,794,1604
PMC9850976,WJCC-11-449-g003.jpg,742,279
PMC9850976,WJCC-11-449-g002.jpg,771,418
PMC9850976,WJCC-11-449-g001.jpg,708,392
