pmid,pmcid,title,journal,insert_time
10070875,PMC2362652,High efficiency of benzoporphyrin derivative in the photodynamic therapy of pigmented malignant melanoma.,Br J Cancer,2023-12-17-22-14-13
10070887,PMC2362683,"p21(WAF1/CIP1) expression in stage I cutaneous malignant melanoma: its relationship with p53, cell proliferation and survival.",Br J Cancer,2023-12-17-22-14-13
10070891,PMC2362648,p53 mutations in human cutaneous melanoma correlate with sun exposure but are not always involved in melanomagenesis.,Br J Cancer,2023-12-17-22-14-13
10076570,PMC5925989,Differential regulation of MMP-9 and TIMP-2 expression in malignant melanoma developed in metallothionein/RET transgenic mice.,Jpn J Cancer Res,2023-12-17-22-14-20
10188895,PMC2362718,Combination chemotherapy for choroidal melanoma: ex vivo sensitivity to treosulfan with gemcitabine or cytosine arabinoside.,Br J Cancer,2023-12-17-22-13-44
10188914,PMC2362722,Inducible nitric oxide synthase (iNOS) expression may predict distant metastasis in human melanoma.,Br J Cancer,2023-12-17-22-13-44
10360651,PMC2362286,Expression of collagenases-1 and -3 and their inhibitors TIMP-1 and -3 correlates with the level of invasion in malignant melanomas.,Br J Cancer,2023-12-17-22-14-13
10360670,PMC2362284,Reproducibility of detection of tyrosinase and MART-1 transcripts in the peripheral blood of melanoma patients: a quality control study using real-time quantitative RT-PCR.,Br J Cancer,2023-12-17-22-13-59
10363586,PMC5926092,Ex vivo delivery of suicide genes into melanoma cells using epidermal growth factor receptor-specific Fab immunogene.,Jpn J Cancer Res,2023-12-17-22-14-20
10389979,PMC2363025,The human herpesvirus-type 8 is not involved in malignant melanoma.,Br J Cancer,2023-12-17-22-14-13
10390011,PMC2363010,"Mutation testing in melanoma families: INK4A, CDK4 and INK4D.",Br J Cancer,2023-12-17-22-13-59
10408417,PMC2363104,"Detection of regional melanoma metastases by ultrasound B-scan, cytology or tyrosinase RT-PCR of fine-needle aspirates.",Br J Cancer,2023-12-17-22-14-06
10408704,PMC2362169,Deletions of the region 17p11-13 in advanced melanoma revealed by cytogenetic analysis and fluorescence in situ hybridization.,Br J Cancer,2023-12-17-22-14-13
10432284,PMC2195569,Selective histocompatibility leukocyte antigen (HLA)-A2 loss caused by aberrant pre-mRNA splicing in 624MEL28 melanoma cells.,J Exp Med,2023-12-17-22-14-20
10468281,PMC2374265,Adjuvant interferon in the treatment of melanoma.,Br J Cancer,2023-12-17-22-14-13
10471056,PMC2363135,Investigation of female survival benefit in metastatic melanoma.,Br J Cancer,2023-12-17-22-13-51
10496345,PMC2362860,Ca2+-induced changes in energy metabolism and viability of melanoma cells.,Br J Cancer,2023-12-17-22-13-51
10499916,PMC2195637,In vivo expression of natural killer cell inhibitory receptors by human melanoma-specific cytolytic T lymphocytes.,J Exp Med,2023-12-17-22-14-13
10543249,PMC5926145,Natural killer T cell ligand alpha-galactosylceramide inhibited lymph node metastasis of highly metastatic melanoma cells.,Jpn J Cancer Res,2023-12-17-22-14-06
10555769,PMC2374297,Oral contraceptive use and risk of melanoma in premenopausal women.,Br J Cancer,2023-12-17-22-13-59
10576666,PMC2362958,Melanoma-inhibiting activity (MIA) mRNA is not exclusively transcribed in melanoma cells: low levels of MIA mRNA are present in various cell types and in peripheral blood.,Br J Cancer,2023-12-17-22-13-13
10646909,PMC2363299,Modulation of DNA topoisomerase II activity and expression in melanoma cells with acquired drug resistance.,Br J Cancer,2023-12-17-22-13-51
10727462,PMC2193116,Deregulated E2F transcriptional activity in autonomously growing melanoma cells.,J Exp Med,2023-12-17-22-14-20
10732752,PMC2374387,"Individuals with presumably hereditary uveal melanoma do not harbour germline mutations in the coding regions of either the P16INK4A, P14ARF or cdk4 genes.",Br J Cancer,2023-12-17-22-13-59
10735498,PMC2363360,Specifically regulated genes in malignant melanoma tissues identified by subtractive hybridization.,Br J Cancer,2023-12-17-22-13-59
10744047,PMC5926233,Annexin VII as a novel marker for invasive phenotype of malignant melanoma.,Jpn J Cancer Res,2023-12-17-22-13-51
10780526,PMC2363371,Expression of SCF splice variants in human melanocytes and melanoma cell lines: potential prognostic implications.,Br J Cancer,2023-12-17-22-13-51
10789730,PMC2363407,Risk of cutaneous malignant melanoma in relation to use of sunbeds: further evidence for UV-A carcinogenicity.,Br J Cancer,2023-12-17-22-13-51
