pmcid,figure_name,width,height
PMC2741035,88-6600882t1.jpg,793,655
PMC2741035,88-6600882t3.jpg,689,661
PMC2741035,88-6600882t2.jpg,780,985
PMC2741035,88-6600882t4.jpg,690,1305
PMC2195637,JEM990297.f2.jpg,596,1067
PMC2195637,JEM990297.f1.jpg,572,1008
PMC2195637,JEM990297.f3.jpg,762,863
PMC2195637,JEM990297.f4.jpg,720,275
PMC2193101,JEM001278.f2.jpg,640,342
PMC2193101,JEM001278.f6.jpg,640,303
PMC2193101,JEM001278.f3.jpg,640,287
PMC2193101,JEM001278.f7.jpg,640,571
PMC2193101,JEM001278.f4.jpg,640,365
PMC2193101,JEM001278.f5.jpg,640,476
PMC2193101,JEM001278.f1.jpg,640,309
PMC2376936,89-6601257f2.jpg,798,425
PMC2376936,89-6601257f4.jpg,762,1085
PMC2376936,89-6601257f3.jpg,740,990
PMC2376936,89-6601257f1.jpg,747,971
PMC2376936,89-6601257t1.jpg,769,454
PMC2364212,87-6600461f6.jpg,313,341
PMC2364212,87-6600461f4.jpg,304,178
PMC2364212,87-6600461t1.jpg,332,299
PMC2364212,87-6600461f1.jpg,310,489
PMC2364212,87-6600461f8.jpg,303,235
PMC2364212,87-6600461f2.jpg,313,226
PMC2364212,87-6600461f3.jpg,313,226
PMC2364212,87-6600461f9.jpg,304,427
PMC2364212,87-6600461f7.jpg,301,137
PMC2364212,87-6600461f5.jpg,300,512
PMC2364212,87-6600461t2.jpg,332,157
PMC2173224,200202049f3.jpg,585,853
PMC2173224,200202049f5.jpg,626,852
PMC2173224,200202049f2.jpg,733,853
PMC2173224,200202049f1.jpg,640,520
PMC2173224,200202049f4.jpg,640,349
PMC2173224,200202049f6.jpg,640,376
PMC2376169,87-6600521t1.jpg,332,333
PMC2376169,87-6600521f3.jpg,482,239
PMC2376169,87-6600521f2.jpg,243,388
PMC2376169,87-6600521t2.jpg,465,120
PMC2376169,87-6600521t3.jpg,332,275
PMC2376169,87-6600521f1.jpg,558,141
PMC2394337,89-6601270t3.jpg,770,256
PMC2394337,89-6601270t1.jpg,770,556
PMC2394337,89-6601270t4.jpg,769,311
PMC2394337,89-6601270t2.jpg,795,157
PMC2394337,89-6601270f1.jpg,780,1297
PMC2364185,86-6600196t5.jpg,630,373
PMC2364185,86-6600196f1.jpg,661,340
PMC2364185,86-6600196t2.jpg,687,213
PMC2364185,86-6600196t1.jpg,602,194
PMC2364185,86-6600196t3.jpg,687,443
PMC2364185,86-6600196t4.jpg,687,359
PMC2195569,JEM990341.f9.jpg,692,720
PMC2195569,JEM990341.f3.jpg,607,899
PMC2195569,JEM990341.f7.jpg,720,589
PMC2195569,JEM990341.f8.jpg,607,900
PMC2195569,JEM990341.f1.jpg,710,719
PMC2195569,JEM990341.f4.jpg,720,448
PMC2195569,JEM990341.f6.jpg,712,899
PMC2195569,JEM990341.f2.jpg,672,683
PMC2195569,JEM990341.f5.jpg,720,441
PMC7129480,gr2.jpg,300,147
PMC7129480,gr4.jpg,185,248
PMC7129480,gr3.jpg,304,191
PMC7129480,gr5.jpg,353,207
PMC7129480,gr1.jpg,300,116
PMC5724480,ACM2-4-156-g001.jpg,334,230
PMC5724480,ACM2-4-156-g004.jpg,264,629
PMC5724480,ACM2-4-156-g003.jpg,259,564
PMC5724480,ACM2-4-156-g002.jpg,417,221
PMC5191469,indmedgaz73138-0075.jpg,1023,1417
PMC5191469,indmedgaz73138-0067.jpg,983,1418
PMC5191469,indmedgaz73138-0068.jpg,983,1418
PMC5191469,indmedgaz73138-0075-b.jpg,726,649
PMC5191469,indmedgaz73138-0075-a.jpg,754,671
PMC34515,1471-5945-1-1-4.jpg,600,495
PMC34515,1471-5945-1-1-3.jpg,600,558
PMC34515,1471-5945-1-1-2.jpg,600,901
PMC34515,1471-5945-1-1-1.jpg,600,591
PMC1977965,brjcancer00063-0135-a.jpg,446,888
PMC1977965,brjcancer00063-0137-a.jpg,474,614
PMC1977965,brjcancer00063-0136-a.jpg,636,841
PMC2375438,86-6600351f4.jpg,296,106
PMC2375438,86-6600351t1.jpg,403,187
PMC2375438,86-6600351f3.jpg,295,345
PMC2375438,86-6600351t2.jpg,332,175
PMC2375438,86-6600351f2.jpg,306,395
PMC2375438,86-6600351f1.jpg,319,216
