pmcid,figure_name,width,height
PMC535548,1742-6413-1-5-2.jpg,600,450
PMC535548,1742-6413-1-5-1.jpg,600,450
PMC1208966,1477-7819-3-58-3.jpg,600,396
PMC1208966,1477-7819-3-58-5.jpg,600,473
PMC1208966,1477-7819-3-58-6.jpg,600,477
PMC1208966,1477-7819-3-58-2.jpg,374,333
PMC1208966,1477-7819-3-58-4.jpg,600,477
PMC1208966,1477-7819-3-58-1.jpg,375,595
PMC2001139,umj7602-116-f1.jpg,740,555
PMC1208865,1471-2407-5-106-3.jpg,600,360
PMC1208865,1471-2407-5-106-1.jpg,600,400
PMC1208865,1471-2407-5-106-2.jpg,600,415
PMC1382229,1477-7819-4-7-2.jpg,600,467
PMC1382229,1477-7819-4-7-1.jpg,593,720
PMC2140056,1477-3163-6-16-3.jpg,600,432
PMC2140056,1477-3163-6-16-1.jpg,600,464
PMC2140056,1477-3163-6-16-2.jpg,600,279
PMC2117014,1477-7819-5-117-4.jpg,600,431
PMC2117014,1477-7819-5-117-1.jpg,589,427
PMC2117014,1477-7819-5-117-2.jpg,519,457
PMC2117014,1477-7819-5-117-3.jpg,600,298
PMC2481414,gb-2008-9-6-228-1.jpg,600,184
PMC2409610,90-6601571t2.jpg,715,181
PMC2409610,90-6601571f1.jpg,798,1063
PMC2409610,90-6601571f4.jpg,670,493
PMC2409610,90-6601571t1.jpg,779,199
PMC2409610,90-6601571f2.jpg,678,737
PMC2409610,90-6601571f3.jpg,788,881
PMC2654729,pone.0004958.g001.jpg,661,267
PMC2654729,pone.0004958.t001.jpg,657,546
PMC7172143,gr2_lrg.jpg,686,515
PMC7172143,gr1_lrg.jpg,666,876
PMC2279132,1477-7819-6-32-6.jpg,600,450
PMC2279132,1477-7819-6-32-2.jpg,600,450
PMC2279132,1477-7819-6-32-4.jpg,600,450
PMC2279132,1477-7819-6-32-5.jpg,600,450
PMC2279132,1477-7819-6-32-1.jpg,600,450
PMC2279132,1477-7819-6-32-3.jpg,600,450
PMC2734180,ppat.1000578.g004.jpg,429,957
PMC2734180,ppat.1000578.g005.jpg,436,657
PMC2734180,ppat.1000578.g001.jpg,431,533
PMC2734180,ppat.1000578.g002.jpg,420,397
PMC2734180,ppat.1000578.g003.jpg,526,526
PMC2773184,jncidjp332f06_lw.jpg,484,212
PMC2773184,jncidjp332fx1_ht.jpg,337,15
PMC2773184,jncidjp332f01_ht.jpg,500,880
PMC2773184,jncidjp332f02_lw.jpg,480,468
PMC2773184,jncidjp332f05_lw.jpg,459,686
PMC2773184,jncidjp332f07_ht.jpg,430,974
PMC2773184,jncidjp332fx2_ht.jpg,176,43
PMC2773184,jncidjp332f03_lw.jpg,464,316
PMC2773184,jncidjp332f04_ht.jpg,438,638
PMC2726515,1752-1947-0003-0000007270-3.jpg,600,480
PMC2726515,1752-1947-0003-0000007270-2.jpg,600,498
PMC2726515,1752-1947-0003-0000007270-1.jpg,600,324
PMC2726535,1752-1947-0003-0000007493-3.jpg,600,919
PMC2726535,1752-1947-0003-0000007493-2.jpg,600,484
