pmid,pmcid,title,journal,insert_time,has_targz,disease
21187885,PMC2983083,The cytology of giant solitary trichoepithelioma.,J Cytol,2023-12-17-22-02-33,True,NotMatch
21253288,PMC3008151,Microcystic adnexal carcinoma of the centrofacial region: a case report.,Acta Otorhinolaryngol Ital,2023-12-17-22-02-33,True,Match
21394242,PMC3051340,Cytologic features of microcystic adnexal carcinoma.,Cytojournal,2023-12-17-22-02-33,True,Match
22847035,PMC3661046,Microcystic adnexal carcinoma of the upper lip misdiagnosed benign desmoplastic trichoepithelioma.,Oral Maxillofac Surg,2023-12-17-22-02-33,True,Match
23723527,PMC3667339,Microcystic adnexal carcinoma arising in a nevus sebaceous.,Indian J Dermatol,2023-12-17-22-02-33,True,Match
23853405,PMC3665378,The park-bench position in cervico-facial reconstructive surgery: a technical note.,Acta Otorhinolaryngol Ital,2023-12-17-22-02-33,True,NotMatch
25506537,PMC4255897,Microcystic adnexal carcinoma: reconstruction of a large centrofacial defect.,Plast Reconstr Surg Glob Open,2023-12-17-22-02-33,True,Match
25692080,PMC4325690,Microcystic adnexal carcinoma of the cheek-a case report with dermatoscopy and dermatopathology.,Dermatol Pract Concept,2023-12-17-22-02-33,True,Match
26312669,PMC4540503,Microcystic adnexal carcinoma simulating scarring alopecia.,An Bras Dermatol,2023-12-17-22-02-33,True,Match
28057072,PMC5217411,Microcystic adnexal carcinoma (MAC)-like squamous cell carcinoma as a differential diagnosis to Bell´s palsy: review of guidelines for refractory facial nerve palsy.,J Otolaryngol Head Neck Surg,2023-12-17-22-02-33,True,Match
28284233,PMC5346454,Retrospective study of rare cutaneous malignant adnexal tumors of the head and neck in a tertiary care cancer hospital: a case series.,J Med Case Rep,2023-12-17-22-02-33,True,NotMatch
28913219,PMC5556795,Microcystic Adnexal Carcinoma Misdiagnosed as Desmoplastic Trichoepithelioma on Preoperative Biopsy.,Arch Craniofac Surg,2023-12-17-22-02-33,True,Match
29034297,PMC5635954,Microcystic adnexal carcinoma mimicking basal cell carcinoma.,JAAD Case Rep,2023-12-17-22-02-33,True,Match
29998100,PMC6031951,An Unusual Morphological Presentation of Cutaneous Squamous Cell Carcinoma Mimicking Microcystic Adnexal Carcinoma: A Diagnostic Pitfall.,Dermatopathology (Basel),2023-12-17-22-02-33,True,Match
31655287,PMC6831811,Axillary and elbow lymph node metastasis arising after complete excision of microcystic adnexal carcinoma of a hand: A rare presentation.,Int J Surg Case Rep,2023-12-17-22-02-33,True,Match
31912868,PMC6974419,Microcystic adnexal carcinoma: report of rare cases.,Biosci Rep,2023-12-17-22-02-33,True,Match
32280832,PMC7136639,Microcystic Adnexal Carcinoma of the Face Treated With Definitive Chemoradiation: A Case Report and Review of the Literature.,Adv Radiat Oncol,2023-12-17-22-02-33,True,Match
32490104,PMC7256221,Collision tumor of microcystic adnexal carcinoma and squamous cell carcinoma discovered on Mohs sections.,JAAD Case Rep,2023-12-17-22-02-33,True,Match
32923292,PMC7486105,Desmoplastic Trichoepithelioma: Histopathologic and Immunohistochemical Criteria for Differentiation of a Rare Benign Hair Follicle Tumor From Other Cutaneous Adnexal Tumors.,Cureus,2023-12-17-22-02-33,True,NotMatch
33062278,PMC7534061,An atypical presentation of extensive centrofacial microcystic adnexal carcinoma responding to radiation: A case report and review of the literature.,SAGE Open Med Case Rep,2023-12-17-22-02-33,True,Match
33553398,PMC7829729,"Facial microcystic adnexal carcinoma - treatment with a ""jigsaw puzzle"" advancement flap and immediate esthetic reconstruction: A case report.",World J Clin Cases,2023-12-17-22-02-33,True,Match
33734422,PMC9364254,Microcystic Adnexal Carcinoma with Xanthomatous Reaction.,Acta Derm Venereol,2023-12-17-22-02-33,True,Match
33869702,PMC8042239,Microcystic adnexal carcinoma of the glabella in a liver transplant recipient.,JAAD Case Rep,2023-12-17-22-02-33,True,Match
34867014,PMC8626250,Microcystic adnexal carcinoma of the scalp treated with surgical resection along with chemoradiation: A case report and review of the literature.,Saudi J Biol Sci,2023-12-17-22-02-33,True,Match
