pmcid,figure_name,width,height
PMC3051340,CJ-8-5-g001.jpg,582,437
PMC3051340,CJ-8-5-g002.jpg,582,437
PMC2983083,JCytol-27-99-g001.jpg,744,355
PMC2983083,JCytol-27-99-g002.jpg,744,511
PMC2983083,JCytol-27-99-g006.jpg,744,498
PMC2983083,JCytol-27-99-g004.jpg,744,312
PMC2983083,JCytol-27-99-g005.jpg,744,597
PMC2983083,JCytol-27-99-g003.jpg,744,468
PMC3661046,10006_2012_341_Fig1_HTML.jpg,397,264
PMC3661046,10006_2012_341_Fig3_HTML.jpg,709,274
PMC3661046,10006_2012_341_Fig4_HTML.jpg,520,209
PMC3661046,10006_2012_341_Fig2_HTML.jpg,520,199
PMC3661046,10006_2012_341_Fig5_HTML.jpg,520,631
PMC3667339,IJD-58-247f-g001.jpg,738,438
PMC3667339,IJD-58-247f-g003.jpg,742,571
PMC3667339,IJD-58-247f-g002.jpg,741,324
PMC3665378,0392-100X-33-129-g003.jpg,760,527
PMC3665378,0392-100X-33-129-g001.jpg,641,422
PMC3665378,0392-100X-33-129-g006.jpg,754,512
PMC3665378,0392-100X-33-129-g005.jpg,754,391
PMC3665378,0392-100X-33-129-g002.jpg,708,564
PMC3665378,0392-100X-33-129-g004.jpg,769,552
PMC4255897,gox-2-e254-g001.jpg,800,600
PMC4255897,gox-2-e254-g002.jpg,800,1227
PMC4255897,gox-2-e254-g003.jpg,800,1091
PMC4540503,abd-90-03-s1-0036-g04.jpg,600,343
PMC4540503,abd-90-03-s1-0036-g02.jpg,600,283
PMC4540503,abd-90-03-s1-0036-g03.jpg,600,298
PMC4540503,abd-90-03-s1-0036-g01.jpg,600,367
PMC3008151,0392-100X-30-213-g007.jpg,566,662
PMC3008151,0392-100X-30-213-g003.jpg,519,500
PMC3008151,0392-100X-30-213-g002.jpg,441,399
PMC3008151,0392-100X-30-213-g001.jpg,411,275
PMC3008151,0392-100X-30-213-g004.jpg,504,500
PMC3008151,0392-100X-30-213-g006.jpg,508,523
PMC3008151,0392-100X-30-213-g008.jpg,566,425
PMC3008151,0392-100X-30-213-g005.jpg,638,850
PMC5217411,40463_2016_180_Fig3_HTML.jpg,473,453
PMC5217411,40463_2016_180_Fig1_HTML.jpg,358,412
PMC5217411,40463_2016_180_Fig2_HTML.jpg,358,409
PMC4325690,dp0501a07g010.jpg,666,442
PMC4325690,dp0501a07g006.jpg,666,500
PMC4325690,dp0501a07g009.jpg,666,500
PMC4325690,dp0501a07g008.jpg,666,633
PMC4325690,dp0501a07g001.jpg,666,500
PMC4325690,dp0501a07g002.jpg,666,374
PMC4325690,dp0501a07g004.jpg,666,500
PMC4325690,dp0501a07g003.jpg,666,410
PMC4325690,dp0501a07g011.jpg,666,500
PMC4325690,dp0501a07g005.jpg,666,500
PMC4325690,dp0501a07g007.jpg,666,500
PMC5556795,acfs-16-43-g003.jpg,768,217
PMC5556795,acfs-16-43-g004.jpg,768,217
PMC5556795,acfs-16-43-g005.jpg,768,217
PMC5556795,acfs-16-43-g001.jpg,686,675
PMC5556795,acfs-16-43-g002.jpg,754,191
PMC5346454,13256_2017_1212_Fig1_HTML.jpg,358,477
PMC5346454,13256_2017_1212_Fig6_HTML.jpg,567,374
PMC5346454,13256_2017_1212_Fig3_HTML.jpg,358,477
PMC5346454,13256_2017_1212_Fig5_HTML.jpg,567,374
PMC5346454,13256_2017_1212_Fig2_HTML.jpg,358,477
PMC5346454,13256_2017_1212_Fig4_HTML.jpg,358,477
PMC5635954,gr2.jpg,722,645
PMC5635954,gr3.jpg,711,490
PMC5635954,gr1.jpg,722,632
PMC6831811,gr2.jpg,754,601
PMC6831811,gr1.jpg,716,409
PMC6031951,dpa-0005-0064-g01.jpg,696,561
PMC7136639,gr2.jpg,728,783
PMC7136639,gr3.jpg,711,660
PMC7136639,gr1.jpg,687,249
PMC7136639,fx1.jpg,748,1732
PMC7256221,gr2.jpg,602,452
PMC7256221,gr4.jpg,602,452
PMC7256221,gr3.jpg,602,549
PMC7256221,gr1.jpg,602,452
PMC7486105,cureus-0012-00000009703-i01.jpg,800,601
PMC7486105,cureus-0012-00000009703-i03.jpg,800,815
PMC7486105,cureus-0012-00000009703-i02.jpg,800,599
PMC7534061,10.1177_2050313X20953114-fig6.jpg,607,807
