pmid,pmcid,title,journal,insert_time,has_targz,disease
11376559,PMC5926747,Overexpression of latent transforming growth factor-beta 1 (TGF-beta 1) binding protein 1 (LTBP-1) in association with TGF-beta 1 in ovarian carcinoma.,Jpn J Cancer Res,2023-12-17-22-02-38,True,NotMatch
12036446,PMC5927024,Down-regulation of Gal 3-O-sulfotransferase-2 (Gal3ST-2) expression in human colonic non-mucinous adenocarcinoma.,Jpn J Cancer Res,2023-12-17-22-02-38,True,Match
12149146,PMC5927079,Allelotype analysis of common epithelial ovarian cancers with special reference to comparison between clear cell adenocarcinoma with other histological types.,Jpn J Cancer Res,2023-12-17-22-02-38,True,NotMatch
12460467,PMC5926901,"HER2 is frequently over-expressed in ovarian clear cell adenocarcinoma: possible novel treatment modality using recombinant monoclonal antibody against HER2, trastuzumab.",Jpn J Cancer Res,2023-12-17-22-02-38,True,NotMatch
1310251,PMC1977350,Overexpression of the p53 protein and allele loss at 17p13 in ovarian carcinoma.,Br J Cancer,2023-12-17-22-02-38,True,NotMatch
15987512,PMC1190221,Case report: late perianal mucinous adenocarcinoma after Crohn's disease proctectomy: an oncological rarity.,World J Surg Oncol,2023-12-17-22-02-38,True,Match
16308474,PMC4615168,"p53, Bcl-2 and C-Myc expressions in colorectal carcinoma associated with schistosomiasis in Egypt.",Cell Oncol,2023-12-17-22-02-38,True,NotMatch
16409624,PMC1382242,Inclusion of MUC1 (Ma695) in a panel of immunohistochemical markers is useful for distinguishing between endocervical and endometrial mucinous adenocarcinoma.,BMC Clin Pathol,2023-12-17-22-02-38,True,Match
16961916,PMC1592294,Synchronous mucinous adenocarcinoma of the rectosigmoid seeding onto a pre-existing anal fistula.,Int Semin Surg Oncol,2023-12-17-22-02-38,True,Match
17137499,PMC1697813,Cerebral edema in a patient following cytoreductive surgery and hyperthermic intraoperative intraperitoneal chemoperfusion.,World J Surg Oncol,2023-12-17-22-02-38,True,NotMatch
17554197,PMC2627409,Primary mucinous adenocarcinoma of a seminal vesicle cyst associated with ectopic ureter and ipsilateral renal agenesis: a case report.,Korean J Radiol,2023-12-17-22-02-38,True,Match
17555577,PMC1896164,FDG-PET scan in patients with clinically and/or radiologically suspicious colorectal cancer recurrence but normal CEA.,World J Surg Oncol,2023-12-17-22-02-38,True,NotMatch
17587453,PMC1936432,"Immunohistochemical expression of SMAD4, CK19, and CA19-9 in fine needle aspiration samples of pancreatic adenocarcinoma: Utility and potential role.",Cytojournal,2023-12-17-22-02-38,True,NotMatch
17718897,PMC1994954,Prognostic value of histopathology and trends in cervical cancer: a SEER population study.,BMC Cancer,2023-12-17-22-02-38,True,NotMatch
17892541,PMC2048510,Mucinous adenocarcinoma presenting as an isolated sternal metastasis.,World J Surg Oncol,2023-12-17-22-02-38,True,Match
18493590,PMC2386514,"Alterations in mucin expression in ovarian mucinous tumors: immunohistochemical analysis of MUC2, MUC5AC, MUC6, and CD10 expression.",Acta Histochem Cytochem,2023-12-17-22-02-38,True,NotMatch
19014441,PMC2615010,Experience with adjuvant chemotherapy for pseudomyxoma peritonei secondary to mucinous adenocarcinoma of the appendix with oxaliplatin/fluorouracil/leucovorin (FOLFOX4).,World J Surg Oncol,2023-12-17-22-02-38,True,Match
19718338,PMC2721614,Penile metastasis from primay mucinous adenocarcinoma of bladder.,Indian J Urol,2023-12-17-22-02-38,True,Match
