pmcid,figure_name,width,height
PMC1382242,1472-6890-6-1-3.jpg,600,265
PMC1382242,1472-6890-6-1-2.jpg,600,487
PMC1382242,1472-6890-6-1-1.jpg,600,485
PMC1190221,1477-7819-3-42-2.jpg,600,532
PMC1190221,1477-7819-3-42-4.jpg,600,391
PMC1190221,1477-7819-3-42-1.jpg,600,360
PMC1190221,1477-7819-3-42-3.jpg,496,537
PMC1190221,1477-7819-3-42-5.jpg,600,392
PMC1592294,1477-7800-3-25-2.jpg,500,332
PMC1592294,1477-7800-3-25-1.jpg,500,332
PMC1697813,1477-7819-4-85-4.jpg,600,1006
PMC1697813,1477-7819-4-85-3.jpg,600,447
PMC1697813,1477-7819-4-85-2.jpg,600,805
PMC1697813,1477-7819-4-85-1.jpg,600,978
PMC1977350,brjcancer00065-0050-a.jpg,505,1248
PMC1977350,brjcancer00065-0049-a.jpg,450,542
PMC2627409,kjr-8-258-g001.jpg,583,1100
PMC1896164,1477-7819-5-64-2.jpg,593,292
PMC1896164,1477-7819-5-64-1.jpg,486,543
PMC1896164,1477-7819-5-64-3.jpg,598,302
PMC2048510,1477-7819-5-105-1.jpg,481,482
PMC1936432,1742-6413-4-13-3.jpg,600,330
PMC1936432,1742-6413-4-13-4.jpg,600,403
PMC1936432,1742-6413-4-13-5.jpg,600,349
PMC1936432,1742-6413-4-13-1.jpg,600,386
PMC1936432,1742-6413-4-13-2.jpg,600,327
PMC1994954,1471-2407-7-164-2.jpg,600,552
PMC1994954,1471-2407-7-164-1.jpg,600,497
PMC1994954,1471-2407-7-164-3.jpg,600,437
PMC1994954,1471-2407-7-164-4.jpg,600,582
PMC2386514,AHC08008f03.jpg,430,347
PMC2386514,AHC08008f02.jpg,426,474
PMC2386514,AHC08008f01.jpg,440,113
PMC2803886,1757-1626-2-9089-1.jpg,600,450
PMC2803886,1757-1626-2-9089-2.jpg,600,450
PMC2615010,1477-7819-6-118-6.jpg,600,508
PMC2615010,1477-7819-6-118-4.jpg,600,536
PMC2615010,1477-7819-6-118-1.jpg,600,600
PMC2615010,1477-7819-6-118-5.jpg,600,536
PMC2615010,1477-7819-6-118-3.jpg,600,582
PMC2615010,1477-7819-6-118-2.jpg,600,568
PMC2615010,1477-7819-6-118-7.jpg,600,600
PMC2721614,IJU-23-314-g003.jpg,591,444
PMC2721614,IJU-23-314-g001.jpg,592,236
PMC2721614,IJU-23-314-g002.jpg,592,444
PMC2721614,IJU-23-314-g004.jpg,592,444
PMC2803829,1752-1947-3-9306-3.jpg,600,471
PMC2803829,1752-1947-3-9306-2.jpg,600,471
PMC2803829,1752-1947-3-9306-1.jpg,600,471
PMC2811287,jkms-25-220-i001.jpg,635,222
PMC2811287,jkms-25-220-i004.jpg,421,589
PMC2811287,jkms-25-220-g001.jpg,412,318
PMC2811287,jkms-25-220-i003.jpg,635,165
PMC2811287,jkms-25-220-i002.jpg,635,352
PMC2824640,1757-1626-3-49-2.jpg,600,224
PMC2824640,1757-1626-3-49-1.jpg,600,335
