pmid,pmcid,title,journal,insert_time,label,caption,graphic
11376559,PMC5926747,Overexpression of latent transforming growth factor-beta 1 (TGF-beta 1) binding protein 1 (LTBP-1) in association with TGF-beta 1 in ovarian carcinoma.,Jpn J Cancer Res,2023-12-17-22-02-38,,,
12036446,PMC5927024,Down-regulation of Gal 3-O-sulfotransferase-2 (Gal3ST-2) expression in human colonic non-mucinous adenocarcinoma.,Jpn J Cancer Res,2023-12-17-22-02-38,,,
12149146,PMC5927079,Allelotype analysis of common epithelial ovarian cancers with special reference to comparison between clear cell adenocarcinoma with other histological types.,Jpn J Cancer Res,2023-12-17-22-02-38,,,
12460467,PMC5926901,"HER2 is frequently over-expressed in ovarian clear cell adenocarcinoma: possible novel treatment modality using recombinant monoclonal antibody against HER2, trastuzumab.",Jpn J Cancer Res,2023-12-17-22-02-38,,,
1310251,PMC1977350,Overexpression of the p53 protein and allele loss at 17p13 in ovarian carcinoma.,Br J Cancer,2023-12-17-22-02-38,Figure 2,,brjcancer00065-0049-a
1310251,PMC1977350,Overexpression of the p53 protein and allele loss at 17p13 in ovarian carcinoma.,Br J Cancer,2023-12-17-22-02-38,Figure 3,,brjcancer00065-0050-a
15987512,PMC1190221,Case report: late perianal mucinous adenocarcinoma after Crohn's disease proctectomy: an oncological rarity.,World J Surg Oncol,2023-12-17-22-02-38,Figure 1,A T2-weighted axial MR image of the pelvis showing an irregular presacral fluid collection (arrows) extending from the cervix to the coccyx and to the sciatic foramen on the left side.,1477-7819-3-42-1
15987512,PMC1190221,Case report: late perianal mucinous adenocarcinoma after Crohn's disease proctectomy: an oncological rarity.,World J Surg Oncol,2023-12-17-22-02-38,Figure 2,T1- weighted fat saturated MR image after i.v. application of contrast medium coronal. The arrow is pointing to a fistulating formation spreading in the gluteal muscles on the left side with typical rim enhancement and central liquid components; the soft tissue mass seen in midline has a centrally necrotizing appearance.,1477-7819-3-42-2
15987512,PMC1190221,Case report: late perianal mucinous adenocarcinoma after Crohn's disease proctectomy: an oncological rarity.,World J Surg Oncol,2023-12-17-22-02-38,Figure 3,"T1- weighted fat saturated MR image after i.v. application of contrast medium sagittal view. Presacrally, the mass characterized by an inhomogeneous contrast medium uptake in the thickened, nodular wall spreads in the subperiosteal space, as indicated.",1477-7819-3-42-3
15987512,PMC1190221,Case report: late perianal mucinous adenocarcinoma after Crohn's disease proctectomy: an oncological rarity.,World J Surg Oncol,2023-12-17-22-02-38,Figure 4,"Histopathological overview of the fistula opening on the perineum consisting of mucus containing cystic spaces, partially lined by cylindrical epithelium of the mucinous adenocarcinoma. H&E, × 25.",1477-7819-3-42-4
15987512,PMC1190221,Case report: late perianal mucinous adenocarcinoma after Crohn's disease proctectomy: an oncological rarity.,World J Surg Oncol,2023-12-17-22-02-38,Figure 5,"Dermal infiltration of the mucinous adenocarcinoma undermining the perineal skin. PAS-stain, × 50.",1477-7819-3-42-5
16308474,PMC4615168,"p53, Bcl-2 and C-Myc expressions in colorectal carcinoma associated with schistosomiasis in Egypt.",Cell Oncol,2023-12-17-22-02-38,,,
16409624,PMC1382242,Inclusion of MUC1 (Ma695) in a panel of immunohistochemical markers is useful for distinguishing between endocervical and endometrial mucinous adenocarcinoma.,BMC Clin Pathol,2023-12-17-22-02-38,Figure 1,"A, Normal post-menopausal endometrium (H&E, 20x); B, MUC1 immunostain in normal postmenopausal endometrium showing “pure apical” staining pattern (x20); C, normal endocervical glands (H&E, 20x); D, MUC1 immunostain in normal endocervical glands showing A/C staining pattern, (x20).",1472-6890-6-1-1
16409624,PMC1382242,Inclusion of MUC1 (Ma695) in a panel of immunohistochemical markers is useful for distinguishing between endocervical and endometrial mucinous adenocarcinoma.,BMC Clin Pathol,2023-12-17-22-02-38,Figure 2,"A, Endometrial mucinous adenocarcinoma (H&E, x10); B, MUC1 immunostain in endometrial mucinous adenocarcinoma showing A/C staining pattern (x10); C, MUC1 immunostain in endometrial mucinous adenocarcinoma showing A/C staining pattern (x40).",1472-6890-6-1-2
16409624,PMC1382242,Inclusion of MUC1 (Ma695) in a panel of immunohistochemical markers is useful for distinguishing between endocervical and endometrial mucinous adenocarcinoma.,BMC Clin Pathol,2023-12-17-22-02-38,Figure 3,"A, Endocervical adenocarcinoma (H&E, x20); B, MUC1 immunostain in endocervical adenocarcinoma showing apical staining pattern (x20).",1472-6890-6-1-3
16961916,PMC1592294,Synchronous mucinous adenocarcinoma of the rectosigmoid seeding onto a pre-existing anal fistula.,Int Semin Surg Oncol,2023-12-17-22-02-38,Figure 1,Section of the anal fistula track showing normal anal ductal epithelium (above) and infiltrating carcinoma (below). (× 100).,1477-7800-3-25-1
16961916,PMC1592294,Synchronous mucinous adenocarcinoma of the rectosigmoid seeding onto a pre-existing anal fistula.,Int Semin Surg Oncol,2023-12-17-22-02-38,Figure 2,High-power view showing detached carcinoma cells floating within lakes of mucin. (× 400).,1477-7800-3-25-2
17137499,PMC1697813,Cerebral edema in a patient following cytoreductive surgery and hyperthermic intraoperative intraperitoneal chemoperfusion.,World J Surg Oncol,2023-12-17-22-02-38,Figure 1,A) Laparoscopic view of the cecum demonstrating foci of recurrent appendiceal mucinous tumor. B) Laparoscopic view of the anterior abdominal wall demonstrating recurrent mucinous tumor adherent to the parietal peritoneum. Note evidence of more solid tumor deposits suggesting the presence of adenocarcinoma as opposed to simple adenomucinosis.,1477-7819-4-85-1
17137499,PMC1697813,Cerebral edema in a patient following cytoreductive surgery and hyperthermic intraoperative intraperitoneal chemoperfusion.,World J Surg Oncol,2023-12-17-22-02-38,Figure 2,Diffuse cerebral edema resulting in compression of ventricles.,1477-7819-4-85-2
17137499,PMC1697813,Cerebral edema in a patient following cytoreductive surgery and hyperthermic intraoperative intraperitoneal chemoperfusion.,World J Surg Oncol,2023-12-17-22-02-38,Figure 3,Coronal section demonstrating normal grey and white matter with marked loss of luminal dimension in the ventricular system due to diffuse cortical edema.,1477-7819-4-85-3
17137499,PMC1697813,Cerebral edema in a patient following cytoreductive surgery and hyperthermic intraoperative intraperitoneal chemoperfusion.,World J Surg Oncol,2023-12-17-22-02-38,Figure 4,"A) Foci of adenocarcinoma from the right colon demonstrating large amounts of mucin on the serosal surface. B) Multiple foci of mucinous adenocarcinoma with Mib-1 staining, indicating a high proliferative rate.",1477-7819-4-85-4
