pmcid,figure_name,width,height
PMC5916412,abd-93-02-0291-g04.jpg,771,220
PMC5916412,abd-93-02-0291-g01.jpg,693,971
PMC5916412,abd-93-02-0291-g03.jpg,771,551
PMC5916412,abd-93-02-0291-g02.jpg,693,970
PMC6434101,gr2.jpg,614,826
PMC6434101,gr1.jpg,614,776
PMC6818368,gr2.jpg,602,451
PMC6818368,gr4.jpg,759,671
PMC6818368,gr3.jpg,602,451
PMC6818368,gr1.jpg,759,551
PMC9141302,diagnostics-12-01276-g001.jpg,730,236
PMC9141302,diagnostics-12-01276-g002.jpg,792,980
PMC7335878,gr2.jpg,755,563
PMC7335878,gr4.jpg,755,566
PMC7335878,gr3.jpg,755,563
PMC7335878,gr5.jpg,755,568
PMC7335878,gr1.jpg,755,1004
PMC10205445,gr2.jpg,711,278
PMC10205445,gr1.jpg,711,532
PMC10404551,gr2.jpg,754,693
PMC10404551,gr4.jpg,752,241
PMC10404551,gr3.jpg,742,147
PMC10404551,gr5.jpg,752,325
PMC10404551,gr1.jpg,752,290
