pmid,pmcid,title,journal,insert_time,label,caption,graphic
29723374,PMC5916412,Case for diagnosis. Multinucleated cell angiohistiocytoma.,An Bras Dermatol,2023-12-17-22-03-15,Figure 1,Erythematous papules in the right malar region,abd-93-02-0291-g01
29723374,PMC5916412,Case for diagnosis. Multinucleated cell angiohistiocytoma.,An Bras Dermatol,2023-12-17-22-03-15,Figure 2,"Non-desquamative erythematous papule in the left malar region with
well-defined limits",abd-93-02-0291-g02
29723374,PMC5916412,Case for diagnosis. Multinucleated cell angiohistiocytoma.,An Bras Dermatol,2023-12-17-22-03-15,Figure 3,"Multinucleated cells in the superficial dermis with an angular outline
(detailed in lower right corner, Hematoxylin & eosin, X100).
Proliferation of small dilated vessels, slight interstitial infiltrate
of spindle or dendritic perivascular cells, mostly lymphohistiocytic
(Hematoxylin & eosin, X40)",abd-93-02-0291-g03
29723374,PMC5916412,Case for diagnosis. Multinucleated cell angiohistiocytoma.,An Bras Dermatol,2023-12-17-22-03-15,Figure 4,"On the left, staining of endothelial, dendritic, and multinucleated cells
by vimentin (magnification X400). In the center, staining of dendritic
cells by factor XIIIa (magnification X400). On the right, endothelial
cell staining by factor VIII (magnification X100)",abd-93-02-0291-g04
30963081,PMC6434101,Successful treatment of multinucleate cell angiohistiocytoma with fractionated ablative CO(2) laser.,JAAD Case Rep,2023-12-17-22-03-15,Fig 1,Multinucleate cell angiohistiocytoma before treatment.,gr1
30963081,PMC6434101,Successful treatment of multinucleate cell angiohistiocytoma with fractionated ablative CO(2) laser.,JAAD Case Rep,2023-12-17-22-03-15,Fig 2,Multinucleate cell angiohistiocytoma 3 months after last treatment with fractionated ablative CO2 laser shows sustained improvements in appearance of lesions and associated pruritus.,gr2
31681826,PMC6818368,Successful treatment of multinucleate cell angiohistiocytoma in an adult male patient with potassium-titanyl-phosphate laser in combination with intralesional corticosteroids.,JAAD Case Rep,2023-12-17-22-03-15,Fig 1,"Clinical findings at baseline. Multiple, discrete, well-circumscribed, smooth, somewhat flat-topped, erythematous-to-violaceous papules on the bilateral dorsal hands.",gr1
31681826,PMC6818368,Successful treatment of multinucleate cell angiohistiocytoma in an adult male patient with potassium-titanyl-phosphate laser in combination with intralesional corticosteroids.,JAAD Case Rep,2023-12-17-22-03-15,Fig 2,Histopathologic findings at 10× magnification. Numerous small ectatic blood vessels and increased dermal cellularity within a collagenous stroma in the superficial and mid dermis.,gr2
31681826,PMC6818368,Successful treatment of multinucleate cell angiohistiocytoma in an adult male patient with potassium-titanyl-phosphate laser in combination with intralesional corticosteroids.,JAAD Case Rep,2023-12-17-22-03-15,Fig 3,Histopathologic findings at 20× magnification. Numerous scattered large angulated multinucleate cells and fibrohistiocytic cells.,gr3
31681826,PMC6818368,Successful treatment of multinucleate cell angiohistiocytoma in an adult male patient with potassium-titanyl-phosphate laser in combination with intralesional corticosteroids.,JAAD Case Rep,2023-12-17-22-03-15,Fig 4,Clinical findings at 8-month follow-up. Significant reduction in the induration and discoloration of MCAH after KTP laser.,gr4
