pmcid,figure_name,width,height
PMC140025,1472-6890-2-5-3.jpg,600,224
PMC140025,1472-6890-2-5-2.jpg,600,227
PMC140025,1472-6890-2-5-4.jpg,600,160
PMC140025,1472-6890-2-5-1.jpg,600,207
PMC3242097,jvs-7-97-g003.jpg,450,341
PMC3242097,jvs-7-97-g002.jpg,449,342
PMC3242097,jvs-7-97-g005.jpg,451,374
PMC3242097,jvs-7-97-g004.jpg,448,339
PMC3242097,jvs-7-97-g001.jpg,451,344
PMC2579043,yjbm00020-0012-a.jpg,464,206
PMC2361364,94-6602997f1.jpg,683,513
PMC2361364,94-6602997f2.jpg,791,322
PMC6074146,asm-2-150f1.jpg,671,499
PMC1810540,1471-2407-7-37-3.jpg,600,614
PMC1810540,1471-2407-7-37-4.jpg,600,582
PMC1810540,1471-2407-7-37-1.jpg,600,740
PMC1810540,1471-2407-7-37-2.jpg,600,734
PMC6074424,asm-3-228f1.jpg,672,714
PMC6074424,asm-3-228f2.jpg,673,502
PMC2427016,1746-1596-3-22-1.jpg,600,450
PMC2427016,1746-1596-3-22-2.jpg,600,451
PMC2621414,tcrm-4-1135f5.jpg,608,404
PMC2621414,tcrm-4-1135f2.jpg,487,324
PMC2621414,tcrm-4-1135f4.jpg,608,401
PMC2621414,tcrm-4-1135f1.jpg,487,321
PMC2621414,tcrm-4-1135f3.jpg,564,369
PMC2621414,tcrm-4-1135f6.jpg,608,408
PMC7127518,fx12.jpg,125,76
PMC7127518,fx13.jpg,122,113
PMC7127518,gr2.jpg,379,453
PMC7127518,gr1.jpg,488,677
PMC7127518,fx1.jpg,359,150
PMC2721288,btt-1-377f1.jpg,420,171
PMC2721288,btt-1-377f3.jpg,550,330
PMC2721288,btt-1-377f2.jpg,456,130
PMC2721288,btt-1-377f5.jpg,415,254
PMC2721288,btt-1-377f4.jpg,487,260
PMC2838916,1752-1947-4-78-1.jpg,600,434
PMC2842973,CRM2010-657579.001.jpg,522,348
PMC2895213,cde0001-0060-f02.jpg,530,440
PMC2895213,cde0001-0060-f01.jpg,530,468
PMC2793029,pone.0008376.g002.jpg,435,765
PMC2793029,pone.0008376.t001.jpg,658,337
PMC2793029,pone.0008376.t002.jpg,658,478
PMC2793029,pone.0008376.g004.jpg,661,402
PMC2793029,pone.0008376.g001.jpg,661,632
PMC2793029,pone.0008376.g005.jpg,575,796
PMC2793029,pone.0008376.g003.jpg,646,735
PMC4013353,cjc-30-04-264-g002.jpg,778,460
PMC4013353,cjc-30-04-264-g004.jpg,716,733
PMC4013353,cjc-30-04-264-g001.jpg,672,479
PMC4013353,cjc-30-04-264-g003.jpg,708,271
PMC3065556,ce-6-001f1.jpg,584,282
PMC3175357,cde0003-0013-f01.jpg,529,198
PMC3175357,cde0003-0013-f02.jpg,529,132
PMC3175357,cde0003-0013-f03.jpg,413,382
PMC2930289,IJMPO-30-108-g005.jpg,743,520
PMC2930289,IJMPO-30-108-g001.jpg,694,520
PMC2930289,IJMPO-30-108-g003.jpg,743,520
PMC2930289,IJMPO-30-108-g004.jpg,743,520
PMC2930289,IJMPO-30-108-g002.jpg,439,585
PMC3004392,AH2010-896161.001.jpg,403,378
PMC3004392,AH2010-896161.002.jpg,655,659
PMC3004392,AH2010-896161.004.jpg,630,400
PMC3004392,AH2010-896161.005.jpg,457,263
PMC3004392,AH2010-896161.003.jpg,641,434
PMC3278552,nihms329177f2b.jpg,800,584
PMC3278552,nihms329177f1a.jpg,601,508
PMC3278552,nihms329177f1b.jpg,641,545
PMC3278552,nihms329177f2a.jpg,800,673
PMC3221208,IJD-56-501-g001.jpg,559,352
PMC3199424,ad-23-S57-g003.jpg,433,497
PMC3199424,ad-23-S57-g001.jpg,469,299
PMC3199424,ad-23-S57-g002.jpg,632,473
PMC3199424,ad-23-S57-g004.jpg,469,223
PMC3199422,ad-23-S48-g002.jpg,632,484
PMC3199422,ad-23-S48-g003.jpg,632,488
PMC3199422,ad-23-S48-g001.jpg,469,401
PMC3229941,ad-23-474-g002.jpg,469,280
PMC3229941,ad-23-474-i005.jpg,663,244
PMC3229941,ad-23-474-i001.jpg,663,260
PMC3229941,ad-23-474-i004.jpg,663,79
PMC3229941,ad-23-474-i002.jpg,664,273
PMC3229941,ad-23-474-i003.jpg,663,77
PMC3229941,ad-23-474-g001.jpg,469,178
PMC3262342,jbm-2-037f1.jpg,561,320
PMC3349519,1748-717X-7-40-2.jpg,600,427
PMC3349519,1748-717X-7-40-1.jpg,600,377
PMC3349519,1748-717X-7-40-3.jpg,600,328
PMC3307454,JCytol-29-54-g001.jpg,647,975
PMC3308634,cmar-4-075f2.jpg,646,679
PMC3308634,cmar-4-075f1.jpg,780,1907
PMC3250447,pone.0029541.g001.jpg,662,674
PMC3250447,pone.0029541.g005.jpg,662,530
PMC3250447,pone.0029541.g002.jpg,662,720
PMC3250447,pone.0029541.g003.jpg,646,649
PMC3250447,pone.0029541.g006.jpg,498,278
PMC3250447,pone.0029541.g004.jpg,662,750
PMC3362184,cde-0004-0092-g02.jpg,529,282
PMC3362184,cde-0004-0092-g01.jpg,433,325
PMC3371529,IJD-57-219-g003.jpg,562,407
PMC3371529,IJD-57-219-g001.jpg,674,333
PMC3371529,IJD-57-219-g002.jpg,540,733
PMC3371529,IJD-57-219-g004.jpg,740,535
PMC3398089,cde-0004-0139-g01.jpg,787,642
