pmid,pmcid,title,journal,insert_time,label,caption,graphic
11097203,PMC2276050,Proteolytic activity of human lymphoid tumor cells. Correlation with tumor progression.,Dev Immunol,2023-12-17-22-07-05,,,
11138932,PMC2579043,Evaluation of T-cell receptor gene rearrangements in patients with recurrent patch/plaque (T2) CTCL (mycosis fungoides).,Yale J Biol Med,2023-12-17-22-07-05,Figure 1,,yjbm00020-0012-a
12475398,PMC140025,A stable aberrant immunophenotype characterizes nearly all cases of cutaneous T-cell lymphoma in blood and can be used to monitor response to therapy.,BMC Clin Pathol,2023-12-17-22-07-05,Figure 1,Sézary syndrome with multiple immunophenotypic aberrancies in tumor cells. Aberrant events representing neoplastic cells are painted red and normal CD4 and CD8 T-cell populations are painted green. A. Tumor cells are CD3 bright(+)CD45 dim(+). B. They are also CD4 dim(+)CD7 bright(+) phenotype and are separable from the normal CD4(+) T-cell population. C Tumor cell population is CD4 dim(+) CD26(-).,1472-6890-2-5-1
12475398,PMC140025,A stable aberrant immunophenotype characterizes nearly all cases of cutaneous T-cell lymphoma in blood and can be used to monitor response to therapy.,BMC Clin Pathol,2023-12-17-22-07-05,Figure 2,Absence of CD26 expression is useful in isolating neoplastic T-cell populations. A. Non-neoplastic PB shows normal variable expression of CD26 in CD4(+) T-cells. B. The forward/side scatter histogram from a case of MF in PB. Aberrant events representing neoplastic cells are painted red and phenotypically normal CD4 and CD8 T-cell populations are painted green. C. CD4/CD26 histogram shows a discrete uniformly CD26(-) abnormal T-cell population representing tumor cells.,1472-6890-2-5-2
12475398,PMC140025,A stable aberrant immunophenotype characterizes nearly all cases of cutaneous T-cell lymphoma in blood and can be used to monitor response to therapy.,BMC Clin Pathol,2023-12-17-22-07-05,Figure 3,"Mycosis fungoides in peripheral blood with multiple aberrant T-cell populations. A. CD3 versus forward scatter identifies two abnormal populations, one large and one small, that are distinct from normal T cells. Examination of PB smear identified small (cerebriform) and large (transformed) tumor cell populations (not shown). B. Another case of MF in PB shows two atypical T-cell population; one CD4dim(+) (colored green) and another CD4(-) (red) distinct from the normal CD4(+) T-cells (blue). The CD4(-) population was also negative for CD8 (data not shown). C. Forward/side scatter histograms revealed the CD4(-) population predominantly comprised the larger (transformed) tumor lymphocyte population that was noted on PB smear.",1472-6890-2-5-3
12475398,PMC140025,A stable aberrant immunophenotype characterizes nearly all cases of cutaneous T-cell lymphoma in blood and can be used to monitor response to therapy.,BMC Clin Pathol,2023-12-17-22-07-05,Figure 4,"Stability of abnormal tumor immunophenotype of sequential samples from a SS patients undergoing treatment. There is stable expression of dim CD4 in the tumor cells, with CD7dim(+) and CD7bright(+) populations painted red and green, respectively. The histogram on the far right shows a decrease in the CD7dim(+) population in response to pentostatin therapy. No overall decreases in tumor cell number in response to the prior Targretin, interferon or photopheresis treatments were noted.",1472-6890-2-5-4
16434861,PMC3242097,Epitheliotropic cutaneous lymphoma (mycosis fungoides) in a dog.,J Vet Sci,2023-12-17-22-07-05,Fig. 1,Generalized distribution of raised plaque overlying scale in abdomen.,jvs-7-97-g001
16434861,PMC3242097,Epitheliotropic cutaneous lymphoma (mycosis fungoides) in a dog.,J Vet Sci,2023-12-17-22-07-05,Fig. 2,"Hyperemia, tissue proliferation, erosion, and ulcer in the oral mucosal membrane with crusts and exudates.",jvs-7-97-g002
16434861,PMC3242097,Epitheliotropic cutaneous lymphoma (mycosis fungoides) in a dog.,J Vet Sci,2023-12-17-22-07-05,Fig. 3,"Aspirate smear of the plaque. Predominant cells are medium to large lymphocytes with varying amounts of weakly basophilic cytoplasm resembling histiocytes. Chromatin is fine and nucleoli are indistinct. Wright stain, ×40.",jvs-7-97-g003
16434861,PMC3242097,Epitheliotropic cutaneous lymphoma (mycosis fungoides) in a dog.,J Vet Sci,2023-12-17-22-07-05,Fig. 4,"Note intraepidermal and follicular infiltration of lymphoid cells (arrow). H&E stain, ×120.",jvs-7-97-g004
