pmcid,figure_name,width,height
PMC3346918,ad-24-220-g002.jpg,632,714
PMC3346918,ad-24-220-g001.jpg,467,350
PMC3591041,AMS-1-87-g001.jpg,540,295
PMC3591041,AMS-1-87-g002.jpg,469,568
PMC3591041,AMS-1-87-g004.jpg,540,378
PMC3591041,AMS-1-87-g007.jpg,1007,302
PMC3591041,AMS-1-87-g006.jpg,540,378
PMC3591041,AMS-1-87-g003.jpg,576,568
PMC3591041,AMS-1-87-g005.jpg,540,378
PMC3433120,CRIM.PEDIATRICS2012-630804.003.jpg,600,886
PMC3433120,CRIM.PEDIATRICS2012-630804.005.jpg,600,886
PMC3433120,CRIM.PEDIATRICS2012-630804.001.jpg,600,410
PMC3433120,CRIM.PEDIATRICS2012-630804.004.jpg,600,1329
PMC3433120,CRIM.PEDIATRICS2012-630804.002.jpg,563,1558
PMC3804802,rt-2013-3-e27-g003.jpg,328,500
PMC3804802,rt-2013-3-e27-g002.jpg,329,500
PMC3804802,rt-2013-3-e27-g001.jpg,500,352
PMC3687167,JOMFP-17-121-g003.jpg,739,515
PMC3687167,JOMFP-17-121-g005.jpg,711,535
PMC3687167,JOMFP-17-121-g004.jpg,714,534
PMC3687167,JOMFP-17-121-g006.jpg,445,337
PMC3687167,JOMFP-17-121-g002.jpg,444,1241
PMC3687167,JOMFP-17-121-g001.jpg,558,298
PMC3711989,1746-1596-8-90-2.jpg,600,450
PMC3711989,1746-1596-8-90-3.jpg,600,453
PMC3711989,1746-1596-8-90-1.jpg,600,450
PMC3711989,1746-1596-8-90-4.jpg,600,450
PMC4037978,IJD-59-317e-g001.jpg,556,469
PMC4086699,1752-1947-8-210-2.jpg,600,218
PMC4086699,1752-1947-8-210-3.jpg,600,450
PMC4086699,1752-1947-8-210-4.jpg,600,229
PMC4086699,1752-1947-8-210-1.jpg,430,354
PMC4236365,gox-2-e204-g003.jpg,800,593
PMC4236365,gox-2-e204-g001.jpg,800,400
PMC4236365,gox-2-e204-g002.jpg,800,593
PMC4230239,1477-7819-12-69-2.jpg,600,597
PMC4230239,1477-7819-12-69-3.jpg,600,621
PMC4230239,1477-7819-12-69-6.jpg,600,683
PMC4230239,1477-7819-12-69-4.jpg,600,416
PMC4230239,1477-7819-12-69-1.jpg,600,401
PMC4230239,1477-7819-12-69-5.jpg,600,899
PMC4160595,kjpathol-48-307-g001.jpg,790,281
PMC4160595,kjpathol-48-307-i001.jpg,1200,180
PMC4160595,kjpathol-48-307-g002.jpg,790,187
PMC4160595,kjpathol-48-307-g003.jpg,791,187
PMC6074576,asm-6-544f4.jpg,742,520
PMC6074576,asm-6-544f2.jpg,742,541
PMC6074576,asm-6-544f3.jpg,744,986
PMC6074576,asm-6-544f1.jpg,747,827
PMC4723646,gr2.jpg,715,271
PMC4723646,gr3.jpg,762,573
PMC4723646,gr1.jpg,684,565
PMC4397003,CRID2015-243894.006.jpg,750,700
PMC4397003,CRID2015-243894.003.jpg,750,696
PMC4397003,CRID2015-243894.002.jpg,750,413
PMC4397003,CRID2015-243894.005.jpg,750,694
PMC4397003,CRID2015-243894.001.jpg,750,513
PMC4397003,CRID2015-243894.004.jpg,750,727
PMC4792060,CCD-7-71-g002.jpg,702,587
PMC4792060,CCD-7-71-g003.jpg,505,587
PMC4792060,CCD-7-71-g001.jpg,539,279
PMC4719092,jmm-21-165-g005.jpg,655,491
PMC4719092,jmm-21-165-i001.jpg,1200,616
PMC4719092,jmm-21-165-g003.jpg,658,491
PMC4719092,jmm-21-165-g002.jpg,767,259
PMC4719092,jmm-21-165-g004.jpg,658,547
PMC4719092,jmm-21-165-g001.jpg,767,242
PMC5177563,10-1055-s-0036-1580704-i150266cr-1.jpg,800,797
PMC5177563,10-1055-s-0036-1580704-i150266cr-2.jpg,800,402
PMC5177563,10-1055-s-0036-1580704-i150266cr-3.jpg,536,800
PMC5259934,JCytol-34-53-g001.jpg,541,398
PMC4868903,CRIPE2016-1951840.001.jpg,786,567
PMC4868903,CRIPE2016-1951840.003.jpg,709,409
PMC4868903,CRIPE2016-1951840.004.jpg,756,449
PMC4868903,CRIPE2016-1951840.002.jpg,698,289
PMC5587252,gr2.jpg,759,440
PMC5587252,gr3.jpg,703,353
PMC5587252,gr1.jpg,551,521
PMC4923519,CRIOT2016-1432764.001.jpg,752,578
PMC4923519,CRIOT2016-1432764.003.jpg,748,571
PMC4923519,CRIOT2016-1432764.002.jpg,748,748
PMC4923519,CRIOT2016-1432764.004.jpg,748,571
PMC4923519,CRIOT2016-1432764.005.jpg,748,571
PMC5626268,medi-96-e8069-g003.jpg,800,1022
PMC5626268,medi-96-e8069-g002.jpg,800,1396
PMC5626268,medi-96-e8069-g004.jpg,800,600
PMC5626268,medi-96-e8069-g001.jpg,800,1206
PMC5626268,medi-96-e8069-g005.jpg,800,1123
PMC5731177,cro-0010-0890-g02.jpg,783,672
PMC5731177,cro-0010-0890-g01.jpg,704,504
PMC5041865,brmedchirj271539-0034.jpg,668,1068
PMC5041865,brmedchirj271539-0031.jpg,668,1068
PMC5041865,brmedchirj271539-0030.jpg,668,1068
PMC5041865,brmedchirj271539-0033.jpg,668,1068
PMC5041865,brmedchirj271539-0037.jpg,668,1068
PMC5041865,brmedchirj271539-0032.jpg,668,1068
PMC5041865,brmedchirj271539-0035.jpg,668,1068
PMC5041865,brmedchirj271539-0036.jpg,668,1068
PMC5960738,JDS-19-164-g001.jpg,584,474
PMC5960738,JDS-19-164-g003.jpg,573,422
PMC5960738,JDS-19-164-g004.jpg,573,431
PMC5960738,JDS-19-164-g005.jpg,576,429
PMC5960738,JDS-19-164-g002.jpg,740,321
PMC6372367,gr2.jpg,787,638
PMC6372367,gr3.jpg,786,642
PMC6372367,gr1.jpg,787,556
PMC6611317,IJO-67-1240-g003.jpg,539,295
PMC6611317,IJO-67-1240-g002.jpg,539,269
PMC6611317,IJO-67-1240-g001.jpg,539,292
PMC6611317,IJO-67-1240-g004.jpg,539,296
PMC6419343,40463_2019_333_Fig2_HTML.jpg,787,484
PMC6419343,40463_2019_333_Fig8_HTML.jpg,787,428
PMC6419343,40463_2019_333_Fig4_HTML.jpg,709,311
PMC6419343,40463_2019_333_Fig9_HTML.jpg,787,512
PMC6419343,40463_2019_333_Fig5_HTML.jpg,596,577
PMC6419343,40463_2019_333_Fig6_HTML.jpg,709,273
PMC6419343,40463_2019_333_Fig3_HTML.jpg,709,259
PMC6419343,40463_2019_333_Fig7_HTML.jpg,787,512
PMC6419343,40463_2019_333_Fig1_HTML.jpg,596,745
PMC6419343,40463_2019_333_Fig10_HTML.jpg,596,947
PMC6766119,CRIPE2019-3476508.005.jpg,750,575
PMC6766119,CRIPE2019-3476508.003.jpg,750,636
PMC6766119,CRIPE2019-3476508.006.jpg,750,575
PMC6766119,CRIPE2019-3476508.001.jpg,750,673
PMC6766119,CRIPE2019-3476508.007.jpg,750,575
PMC6766119,CRIPE2019-3476508.002.jpg,750,523
PMC6766119,CRIPE2019-3476508.004.jpg,750,575
PMC6823738,gr2.jpg,764,242
PMC6823738,gr4.jpg,701,340
PMC6823738,gr3.jpg,760,262
PMC6823738,gr1.jpg,768,428
PMC7054202,rjaa020f2.jpg,375,250
PMC7054202,rjaa020f1.jpg,375,250
PMC7054202,rjaa020f4.jpg,750,281
PMC7054202,rjaa020f3.jpg,750,282
PMC6926292,gr2.jpg,752,424
PMC6926292,gr3.jpg,752,424
PMC6926292,gr1.jpg,716,348
PMC7551973,gr2.jpg,714,206
PMC7551973,gr1.jpg,714,374
PMC5664021,children-04-00091-g001.jpg,726,509
PMC5664021,children-04-00091-g003.jpg,719,482
PMC5664021,children-04-00091-g002.jpg,713,477
PMC7815852,40792_2021_1107_Fig2_HTML.jpg,598,477
PMC7815852,40792_2021_1107_Fig1_HTML.jpg,768,442
PMC7815852,40792_2021_1107_Fig3_HTML.jpg,798,291
PMC7567911,gr2.jpg,790,926
PMC7567911,gr1.jpg,688,777
PMC7875664,dp1101a105g001.jpg,709,470
PMC8093964,JCMM-25-4387-g003.jpg,709,337
PMC8093964,JCMM-25-4387-g001.jpg,709,557
PMC8093964,JCMM-25-4387-g002.jpg,709,502
PMC8849462,cureus-0014-00000021307-i04.jpg,750,788
PMC8849462,cureus-0014-00000021307-i03.jpg,750,560
PMC8849462,cureus-0014-00000021307-i02.jpg,750,561
PMC8849462,cureus-0014-00000021307-i01.jpg,750,561
PMC8700622,diagnostics-11-02389-g001.jpg,755,256
PMC8700622,diagnostics-11-02389-g003.jpg,733,321
PMC8700622,diagnostics-11-02389-g002.jpg,727,344
PMC8700622,diagnostics-11-02389-g004.jpg,730,834
PMC7449012,12880_2020_498_Fig3_HTML.jpg,778,990
PMC7449012,12880_2020_498_Fig1_HTML.jpg,709,836
PMC7449012,12880_2020_498_Fig2_HTML.jpg,709,836
PMC8859575,JOMFP-25-558b-g001.jpg,588,587
PMC8859575,JOMFP-25-558b-g002.jpg,440,586
PMC8859575,JOMFP-25-558b-g004.jpg,539,405
PMC8859575,JOMFP-25-558b-g003.jpg,539,202
PMC8859575,JOMFP-25-558b-g005.jpg,605,386
PMC9197361,gox-10-e4380-g001.jpg,800,746
PMC9197361,gox-10-e4380-g002.jpg,800,289
PMC9197361,gox-10-e4380-g003.jpg,800,796
PMC9878528,JIAPS-27-756-g003.jpg,602,451
PMC9878528,JIAPS-27-756-g001.jpg,539,405
PMC9878528,JIAPS-27-756-g002.jpg,539,406
PMC9733939,cureus-0014-00000031300-i06.jpg,750,580
PMC9733939,cureus-0014-00000031300-i01.jpg,750,1506
PMC9733939,cureus-0014-00000031300-i02.jpg,750,1000
PMC9733939,cureus-0014-00000031300-i05.jpg,750,566
PMC9733939,cureus-0014-00000031300-i03.jpg,750,537
PMC9733939,cureus-0014-00000031300-i04.jpg,750,537
PMC9446721,12903_2022_2381_Fig3_HTML.jpg,1770,1179
PMC9446721,12903_2022_2381_Fig6_HTML.jpg,896,485
PMC9446721,12903_2022_2381_Fig5_HTML.jpg,1592,425
PMC9446721,12903_2022_2381_Fig8_HTML.jpg,896,598
PMC9446721,12903_2022_2381_Fig2_HTML.jpg,896,689
PMC9446721,12903_2022_2381_Fig7_HTML.jpg,896,597
PMC9446721,12903_2022_2381_Fig9_HTML.jpg,896,545
PMC9446721,12903_2022_2381_Fig4_HTML.jpg,896,805
PMC9446721,12903_2022_2381_Fig1_HTML.jpg,1593,737
PMC10081856,cureus-0015-00000035885-i03.jpg,750,562
PMC10081856,cureus-0015-00000035885-i02.jpg,750,845
PMC10081856,cureus-0015-00000035885-i04.jpg,750,481
PMC10081856,cureus-0015-00000035885-i01.jpg,750,477
PMC10112706,JOMFP-27-1-g002.jpg,539,410
PMC10112706,JOMFP-27-1-g001.jpg,605,225
PMC10288404,10.1177_2050313X231182791-fig2.jpg,755,659
PMC10288404,10.1177_2050313X231182791-img1.jpg,61,61
PMC10288404,10.1177_2050313X231182791-fig1.jpg,753,944
