pmid,pmcid,title,journal,insert_time,label,caption,graphic
22577278,PMC3346918,Solitary cutaneous myofibroma on the sole: an unusual localization.,Ann Dermatol,2023-12-17-22-03-16,Fig. 1,"26×22 mm sized, skin-colored, firm, asymptomatic subcutaneous nodule on the left sole.",ad-24-220-g001
22577278,PMC3346918,Solitary cutaneous myofibroma on the sole: an unusual localization.,Ann Dermatol,2023-12-17-22-03-16,Fig. 2,"(A) Skin biopsy showed a relatively well-circumscribed tumor in the dermis (H&E, Scanning view). (B) The tumor consists of spindle cells arranged in interlacing fascicles or whorls (H&E, ×100). (C) These spindle cells had pale pink cytoplasm, elongated nuclei, and inconspicuous nucleoli (H&E, ×400). (D) Immunoreactivity of the spindle cells with smooth muscle actin (Smooth muscle actin, ×200) (E) Many spindle cells with eosinophilic cytoplasmic stain dispersed among the blue collagen bundles (Masson-trichrome, ×400).",ad-24-220-g002
22966474,PMC3433120,Infantile myofibroma eroding into the frontal bone: a case report and review of its histopathologic differential diagnosis.,Case Rep Pediatr,2023-12-17-22-03-16,Figure 1,Swelling present on the forehead measuring 2.5 × 3 cm in dimension.,CRIM.PEDIATRICS2012-630804.001
22966474,PMC3433120,Infantile myofibroma eroding into the frontal bone: a case report and review of its histopathologic differential diagnosis.,Case Rep Pediatr,2023-12-17-22-03-16,Figure 2,"(a) T2 weighted image showing a well-defined mass, mildly hyperintense in comparison to brain and (b) T1 weighted image showing well-defined lesion with lytic cortical borders with homogenous enhancement.",CRIM.PEDIATRICS2012-630804.002
22966474,PMC3433120,Infantile myofibroma eroding into the frontal bone: a case report and review of its histopathologic differential diagnosis.,Case Rep Pediatr,2023-12-17-22-03-16,Figure 3,(a) Intraoperative image showing surgical excision of the lesion and (b) surgical site following excision.,CRIM.PEDIATRICS2012-630804.003
22966474,PMC3433120,Infantile myofibroma eroding into the frontal bone: a case report and review of its histopathologic differential diagnosis.,Case Rep Pediatr,2023-12-17-22-03-16,Figure 4,"Excised specimen showing the periosteal lining (a), Photomicrograph showing tumour cells arranged in a biphasic pattern (H/E, ×40) (b), Photomicrograph showing light staining areas composed of plump myoid spindle cells arranged in short fascicles with elongated/cigar-shaped nuclei and dark staining areas composed of round or polygonal cells with slightly pleomorphic hyperchromic nuclei (H/E, ×100) (c).",CRIM.PEDIATRICS2012-630804.004
22966474,PMC3433120,Infantile myofibroma eroding into the frontal bone: a case report and review of its histopathologic differential diagnosis.,Case Rep Pediatr,2023-12-17-22-03-16,Figure 5,(a) Photomicrograph showing immunopositivity for vimentin (×100) and (b) photomicrograph showing immunopositivity for SMA (×100).,CRIM.PEDIATRICS2012-630804.005
23483036,PMC3591041,Intraosseous infantile myofibroma of the mandible.,Ann Maxillofac Surg,2023-12-17-22-03-16,Figure 1,10-month-old infant showing a diffuse swelling in the left mandibular posterior region,AMS-1-87-g001
23483036,PMC3591041,Intraosseous infantile myofibroma of the mandible.,Ann Maxillofac Surg,2023-12-17-22-03-16,Figure 2,Axial CT demonstrating a well-defined lesion with the expansion of buccal and lingual cortical plates,AMS-1-87-g002
23483036,PMC3591041,Intraosseous infantile myofibroma of the mandible.,Ann Maxillofac Surg,2023-12-17-22-03-16,Figure 3,Coronal CT showing the expansion of buccal and lingual cortical plates and area of perforation of the buccal cortex,AMS-1-87-g003
23483036,PMC3591041,Intraosseous infantile myofibroma of the mandible.,Ann Maxillofac Surg,2023-12-17-22-03-16,Figure 4,Intraoperative view after the excision of the mass and peripheral osectomy of the posterior mandible,AMS-1-87-g004
23483036,PMC3591041,Intraosseous infantile myofibroma of the mandible.,Ann Maxillofac Surg,2023-12-17-22-03-16,Figure 5,Photomicrograph of the SMA stain showing irregularly arranged fascicles of spindle-shaped cells with blunt-ended nuclei (40×),AMS-1-87-g005
23483036,PMC3591041,Intraosseous infantile myofibroma of the mandible.,Ann Maxillofac Surg,2023-12-17-22-03-16,Figure 6,Photomicrograph of the vimentin stain of the lesion showing strong immunoreactions of the myofibroblasts (40×),AMS-1-87-g006
23742153,PMC3711989,Solitary myofibroma of the sigmoid colon: case report and review of the literature.,Diagn Pathol,2023-12-17-22-03-16,Figure 1,Radiologic characterization of the lesion. CT imaging revealed a highly enhanced intramural mass (1.3 cm in maximum diameter; white arrows) in the proximal sigmoid colon.,1746-1596-8-90-1
23742153,PMC3711989,Solitary myofibroma of the sigmoid colon: case report and review of the literature.,Diagn Pathol,2023-12-17-22-03-16,Figure 2,"Gross features of the lesion. A well-demarcated, ovoid 1.3 cm × 1.0 cm × 0.7 cm intramural mass (arrows) is noted in the colon.",1746-1596-8-90-2
23742153,PMC3711989,Solitary myofibroma of the sigmoid colon: case report and review of the literature.,Diagn Pathol,2023-12-17-22-03-16,Figure 3,"Histologic features of the tumor. A. The tumor is well-demarcated and situated transmurally. There are alternating light and dark areas within the tumor (H&E, ×20). B. The light area consists of haphazardly arranged, interweaving fascicles of plump, myoid-appearing spindle cells with elongated nuclei and abundant eosinophilic cytoplasm (H&E, ×400). C. The dark, more cellular area consists of primitive-appearing polygonal cells arranged in a hemangiopericytomatous pattern (H&E, ×400). D. Intravascular proliferation of tumor cells is noted at the periphery of the lesion (H&E, ×200).",1746-1596-8-90-3
23742153,PMC3711989,Solitary myofibroma of the sigmoid colon: case report and review of the literature.,Diagn Pathol,2023-12-17-22-03-16,Figure 4,"Immunohistochemical findings. A. The myoid-appearing spindle tumor cells show diffuse and strong positivity for SMA (immunostaining, ×400). B. The primitive-appearing tumor cells are focally positive for SMA (immunostaining, ×400). C. The myoid-appearing spindle tumor cells show an increased Ki-67 labeling index (up to 7%) (immunostaining, ×400). D. The primitive-appearing tumor cells display low Ki-67 labeling index (up to 1%) (immunostaining, ×400).",1746-1596-8-90-4
23798845,PMC3687167,"Intraosseous myofibroma of mandible: A rarity of jaws: With clinical, radiological, histopathological and immunohistochemical features.",J Oral Maxillofac Pathol,2023-12-17-22-03-16,Figure 1,Clinical picture showing swelling in the right side angle of mandible,JOMFP-17-121-g001
23798845,PMC3687167,"Intraosseous myofibroma of mandible: A rarity of jaws: With clinical, radiological, histopathological and immunohistochemical features.",J Oral Maxillofac Pathol,2023-12-17-22-03-16,Figure 2(a-c),CT scan showing an osteolytic lesion about 2.5 × 2 cm in dimension extending from the distal aspect of 47 to the ramus of the mandible with destruction of buccal cortical plate,JOMFP-17-121-g002
23798845,PMC3687167,"Intraosseous myofibroma of mandible: A rarity of jaws: With clinical, radiological, histopathological and immunohistochemical features.",J Oral Maxillofac Pathol,2023-12-17-22-03-16,Figure 3,"Photomicrograph showing biphasic nature of myofibroma with elongated spindle cells seen alternating with closely packed cells with small rounded nuclei and eosinophilic cytoplasm forming interlacing fascicles. (H and E, stain ×200)",JOMFP-17-121-g003
23798845,PMC3687167,"Intraosseous myofibroma of mandible: A rarity of jaws: With clinical, radiological, histopathological and immunohistochemical features.",J Oral Maxillofac Pathol,2023-12-17-22-03-16,Figure 4,"Hemangiopericytoma-like vascular pattern is seen. (H and E, stain ×100)",JOMFP-17-121-g004
23798845,PMC3687167,"Intraosseous myofibroma of mandible: A rarity of jaws: With clinical, radiological, histopathological and immunohistochemical features.",J Oral Maxillofac Pathol,2023-12-17-22-03-16,Figure 5,Strong immunoreactivity for αSMA in the tumor cells and hemangiopericytoma-like vascular pattern is seen. Note that the blood vessel walls are also positive (×100),JOMFP-17-121-g005
23798845,PMC3687167,"Intraosseous myofibroma of mandible: A rarity of jaws: With clinical, radiological, histopathological and immunohistochemical features.",J Oral Maxillofac Pathol,2023-12-17-22-03-16,Figure 6,Photomicrograph demonstrating strong immunoreactivity for αSMA in the tumor cells showing a biphasic pattern (×100),JOMFP-17-121-g006
24179639,PMC3804802,Giant cell angioblastoma in an adult: a unique presentation.,Rare Tumors,2023-12-17-22-03-16,Figure 1.,T1-weighted magnetic resonance imaging of the right knee after administration of gadolinium.,rt-2013-3-e27-g001
24179639,PMC3804802,Giant cell angioblastoma in an adult: a unique presentation.,Rare Tumors,2023-12-17-22-03-16,Figure 2.,"A) Small and middle sized arteries (arrow) with concentric proliferation of SMA positive spindle cells (inset; original magnification 200x) in the outer layers are seen accompanied by myxoid and collagenous connective tissue in the background (hematoxilin and eosin staining; original magnification 50x). B) Several small, whorly nodules (asterisks) consiting of histiocytoid bland cells and containing (arrow) some multinucleated giant cells of osteoclastic type (CD68 positive as seen in the upper inset; original magnification 200x) are seen in the center of the lesion (hematoxilin and eosin staining; original magnification 100x). These cells show partial nuclear expression of MITF (lower inset; original magnification 200x)",rt-2013-3-e27-g002
24179639,PMC3804802,Giant cell angioblastoma in an adult: a unique presentation.,Rare Tumors,2023-12-17-22-03-16,Figure 3.,"A) There are numerous thick-walled blood vessels (asterisks) with an outer concentric proliferation of bland spindle cells. Between these vessels, there is a diffuse spindle cell proliferation with a loosely myxoid or collagenous matrix (hematoxilin and eosin staining; original magnification 25x). B) Focally there are striking nodular aggregates (asterisks) of palely eosinophlic histiocytoid cells admixed with occasional osteoclastic giant cells (arrow) (hematoxilin and eosin staining; original magnification 100x).",rt-2013-3-e27-g003
24678877,PMC4230239,Solitary myofibroma of the mandible in an adult with magnetic resonance imaging and positron emission tomography findings: a case report.,World J Surg Oncol,2023-12-17-22-03-16,Figure 1,Photograph showing the mass on the mandible.,1477-7819-12-69-1
