pmid,pmcid,title,journal,insert_time,has_targz
19543491,PMC2698621,Clinicopathologic characteristics of T-cell non-Hodgkin's lymphoma: a single institution experience.,Korean J Intern Med,2024-02-14-09-13-23,True
19543491,PMC2698621,Clinicopathologic characteristics of T-cell non-Hodgkin's lymphoma: a single institution experience.,Korean J Intern Med,2024-02-14-09-13-26,True
21234094,PMC3018635,"Extranodal natural-killer/t-cell lymphoma, nasal type.",Adv Hematol,2024-02-14-09-13-23,True
21234094,PMC3018635,"Extranodal natural-killer/t-cell lymphoma, nasal type.",Adv Hematol,2024-02-14-09-13-26,True
21541194,PMC3085502,Extranodal NK/T-cell lymphoma: toward the identification of clinical molecular targets.,J Biomed Biotechnol,2024-02-14-09-13-26,True
21541194,PMC3085502,Extranodal NK/T-cell lymphoma: toward the identification of clinical molecular targets.,J Biomed Biotechnol,2024-02-14-09-13-23,True
21731288,PMC3125667,"Extranodal NK/T-cell lymphoma, nasal type (angiocentric T-cell lymphoma): A review about the terminology.",J Oral Maxillofac Pathol,2024-02-14-09-13-23,True
21731288,PMC3125667,"Extranodal NK/T-cell lymphoma, nasal type (angiocentric T-cell lymphoma): A review about the terminology.",J Oral Maxillofac Pathol,2024-02-14-09-13-26,True
21854649,PMC3179701,"Subtype distribution of lymphomas in Southwest China: analysis of 6,382 cases using WHO classification in a single institution.",Diagn Pathol,2024-02-14-09-13-23,True
21854649,PMC3179701,"Subtype distribution of lymphomas in Southwest China: analysis of 6,382 cases using WHO classification in a single institution.",Diagn Pathol,2024-02-14-09-13-26,True
21867533,PMC3170575,Aberrant antigenic expression in extranodal NK/T-cell lymphoma: a multi-parameter study from Thailand.,Diagn Pathol,2024-02-14-09-13-23,True
21867533,PMC3170575,Aberrant antigenic expression in extranodal NK/T-cell lymphoma: a multi-parameter study from Thailand.,Diagn Pathol,2024-02-14-09-13-26,True
21912510,PMC3164152,Circulating and tumor-infiltrating Foxp3⁺ regulatory T cell subset in Chinese patients with extranodal NK/T cell lymphoma.,Int J Biol Sci,2024-02-14-09-13-26,True
21912510,PMC3164152,Circulating and tumor-infiltrating Foxp3⁺ regulatory T cell subset in Chinese patients with extranodal NK/T cell lymphoma.,Int J Biol Sci,2024-02-14-09-13-23,True
22184541,PMC3238481,Extranodal NK/T-cell lymphoma presenting with primary cardiac involvement.,Hematol Rep,2024-02-14-09-13-26,True
22184541,PMC3238481,Extranodal NK/T-cell lymphoma presenting with primary cardiac involvement.,Hematol Rep,2024-02-14-09-13-23,True
22323887,PMC3268170,Intraocular involvement of a nasal natural killer T-cell lymphoma: a case report.,Korean J Ophthalmol,2024-02-14-09-13-26,True
22323887,PMC3268170,Intraocular involvement of a nasal natural killer T-cell lymphoma: a case report.,Korean J Ophthalmol,2024-02-14-09-13-23,True
22682004,PMC3416641,Complete remission after first-line radio-chemotherapy as predictor of survival in extranodal NK/T cell lymphoma.,J Hematol Oncol,2024-02-14-09-13-26,True
22682004,PMC3416641,Complete remission after first-line radio-chemotherapy as predictor of survival in extranodal NK/T cell lymphoma.,J Hematol Oncol,2024-02-14-09-13-23,True
22844610,PMC3403505,Cutaneous T-cell lymphoma in asians.,ISRN Dermatol,2024-02-14-09-13-26,True
22844610,PMC3403505,Cutaneous T-cell lymphoma in asians.,ISRN Dermatol,2024-02-14-09-13-23,True
22931631,PMC3487841,NK/T-cell lymphoma of bilateral adrenal glands in a patient with pyothorax.,Diagn Pathol,2024-02-14-09-13-26,True
22931631,PMC3487841,NK/T-cell lymphoma of bilateral adrenal glands in a patient with pyothorax.,Diagn Pathol,2024-02-14-09-13-23,True
23031227,PMC3502398,CD20-positive NK/T-cell lymphoma with indolent clinical course: report of case and review of literature.,Diagn Pathol,2024-02-14-09-13-23,True
23031227,PMC3502398,CD20-positive NK/T-cell lymphoma with indolent clinical course: report of case and review of literature.,Diagn Pathol,2024-02-14-09-13-26,True
23071475,PMC3464337,Extranodal natural killer/T-cell lymphoma with long-term survival and repeated relapses: does it indicate the presence of indolent subtype?,Korean J Hematol,2024-02-14-09-13-26,True
23071475,PMC3464337,Extranodal natural killer/T-cell lymphoma with long-term survival and repeated relapses: does it indicate the presence of indolent subtype?,Korean J Hematol,2024-02-14-09-13-23,True
23109994,PMC3479788,"Expression of HAT1 and HDAC1, 2, 3 in Diffuse Large B-Cell Lymphomas, Peripheral T-Cell Lymphomas, and NK/T-Cell Lymphomas.",Korean J Pathol,2024-02-14-09-13-26,True
23109994,PMC3479788,"Expression of HAT1 and HDAC1, 2, 3 in Diffuse Large B-Cell Lymphomas, Peripheral T-Cell Lymphomas, and NK/T-Cell Lymphomas.",Korean J Pathol,2024-02-14-09-13-23,True
23237707,PMC3539909,"LMP1 and LMP2A are potential prognostic markers of extranodal NK/T-cell lymphoma, nasal type (ENKTL).",Diagn Pathol,2024-02-14-09-13-23,True
23237707,PMC3539909,"LMP1 and LMP2A are potential prognostic markers of extranodal NK/T-cell lymphoma, nasal type (ENKTL).",Diagn Pathol,2024-02-14-09-13-26,True
23327615,PMC3564726,"Extranodal natural killer/T-cell lymphoma, nasal type: 'midline lethal granuloma.' A case report.",Head Face Med,2024-02-14-09-13-23,True
23327615,PMC3564726,"Extranodal natural killer/T-cell lymphoma, nasal type: 'midline lethal granuloma.' A case report.",Head Face Med,2024-02-14-09-13-26,True
23569495,PMC3615940,Extranodal nasal-type NK/T-cell lymphoma of the palate and paranasal sinuses.,Am J Case Rep,2024-02-14-09-13-23,True
23569495,PMC3615940,Extranodal nasal-type NK/T-cell lymphoma of the palate and paranasal sinuses.,Am J Case Rep,2024-02-14-09-13-26,True
23772308,PMC3682461,Primary NK/T cell lymphoma nasal type of the colon.,Rare Tumors,2024-02-14-09-13-23,True
23772308,PMC3682461,Primary NK/T cell lymphoma nasal type of the colon.,Rare Tumors,2024-02-14-09-13-26,True
23773344,PMC3707818,"An extraordinary T/NK lymphoma, nasal type, occurring primarily in the prostate gland with unusual CD30 positivity: case report and review of the literature.",Diagn Pathol,2024-02-14-09-13-23,True
23773344,PMC3707818,"An extraordinary T/NK lymphoma, nasal type, occurring primarily in the prostate gland with unusual CD30 positivity: case report and review of the literature.",Diagn Pathol,2024-02-14-09-13-26,True
23816178,PMC3734195,"A prospective phase II study of L-asparaginase- CHOP plus radiation in newly diagnosed extranodal NK/T-cell lymphoma, nasal type.",J Hematol Oncol,2024-02-14-09-13-23,True
23816178,PMC3734195,"A prospective phase II study of L-asparaginase- CHOP plus radiation in newly diagnosed extranodal NK/T-cell lymphoma, nasal type.",J Hematol Oncol,2024-02-14-09-13-26,True
24238138,PMC4225665,Extranodal natural killer/T-cell lymphoma involving the gastrointestinal tract: analysis of clinical features and outcomes from the Asia Lymphoma Study Group.,J Hematol Oncol,2024-02-14-09-13-26,True
24238138,PMC4225665,Extranodal natural killer/T-cell lymphoma involving the gastrointestinal tract: analysis of clinical features and outcomes from the Asia Lymphoma Study Group.,J Hematol Oncol,2024-02-14-09-13-23,True
24438193,PMC3898819,"The downregulation of PRDM1/Blimp-1 is associated with aberrant expression of miR-223 in extranodal NK/T-cell lymphoma, nasal type.",J Exp Clin Cancer Res,2024-02-14-09-13-26,True
24438193,PMC3898819,"The downregulation of PRDM1/Blimp-1 is associated with aberrant expression of miR-223 in extranodal NK/T-cell lymphoma, nasal type.",J Exp Clin Cancer Res,2024-02-14-09-13-23,True
24466552,PMC3894386,"Sequential chemotherapy followed by radiotherapy versus concurrent chemoradiotherapy in patients with stage I/II extranodal natural killer/T-cell lymphoma, nasal type.",Blood Res,2024-02-14-09-13-23,True
24466552,PMC3894386,"Sequential chemotherapy followed by radiotherapy versus concurrent chemoradiotherapy in patients with stage I/II extranodal natural killer/T-cell lymphoma, nasal type.",Blood Res,2024-02-14-09-13-26,True
24712440,PMC4317897,Anti-tumor effects of suberoylanilide hydroxamic acid on Epstein-Barr virus-associated T cell and natural killer cell lymphoma.,Cancer Sci,2024-02-14-09-13-26,True
