pmcid,figure_name,width,height
PMC2698621,kjim-24-128-g002.jpg,458,492
PMC2698621,kjim-24-128-g003.jpg,468,508
PMC2698621,kjim-24-128-i001.jpg,409,402
PMC2698621,kjim-24-128-i003.jpg,643,179
PMC2698621,kjim-24-128-g004.jpg,647,701
PMC2698621,kjim-24-128-i002.jpg,641,162
PMC2698621,kjim-24-128-g001.jpg,445,291
PMC3125667,JOMFP-15-96-g001.jpg,743,538
PMC3125667,JOMFP-15-96-g002.jpg,743,538
PMC3125667,JOMFP-15-96-g003.jpg,743,538
PMC3018635,AH2010-627401.001.jpg,578,526
PMC3179701,1746-1596-6-77-1.jpg,600,450
PMC3179701,1746-1596-6-77-2.jpg,600,300
PMC3179701,1746-1596-6-77-3.jpg,600,489
PMC3238481,hr-2011-2-e9-g002.jpg,435,328
PMC3238481,hr-2011-2-e9-g001.jpg,670,502
PMC3164152,ijbsv07p1027g02.jpg,787,602
PMC3164152,ijbsv07p1027g03.jpg,788,570
PMC3164152,ijbsv07p1027g01.jpg,784,330
PMC3164152,ijbsv07p1027g04.jpg,751,557
PMC3416641,1756-8722-5-27-2.jpg,431,832
PMC3416641,1756-8722-5-27-1.jpg,431,832
PMC3268170,kjo-26-54-g001.jpg,664,319
PMC3268170,kjo-26-54-g002.jpg,494,440
PMC3268170,kjo-26-54-g003.jpg,661,314
PMC3487841,1746-1596-7-114-3.jpg,433,1063
PMC3487841,1746-1596-7-114-1.jpg,600,233
PMC3487841,1746-1596-7-114-2.jpg,600,540
PMC3502398,1746-1596-7-133-1.jpg,600,600
PMC3502398,1746-1596-7-133-3.jpg,600,674
PMC3502398,1746-1596-7-133-2.jpg,600,224
PMC3403505,ISRN.DERMATOLOGY2012-575120.005.jpg,600,563
PMC3403505,ISRN.DERMATOLOGY2012-575120.002.jpg,600,1508
PMC3403505,ISRN.DERMATOLOGY2012-575120.001.jpg,600,1865
PMC3403505,ISRN.DERMATOLOGY2012-575120.004.jpg,600,3438
PMC3403505,ISRN.DERMATOLOGY2012-575120.003.jpg,600,1968
PMC3464337,kjh-47-202-i001.jpg,1200,195
PMC3464337,kjh-47-202-g001.jpg,789,430
PMC3539909,1746-1596-7-178-2.jpg,600,461
PMC3539909,1746-1596-7-178-1.jpg,600,639
PMC3479788,kjpathol-46-142-g003.jpg,781,586
PMC3479788,kjpathol-46-142-g002.jpg,794,572
PMC3479788,kjpathol-46-142-i001.jpg,1200,662
PMC3479788,kjpathol-46-142-g004.jpg,739,521
PMC3479788,kjpathol-46-142-i002.jpg,1200,383
PMC3479788,kjpathol-46-142-g001.jpg,794,572
PMC3479788,kjpathol-46-142-g005.jpg,795,956
PMC3479788,kjpathol-46-142-i003.jpg,1200,384
PMC3564726,1746-160X-9-4-1.jpg,600,703
PMC3564726,1746-160X-9-4-2.jpg,600,497
PMC3564726,1746-160X-9-4-3.jpg,600,667
PMC3564726,1746-160X-9-4-4.jpg,600,902
PMC3682461,rt-2013-1-e9-g001.jpg,675,159
PMC3682461,rt-2013-1-e9-g003.jpg,672,247
PMC3682461,rt-2013-1-e9-g002.jpg,672,225
PMC3615940,amjcaserep-13-79-g001.jpg,600,1909
PMC3615940,amjcaserep-13-79-g002.jpg,720,270
PMC3615940,amjcaserep-13-79-g003.jpg,720,541
PMC3615940,amjcaserep-13-79-g004.jpg,720,539
PMC3734195,1756-8722-6-44-1.jpg,600,474
PMC3734195,1756-8722-6-44-2.jpg,600,1969
PMC3707818,1746-1596-8-94-4.jpg,600,450
PMC3707818,1746-1596-8-94-2.jpg,600,711
PMC3707818,1746-1596-8-94-3.jpg,600,467
PMC3707818,1746-1596-8-94-1.jpg,600,644
PMC4225665,1756-8722-6-86-2.jpg,600,374
PMC4225665,1756-8722-6-86-4.jpg,600,522
PMC4225665,1756-8722-6-86-5.jpg,600,308
PMC4225665,1756-8722-6-86-1.jpg,600,501
PMC4225665,1756-8722-6-86-3.jpg,600,304
PMC3894386,br-48-274-i003.jpg,1200,449
PMC3894386,br-48-274-i001.jpg,1200,830
PMC3894386,br-48-274-i002.jpg,1200,282
PMC3894386,br-48-274-i004.jpg,1200,639
PMC3894386,br-48-274-g002.jpg,605,446
PMC3894386,br-48-274-g001.jpg,605,446
PMC3898819,1756-9966-33-7-7.jpg,600,613
PMC3898819,1756-9966-33-7-1.jpg,600,874
PMC3898819,1756-9966-33-7-5.jpg,600,386
PMC3898819,1756-9966-33-7-6.jpg,600,518
PMC3898819,1756-9966-33-7-4.jpg,600,384
PMC3898819,1756-9966-33-7-2.jpg,600,546
PMC3898819,1756-9966-33-7-8.jpg,600,269
PMC3898819,1756-9966-33-7-3.jpg,600,459
PMC3983224,pone.0094637.t002.jpg,746,773
PMC3983224,pone.0094637.g003.jpg,787,395
PMC3983224,pone.0094637.g002.jpg,702,669
PMC3983224,pone.0094637.t003.jpg,746,829
PMC3983224,pone.0094637.t001.jpg,746,588
PMC3983224,pone.0094637.g004.jpg,787,401
PMC3983224,pone.0094637.g001.jpg,757,648
PMC3983224,pone.0094637.t004.jpg,746,180
PMC3983224,pone.0094637.g005.jpg,787,411
PMC4317897,cas0105-0713-f4.jpg,570,552
PMC4317897,cas0105-0713-f6.jpg,572,166
PMC4317897,cas0105-0713-f5.jpg,574,722
PMC4317897,cas0105-0713-f3.jpg,677,702
PMC4317897,cas0105-0713-f1.jpg,572,614
PMC4317897,cas0105-0713-f2.jpg,574,843
PMC4317897,cas0105-0713-f7.jpg,675,832
PMC4052815,1746-1596-9-95-3.jpg,600,452
PMC4052815,1746-1596-9-95-2.jpg,600,456
PMC4052815,1746-1596-9-95-1.jpg,600,435
PMC4079938,12032_2014_71_Fig2_HTML.jpg,542,226
PMC4079938,12032_2014_71_Fig1_HTML.jpg,541,406
PMC4079938,12032_2014_71_Fig3_HTML.jpg,542,318
PMC4079938,12032_2014_71_Fig4_HTML.jpg,542,509
PMC4462380,cas0105-1435-f1.jpg,707,503
PMC4462380,cas0105-1435-f2.jpg,572,566
PMC4186554,OL-08-05-2253-g12.jpg,708,271
PMC4186554,OL-08-05-2253-g05.jpg,708,166
PMC4186554,OL-08-05-2253-g07.jpg,708,168
PMC4186554,OL-08-05-2253-g09.jpg,602,377
PMC4186554,OL-08-05-2253-g10.jpg,708,162
PMC4186554,OL-08-05-2253-g08.jpg,708,167
PMC4186554,OL-08-05-2253-g02.jpg,779,642
PMC4186554,OL-08-05-2253-g00.jpg,612,506
PMC4186554,OL-08-05-2253-g11.jpg,708,335
PMC4186554,OL-08-05-2253-g04.jpg,708,338
PMC4186554,OL-08-05-2253-g06.jpg,708,165
PMC4186554,OL-08-05-2253-g03.jpg,557,686
PMC4186554,OL-08-05-2253-g01.jpg,708,218
PMC4315894,bcj201488f1.jpg,784,368
PMC4167522,13000_2014_169_Fig3_HTML.jpg,472,805
PMC4167522,13000_2014_169_Fig1_HTML.jpg,567,567
PMC4167522,13000_2014_169_Fig2_HTML.jpg,358,286
PMC4349107,iranjradiol-12-01-12597-g002.jpg,600,1060
PMC4349107,iranjradiol-12-01-12597-g001.jpg,600,977
PMC4349107,iranjradiol-12-01-12597-g004.jpg,600,488
