pmid,pmcid,title,journal,insert_time
11548830,PMC3015450,Video-assisted thoracoscopic management of mediastinal tumors.,JSLS,2023-12-17-22-14-39
12692434,PMC3055034,Malignant transformation of intrathoracic ancient neurilemmoma in a patient without Von Recklinghausen's disease.,J Korean Med Sci,2023-12-17-22-14-39
13969734,PMC2070963,Tumours of nerve: an electron microscope study.,Br J Cancer,2023-12-17-22-14-39
14042720,PMC2070975,THE HISTOLOGICAL CLASSIFICATION OF LOWER RESPIRATORY TRACT TUMOURS.,Br J Cancer,2023-12-17-22-14-39
14264933,PMC2071188,ON THE RELATIONSHIP OF MAST CELLS TO VARIOUS SOFT TISSUE TUMOURS.,Br J Cancer,2023-12-17-22-14-39
14380804,PMC5977807,Neurilemmoma of the stomach with peptic ulceration: report of a case.,Glasgow Med J,2023-12-17-22-14-39
18521311,PMC2395458,Intraosseous schwannoma (neurilemmoma) of the cervical spine.,Sarcoma,2023-12-17-22-14-39
19574706,PMC2712707,Schwannoma of the eyelid: apropos of two cases.,Indian J Ophthalmol,2023-12-17-22-14-39
19654968,PMC2719205,Charcot-Marie-Tooth 1A concurrent with schwannomas of the spinal cord and median nerve.,J Korean Med Sci,2023-12-17-22-14-39
20411137,PMC2857486,Characterization of magnetic resonance images for spinal cord tumors.,Asian Spine J,2023-12-17-22-14-39
21218046,PMC3012842,Robot-assisted resection of paraspinal Schwannoma.,J Korean Med Sci,2023-12-17-22-14-39
21731284,PMC3125663,Schwannoma causing resorption of zygomatic arch.,J Oral Maxillofac Pathol,2023-12-17-22-14-39
21886993,PMC3162851,Central schwannoma of mandible.,J Oral Maxillofac Pathol,2023-12-17-22-14-39
22013479,PMC3177391,Intraosseous neurilemmoma of the mandible: report of a rare ancient type.,Dent Res J (Isfahan),2023-12-17-22-14-39
22066111,PMC3204566,Clinicopathological features of retrorectal tumors in adults: 9 years of experience in a single institution.,J Korean Surg Soc,2023-12-17-22-14-39
22621416,PMC3448516,Computed tomography and pathological findings of five nasal neurilemmomas.,Head Neck Oncol,2023-12-17-22-14-39
22923909,PMC3424953,Intraosseous schwannoma of the mandible.,J Oral Maxillofac Pathol,2023-12-17-22-14-39
22963756,PMC3443643,Giant presacral schwannoma presenting with constipation: a case report.,J Med Case Rep,2023-12-17-22-14-39
23110031,PMC3479830,Collision of adenocarcinoma and schwannoma of the stomach: a case report.,Korean J Pathol,2023-12-17-22-14-39
23166551,PMC3492403,Endobronchial schwannoma treated by rigid bronchoscopy with argon plasma coagulation.,Tuberc Respir Dis (Seoul),2023-12-17-22-14-39
23301134,PMC3531643,A case of renal schwannoma.,Korean J Urol,2023-12-17-22-14-39
23320233,PMC3539385,Primary uterine cervix schwannoma: a case report and review of the literature.,Case Rep Pathol,2023-12-17-22-14-39
23329919,PMC3522317,Imaging review of neurofibromatosis: helpful aspects for early detection.,Iran J Radiol,2023-12-17-22-14-39
23976844,PMC3746782,Valproic acid-associated low fibrinogen and delayed intracranial hemorrhage: case report and mini literature review.,Drug Des Devel Ther,2023-12-17-22-14-39
24009627,PMC3759631,Bronchial schwannomas: clinicopathologic analysis of 7 cases.,Korean J Pathol,2023-12-17-22-14-39
24023560,PMC3766812,"A case of giant, benign schwannoma associated with total lung collapse by bloody effusion.",Tuberc Respir Dis (Seoul),2023-12-17-22-14-39
24044115,PMC3770855,Intrascrotal and extratesticular multiple schwannoma.,World J Mens Health,2023-12-17-22-14-39
24066220,PMC3779776,"Giant invasive sacral schwannoma showing chromosomal numerical aberrations [-14,+18,+22].",Asian Spine J,2023-12-17-22-14-39
24129122,PMC3825964,Maxillary neurilemmoma-Rarest of the rare tumour: Report of 2 cases.,Int J Surg Case Rep,2023-12-17-22-14-39
24250705,PMC3818626,Laparoscopic phrenectomy for a diaphragmatic neurilemmoma.,J Res Med Sci,2023-12-17-22-14-39
24303393,PMC3846209,A schwannoma of the soft palate in a child: histological and immunohistochemical features and surgical method.,Iran J Otorhinolaryngol,2023-12-17-22-14-39
24455054,PMC3892226,Ancient Schwannoma of the hard palate. An uncommon case report and review.,J Clin Exp Dent,2023-12-17-22-14-39
24455080,PMC3892247,Intraoral Schwannomas: Presentation of a series of 12 cases.,J Clin Exp Dent,2023-12-17-22-14-39
24574671,PMC3927354,Ancient neurilemmoma: A rare oral tumor.,J Oral Maxillofac Pathol,2023-12-17-22-14-39
24648879,PMC3956953,Schwannoma of the scrotum: case report and review of the literature.,Korean J Urol,2023-12-17-22-14-39
24847433,PMC4019922,Clear cell myoepithelioma of palate with emphasis on clinical and histological differential diagnosis.,Clin Pract,2023-12-17-22-14-39
24963448,PMC4067879,Schwannomatozis of the Chest Wall: FDG PET Findings.,Mol Imaging Radionucl Ther,2023-12-17-22-14-39
24964472,PMC3813514,Popliteal schwannoma mimicking baker cyst: an unusual case.,J Surg Case Rep,2023-12-17-22-14-39
25120678,PMC4114637,Imaging observations of a schwannoma of low malignant potential in the anterior abdominal wall: A case report.,Oncol Lett,2023-12-17-22-14-39
25177428,PMC4135148,Surgical findings to differentiate between facial nerve schwannoma and vestibular schwannoma.,Clin Exp Otorhinolaryngol,2023-12-17-22-14-39
25247171,PMC4170579,Metachronous schwannoma in the colon with vestibular schwannoma.,Ann Surg Treat Res,2023-12-17-22-14-39
25289128,PMC4185323,Non-dural-based spinal meningioma : the first case report of a fibrous subtype and a review of the literature.,J Korean Neurosurg Soc,2023-12-17-22-14-39
25298716,PMC4178354,Schwannoma of the hard palate.,Natl J Maxillofac Surg,2023-12-17-22-14-39
