pmcid,figure_name,width,height
PMC5977807,glasgowmedj76381-0030.jpg,694,1215
PMC5977807,glasgowmedj76381-0031-b.jpg,588,963
PMC5977807,glasgowmedj76381-0031-a.jpg,580,954
PMC5977807,glasgowmedj76381-0031.jpg,694,1215
PMC2712707,IJO-57-318-g002.jpg,743,521
PMC2712707,IJO-57-318-g004.jpg,743,521
PMC2712707,IJO-57-318-g001.jpg,744,521
PMC2712707,IJO-57-318-g003.jpg,743,520
PMC2070975,brjcancer00495-0027-a.jpg,480,638
PMC2070975,brjcancer00495-0028-a.jpg,482,657
PMC2070975,brjcancer00495-0030-a.jpg,460,665
PMC2070975,brjcancer00495-0029-a.jpg,476,670
PMC2070963,brjcancer00500-0101-a.jpg,487,642
PMC2070963,brjcancer00500-0100-a.jpg,483,647
PMC2070963,brjcancer00500-0099-a.jpg,503,664
PMC2070963,brjcancer00500-0098-a.jpg,485,648
PMC2719205,jkms-24-763-g001.jpg,623,267
PMC2719205,jkms-24-763-g003.jpg,472,336
PMC2719205,jkms-24-763-g002.jpg,472,313
PMC2857486,asj-2-15-g002.jpg,642,221
PMC2857486,asj-2-15-i001.jpg,648,702
PMC2857486,asj-2-15-g001.jpg,643,310
PMC2857486,asj-2-15-g003.jpg,516,249
PMC3012842,jkms-26-150-g002.jpg,502,525
PMC3012842,jkms-26-150-g003.jpg,661,329
PMC3012842,jkms-26-150-g001.jpg,661,217
PMC3162851,JOMFP-13-23-g002.jpg,744,520
PMC3162851,JOMFP-13-23-g007.jpg,743,521
PMC3162851,JOMFP-13-23-g004.jpg,743,520
PMC3162851,JOMFP-13-23-g005.jpg,743,521
PMC3162851,JOMFP-13-23-g001.jpg,562,393
PMC3162851,JOMFP-13-23-g003.jpg,744,522
PMC3162851,JOMFP-13-23-g006.jpg,743,521
PMC3177391,DRJ-8-150-g002.jpg,655,176
PMC3177391,DRJ-8-150-g003.jpg,733,464
PMC3177391,DRJ-8-150-g001.jpg,654,143
PMC3125663,JOMFP-15-80-g003.jpg,744,538
PMC3125663,JOMFP-15-80-g004.jpg,634,538
PMC3125663,JOMFP-15-80-g001.jpg,744,537
PMC3125663,JOMFP-15-80-g005.jpg,744,538
PMC3125663,JOMFP-15-80-g002.jpg,519,806
PMC3204566,jkss-81-122-i001.jpg,658,271
PMC3204566,jkss-81-122-i002.jpg,425,284
PMC3443643,1752-1947-6-285-4.jpg,600,450
PMC3443643,1752-1947-6-285-1.jpg,600,544
PMC3443643,1752-1947-6-285-2.jpg,600,552
PMC3443643,1752-1947-6-285-3.jpg,600,450
PMC3448516,1758-3284-4-26-6.jpg,600,375
PMC3448516,1758-3284-4-26-1.jpg,600,355
PMC3448516,1758-3284-4-26-4.jpg,600,382
PMC3448516,1758-3284-4-26-3.jpg,600,355
