pmid,pmcid,title,journal,insert_time
10051519,PMC2222898,"ATP dependence of the ICl,swell channel varies with rate of cell swelling. Evidence for two modes of channel activation.",J Gen Physiol,2023-12-17-22-15-28
10070870,PMC2362679,Busulphan is active against neuroblastoma and medulloblastoma xenografts in athymic mice at clinically achievable plasma drug concentrations.,Br J Cancer,2023-12-17-22-15-00
10070872,PMC2362668,Bioavailability and toxicity after oral administration of m-iodobenzylguanidine (MIBG).,Br J Cancer,2023-12-17-22-15-14
10081488,PMC5921738,Expression of MRP and cMOAT in childhood neuroblastomas and malignant liver tumors and its relevance to clinical behavior.,Jpn J Cancer Res,2023-12-17-22-15-00
10188876,PMC2362735,"New semisynthetic vinca alkaloids: chemical, biochemical and cellular studies.",Br J Cancer,2023-12-17-22-15-21
10229707,PMC1566370,Cholinesterases in neural development: new findings and toxicologic implications.,Environ Health Perspect,2023-12-17-22-15-14
10330401,PMC2133186,"PKCepsilon, via its regulatory domain and independently of its catalytic domain, induces neurite-like processes in neuroblastoma cells.",J Cell Biol,2023-12-17-22-14-52
10330411,PMC2133183,"Paxillin LD4 motif binds PAK and PIX through a novel 95-kD ankyrin repeat, ARF-GAP protein: A role in cytoskeletal remodeling.",J Cell Biol,2023-12-17-22-15-28
10376971,PMC2362368,BIRICODAR (VX-710; Incel): an effective chemosensitizer in neuroblastoma.,Br J Cancer,2023-12-17-22-14-52
10389972,PMC2363013,A comparative study of the effects of genistein and 2-methoxyestradiol on the proteolytic balance and tumour cell proliferation.,Br J Cancer,2023-12-17-22-15-14
10408409,PMC2363108,"The expression of p73 is increased in lung cancer, independent of p53 gene alteration.",Br J Cancer,2023-12-17-22-15-21
10408709,PMC2362167,Absence of mutation of the p73 gene localized at chromosome 1p36.3 in hepatocellular carcinoma.,Br J Cancer,2023-12-17-22-15-21
10477762,PMC2169471,Regulated actin cytoskeleton assembly at filopodium tips controls their extension and retraction.,J Cell Biol,2023-12-17-22-15-07
10507784,PMC2362924,Seasonal variations in the diagnosis of childhood cancer in the United States.,Br J Cancer,2023-12-17-22-15-21
10579714,PMC2169350,"Morphological control of inositol-1,4,5-trisphosphate-dependent signals.",J Cell Biol,2023-12-17-22-15-14
10604736,PMC2362971,131I-metaiodobenzylguanidine (131I-MIBG) therapy for residual neuroblastoma: a mono-institutional experience with 43 patients.,Br J Cancer,2023-12-17-22-15-00
10604740,PMC2362984,"Gain of chromosome arm 17q is associated with unfavourable prognosis in neuroblastoma, but does not involve mutations in the somatostatin receptor 2(SSTR2) gene at 17q24.",Br J Cancer,2023-12-17-22-14-52
10605456,PMC2109974,Proteins from morphologically differentiated neuroblastoma cells promote tubulin polymerization.,J Cell Biol,2023-12-17-22-14-52
10691043,PMC2578962,Cytotoxicity of TNT and its metabolites.,Yale J Biol Med,2023-12-17-22-15-07
10732753,PMC2374386,Mutation analysis of P73 and TP53 in Merkel cell carcinoma.,Br J Cancer,2023-12-17-22-15-07
10735501,PMC2363349,Reduced expression of transforming growth factor-beta receptor type III in high stage neuroblastomas.,Br J Cancer,2023-12-17-22-15-07
10755411,PMC2374481,Ethnic group and survival from childhood cancer: report from the UK Children's Cancer Study Group.,Br J Cancer,2023-12-17-22-15-14
10769038,PMC2175151,The glycosylphosphatidyl inositol-anchored adhesion molecule F3/contactin is required for surface transport of paranodin/contactin-associated protein (caspr).,J Cell Biol,2023-12-17-22-15-14
10780529,PMC2363376,Characterization of antigen-presenting properties of tumour cells using virus-specific cytotoxic T lymphocytes.,Br J Cancer,2023-12-17-22-15-00
10839294,PMC2363232,Detailed deletion mapping of chromosome band 14q32 in human neuroblastoma defines a 1.1-Mb region of common allelic loss.,Br J Cancer,2023-12-17-22-15-00
10883666,PMC2374533,Fluorescence in situ hybridization techniques for the rapid detection of genetic prognostic factors in neuroblastoma. United Kingdom Children's Cancer Study Group.,Br J Cancer,2023-12-17-22-15-00
10893274,PMC2185555,Fibroblast growth factor 2 internal ribosome entry site (IRES) activity ex vivo and in transgenic mice reveals a stringent tissue-specific regulation.,J Cell Biol,2023-12-17-22-15-21
10901366,PMC2363490,Limited neuropeptide Y precursor processing in unfavourable metastatic neuroblastoma tumours.,Br J Cancer,2023-12-17-22-15-21
10908576,PMC2180235,p38 MAP kinase mediates bax translocation in nitric oxide-induced apoptosis in neurons.,J Cell Biol,2023-12-17-22-15-21
10993641,PMC2363565,"Adverse outcome of infants with metastatic neuroblastoma, MYCN amplification and/or bone lesions: results of the French society of pediatric oncology.",Br J Cancer,2023-12-17-22-15-07
11018055,PMC2189803,Dishevelled-1 regulates microtubule stability: a new function mediated by glycogen synthase kinase-3beta.,J Cell Biol,2023-12-17-22-15-14
11027422,PMC2363592,Is there a role for retinoids to treat minimal residual disease in neuroblastoma?,Br J Cancer,2023-12-17-22-14-45
11027423,PMC2363577,A randomized trial of 13-Cis retinoic acid in children with advanced neuroblastoma after high-dose therapy.,Br J Cancer,2023-12-17-22-14-52
11044353,PMC2408785,Numerical and structural aberrations in advanced neuroblastoma tumours by CGH analysis; survival correlates with chromosome 17 status.,Br J Cancer,2023-12-17-22-15-00
11076660,PMC2363413,Expression of the HMGI(Y) gene products in human neuroblastic tumours correlates with differentiation status.,Br J Cancer,2023-12-17-22-15-00
11207038,PMC2363758,Treatment of advanced neuroblastoma: feasibility and therapeutic potential of a novel approach combining 131-I-MIBG and multiple drug chemotherapy.,Br J Cancer,2023-12-17-22-15-07
11223544,PMC5926689,Signal transduction pathways through TRK-A and TRK-B receptors in human neuroblastoma cells.,Jpn J Cancer Res,2023-12-17-22-15-14
11266466,PMC2195773,Activation of nuclear factor kappaB and Bcl-x survival gene expression by nerve growth factor requires tyrosine phosphorylation of IkappaBalpha.,J Cell Biol,2023-12-17-22-15-28
11285271,PMC2185516,Tissue transglutaminase does not contribute to the formation of mutant huntingtin aggregates.,J Cell Biol,2023-12-17-22-15-21
11461074,PMC2364052,Genetic heterogeneity and clonal evolution in neuroblastoma.,Br J Cancer,2023-12-17-22-15-07
11506485,PMC2364085,Neuroblastoma in monozygotic twins--a case of probable twin-to-twin metastasis.,Br J Cancer,2023-12-17-22-14-45
11506492,PMC2364087,Neuroblastomas with chromosome 11q loss and single copy MYCN comprise a biologically distinct group of tumours with adverse prognosis.,Br J Cancer,2023-12-17-22-14-52
11535620,PMC2196192,Protein kinase B phosphorylates AHNAK and regulates its subcellular localization.,J Cell Biol,2023-12-17-22-15-07
11591728,PMC2198825,The plasmamembrane calmodulin-dependent calcium pump: a major regulator of nitric oxide synthase I.,J Cell Biol,2023-12-17-22-15-28
11696612,PMC2233843,Functional properties of human nicotinic AChRs expressed by IMR-32 neuroblastoma cells resemble those of alpha3beta4 AChRs expressed in permanently transfected HEK cells.,J Gen Physiol,2023-12-17-22-15-14
