pmcid,figure_name,width,height
PMC2173803,200211011f4.jpg,609,1199
PMC2173803,200211011f3.jpg,640,545
PMC2173803,200211011f6.jpg,634,900
PMC2173803,200211011f5.jpg,554,691
PMC2173803,200211011f8.jpg,640,519
PMC2173803,200211011f2.jpg,720,566
PMC2173803,200211011f1.jpg,694,743
PMC2173803,200211011f7.jpg,674,899
PMC2222898,JGP7816.f1.jpg,720,488
PMC2222898,JGP7816.f8.jpg,653,1199
PMC2222898,JGP7816.f6.jpg,720,522
PMC2222898,JGP7816.f7.jpg,720,534
PMC2222898,JGP7816.f2.jpg,715,1199
PMC2222898,JGP7816.f5.jpg,720,450
PMC2222898,JGP7816.f9.jpg,643,899
PMC2222898,JGP7816.f4.jpg,720,521
PMC2222898,JGP7816.f3.jpg,650,900
PMC2376111,87-6600459f1.jpg,450,167
PMC2376111,87-6600459f2.jpg,476,336
PMC2376111,87-6600459f4.jpg,307,411
PMC2376111,87-6600459f3.jpg,310,332
PMC154097,1471-2202-4-6-2.jpg,600,453
PMC154097,1471-2202-4-6-1.jpg,600,600
PMC154097,1471-2202-4-6-3.jpg,600,118
PMC154097,1471-2202-4-6-4.jpg,600,425
PMC2195773,JCB0009032.f1.jpg,689,1280
PMC2195773,JCB0009032.f5.jpg,534,1280
PMC2195773,JCB0009032.f4.jpg,565,1280
PMC2195773,JCB0009032.f6.jpg,674,1280
PMC2195773,JCB0009032.f7.jpg,759,1280
PMC2195773,JCB0009032.f2.jpg,640,446
PMC2195773,JCB0009032.f3.jpg,506,1280
PMC2169471,JCB9904028.f3b.jpg,730,900
PMC2169471,JCB9904028.f3a.jpg,640,363
PMC2169471,JCB9904028.f5.jpg,633,899
PMC2169471,JCB9904028.f2a.jpg,640,427
PMC2169471,JCB9904028.f6a.jpg,685,1280
PMC2169471,JCB9904028.f6b.jpg,740,899
PMC2169471,JCB9904028.f8.jpg,720,225
PMC2169471,JCB9904028.f1.jpg,640,322
PMC2169471,JCB9904028.f4a.jpg,640,458
PMC2169471,JCB9904028.f7.jpg,794,1199
PMC2169471,JCB9904028.f2b.jpg,694,899
PMC2169471,JCB9904028.f4b.jpg,658,900
PMC2185555,JCB0004080.f5.jpg,720,430
PMC2185555,JCB0004080.f1.jpg,720,371
PMC2185555,JCB0004080.f4.jpg,720,479
PMC2185555,JCB0004080.f3.jpg,720,366
PMC2185555,JCB0004080.f2.jpg,720,630
PMC2375272,86-6600111f4.jpg,526,150
PMC2375272,86-6600111t1.jpg,332,667
PMC2375272,86-6600111f2.jpg,476,345
PMC2375272,86-6600111t3.jpg,332,321
PMC2375272,86-6600111f1.jpg,537,683
PMC2375272,86-6600111f3.jpg,477,367
PMC2375272,86-6600111t2.jpg,602,135
PMC140029,1471-2199-3-16-1.jpg,315,634
PMC140029,1471-2199-3-16-6.jpg,600,675
PMC140029,1471-2199-3-16-5.jpg,600,712
PMC140029,1471-2199-3-16-9.jpg,600,415
PMC140029,1471-2199-3-16-4.jpg,600,450
PMC140029,1471-2199-3-16-3.jpg,478,551
PMC140029,1471-2199-3-16-7.jpg,600,800
PMC140029,1471-2199-3-16-2.jpg,576,841
PMC140029,1471-2199-3-16-8.jpg,354,640
PMC2375204,86-6600060f2.jpg,645,453
PMC2375204,86-6600060t1.jpg,332,299
PMC2375204,86-6600060t2.jpg,687,253
PMC2375204,86-6600060f3.jpg,486,162
PMC2375204,86-6600060f1.jpg,646,489
PMC2746536,86-6600019f2.jpg,306,199
PMC2746536,86-6600019t1.jpg,687,324
PMC2746536,86-6600019f3.jpg,320,232
PMC2746536,86-6600019f5.jpg,480,170
PMC2746536,86-6600019f4.jpg,320,378
PMC2746536,86-6600019f1.jpg,320,230
PMC2394242,89-6601108f5.jpg,731,506
PMC2394242,89-6601108f4.jpg,795,574
PMC2394242,89-6601108f6.jpg,793,608
PMC2394242,89-6601108f2.jpg,736,485
PMC2394242,89-6601108f8.jpg,729,547
PMC2394242,89-6601108f3.jpg,720,528
PMC2394242,89-6601108e1.jpg,747,106
PMC2394242,89-6601108f7.jpg,726,516
PMC2394242,89-6601108f1.jpg,743,585
PMC2394373,89-6601154t1.jpg,795,210
PMC2394373,89-6601154t3.jpg,796,543
PMC2394373,89-6601154t2.jpg,769,238
PMC2394373,89-6601154f1.jpg,750,1288
PMC2394373,89-6601154f2.jpg,759,1306
PMC2741034,88-6600880t2.jpg,797,272
PMC2741034,88-6600880t3.jpg,779,527
PMC2741034,88-6600880t1.jpg,747,315
PMC2747540,88-6600704f6.jpg,737,633
PMC2747540,88-6600704f1.jpg,728,373
PMC2747540,88-6600704f3.jpg,720,548
PMC2747540,88-6600704f2.jpg,730,2614
PMC2747540,88-6600704f4.jpg,702,398
PMC2747540,88-6600704f5.jpg,740,1083
PMC2408899,87-6600627f2.jpg,554,288
PMC2408899,87-6600627f3.jpg,474,280
PMC2408899,87-6600627f1.jpg,291,171
PMC2408899,87-6600627t1.jpg,528,199
PMC2196192,0105121f4.jpg,720,514
PMC2196192,0105121f6.jpg,788,1800
PMC2196192,0105121f9.jpg,720,486
PMC2196192,0105121f5.jpg,546,1199
PMC2196192,0105121f8.jpg,572,1200
PMC2196192,0105121f2.jpg,720,392
PMC2196192,0105121f1.jpg,720,305
PMC2196192,0105121f3.jpg,720,453
PMC2196192,0105121f7.jpg,720,414
PMC2133183,JCB9902071.f1c.jpg,720,326
PMC2133183,JCB9902071.f7d.jpg,720,552
PMC2133183,JCB9902071.f3.jpg,720,335
PMC2133183,JCB9902071.f4b.jpg,640,442
PMC2133183,JCB9902071.f11.jpg,608,899
PMC2133183,JCB9902071.f1a.jpg,720,191
PMC2133183,JCB9902071.f7a.jpg,669,899
PMC2133183,JCB9902071.f4a.jpg,640,186
PMC2133183,JCB9902071.f5a.jpg,720,336
PMC2133183,JCB9902071.f8.jpg,720,338
PMC2133183,JCB9902071.f10.jpg,695,1199
PMC2133183,JCB9902071.f1b.jpg,720,393
PMC2133183,JCB9902071.f5b.jpg,720,691
PMC2133183,JCB9902071.f7c.jpg,720,710
PMC2133183,JCB9902071.f9.jpg,692,1800
PMC2133183,JCB9902071.f7e.jpg,710,899
PMC2133183,JCB9902071.f6.jpg,786,1199
PMC2133183,JCB9902071.f7b.jpg,640,900
PMC2133183,JCB9902071.f12.jpg,718,1200
PMC2133183,JCB9902071.f2.jpg,720,556
PMC2193732,011797f6a.jpg,640,251
PMC2193732,011797f7a.jpg,720,520
PMC2193732,011797f1a.jpg,640,418
PMC2193732,011797f3.jpg,720,358
PMC2193732,011797f5.jpg,677,899
PMC2193732,011797f4a.jpg,604,1200
PMC2193732,011797f4b.jpg,720,542
PMC2193732,011797f1b.jpg,795,804
PMC2193732,011797f7c.jpg,720,450
PMC2193732,011797f6bc.jpg,640,357
PMC2193732,011797f7b.jpg,720,566
PMC2193732,011797f1c.jpg,640,308
PMC2193732,011797f2.jpg,640,598
PMC2377114,88-6600928f4.jpg,808,353
PMC2377114,88-6600928f1.jpg,780,541
PMC2377114,88-6600928f5.jpg,773,991
PMC2377114,88-6600928f2.jpg,789,437
PMC2377114,88-6600928f3.jpg,805,459
PMC2377114,88-6600928f6.jpg,780,1999
PMC2175151,JCB0001021.f4.jpg,618,801
PMC2175151,JCB0001021.f1.jpg,720,642
PMC2175151,JCB0001021.f2.jpg,790,853
PMC2175151,JCB0001021.f3.jpg,720,314
PMC2175151,JCB0001021.f6.jpg,750,996
PMC2175151,JCB0001021.f7.jpg,653,720
PMC2175151,JCB0001021.f5.jpg,730,791
PMC2175151,JCB0001021.f8.jpg,684,853
PMC1566370,envhper00518-0066-a.jpg,443,453
PMC1566370,envhper00518-0068-a.jpg,456,682
PMC2133186,JCB9812090.f7.jpg,756,853
PMC2133186,JCB9812090.f8.jpg,640,424
PMC2133186,JCB9812090.f2.jpg,795,900
PMC2133186,JCB9812090.f1.jpg,784,1008
PMC2133186,JCB9812090.f5.jpg,720,710
PMC2133186,JCB9812090.f4.jpg,720,700
PMC2133186,JCB9812090.f6.jpg,687,899
PMC2133186,JCB9812090.f3.jpg,706,900
PMC2364166,86-6600231t1.jpg,332,248
PMC2364166,86-6600231f3.jpg,483,211
PMC2364166,86-6600231f1.jpg,485,212
PMC2364166,86-6600231f4.jpg,483,210
PMC2364166,86-6600231t3.jpg,332,625
PMC2364166,86-6600231t4.jpg,332,179
PMC2364166,86-6600231t2.jpg,332,432
PMC2364166,86-6600231f5.jpg,485,212
PMC2364166,86-6600231f2.jpg,484,213
PMC2180235,JCB9912065.f3.jpg,783,648
PMC2180235,JCB9912065.f1.jpg,720,206
PMC2180235,JCB9912065.f8.jpg,720,699
PMC2180235,JCB9912065.f2.jpg,720,696
PMC2180235,JCB9912065.f5.jpg,719,900
PMC2180235,JCB9912065.f7.jpg,640,341
PMC2180235,JCB9912065.f6.jpg,640,638
PMC2180235,JCB9912065.f9.jpg,720,532
PMC2180235,JCB9912065.f4.jpg,672,900
PMC2185516,JCB0010060.f4.jpg,640,411
PMC2185516,JCB0010060.f1.jpg,640,338
PMC2185516,JCB0010060.f7.jpg,640,489
PMC2185516,JCB0010060.f2.jpg,640,322
PMC2185516,JCB0010060.f5.jpg,640,205
PMC2185516,JCB0010060.f9.jpg,640,563
PMC2185516,JCB0010060.f6b.jpg,770,853
PMC2185516,JCB0010060.f3.jpg,640,508
PMC2185516,JCB0010060.f6a.jpg,640,330
PMC2185516,JCB0010060.f8.jpg,640,548
PMC2198825,0104131f1.jpg,711,698
PMC2198825,0104131f3.jpg,631,900
PMC2198825,0104131f4.jpg,640,412
PMC2198825,0104131f2.jpg,654,899
PMC152658,1475-2875-2-4-1.jpg,600,288
PMC152658,1475-2875-2-4-3.jpg,597,451
PMC152658,1475-2875-2-4-5.jpg,600,336
PMC152658,1475-2875-2-4-4.jpg,600,415
PMC152658,1475-2875-2-4-2.jpg,600,309
PMC2741120,88-6601014f1.jpg,714,487
PMC2741120,88-6601014f2.jpg,782,1306
PMC2233843,JGP8434.f11.jpg,640,245
PMC2233843,JGP8434.f3.jpg,640,545
PMC2233843,JGP8434.f13.jpg,640,619
PMC2233843,JGP8434.f10.jpg,640,340
PMC2233843,JGP8434.f4.jpg,798,853
PMC2233843,JGP8434.f12.jpg,796,1280
PMC2233843,JGP8434.f2.jpg,640,298
PMC2233843,JGP8434.f5.jpg,628,639
PMC2233843,JGP8434.f1.jpg,640,533
PMC2233843,JGP8434.f7.jpg,634,639
PMC2233843,JGP8434.f6.jpg,541,853
PMC2233843,JGP8434.f8.jpg,640,561
PMC2233843,JGP8434.f9.jpg,640,209
PMC2199375,200301070f3.jpg,720,386
PMC2199375,200301070f4.jpg,720,578
PMC2199375,200301070f7.jpg,640,227
PMC2199375,200301070f6.jpg,640,424
PMC2199375,200301070f2.jpg,778,1280
PMC2199375,200301070f8.jpg,640,498
