pmid,pmcid,title,journal,insert_time,has_targz
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,True
14042720,PMC2070975,THE HISTOLOGICAL CLASSIFICATION OF LOWER RESPIRATORY TRACT TUMOURS.,Br J Cancer,2023-12-17-22-15-34,True
14264933,PMC2071188,ON THE RELATIONSHIP OF MAST CELLS TO VARIOUS SOFT TISSUE TUMOURS.,Br J Cancer,2023-12-17-22-15-34,True
14711379,PMC317374,Small bowel gastrointestinal stromal tumours and ampullary cancer in Type 1 neurofibromatosis.,World J Surg Oncol,2023-12-17-22-15-34,True
15240917,PMC548804,Survival of Human Neurofibroma in Immunodeficient Mice and Initial Results of Therapy With Pirfenidone.,J Biomed Biotechnol,2023-12-17-22-15-34,True
15347121,PMC3016798,Laparoscopic-assisted resection of a large retroperitoneal tumor.,JSLS,2023-12-17-22-15-34,True
15363097,PMC519028,Synchronously diagnosed pre-sacral neurofibroma and cutaneous spitzoid melanoma: a fortuitous association?,World J Surg Oncol,2023-12-17-22-15-34,True
15623944,PMC4611121,DNA ploidy and chromosome (FISH) pattern analysis of peripheral nerve sheath tumors.,Cell Oncol,2023-12-17-22-15-34,True
15663781,PMC547912,Histopathological changes in the human larynx following expanded polytetrafluroethylene (Gore-Tex(R)) implantation.,BMC Ear Nose Throat Disord,2023-12-17-22-15-34,True
16438728,PMC1386689,Sperm protein 17 is expressed in human nervous system tumours.,BMC Cancer,2023-12-17-22-15-34,True
16642559,PMC2687639,Intraosseous nerve sheath tumors in the jaws.,Yonsei Med J,2023-12-17-22-15-34,True
1696266,PMC2116200,Angiogenic and invasive properties of neurofibroma Schwann cells.,J Cell Biol,2023-12-17-22-15-34,True
17324294,PMC1808458,Solitary neurofibroma in the male breast.,World J Surg Oncol,2023-12-17-22-15-34,True
17728518,PMC2693828,Recurrent massive subcutaneous hemorrhage in neurofibromatosis type 1: a case report.,J Korean Med Sci,2023-12-17-22-15-34,True
18067673,PMC2225390,Floret-like multinucleated giant cells in neurofibroma.,Diagn Pathol,2023-12-17-22-15-34,True
18521421,PMC2395629,Angiosarcoma with malignant peripheral nerve sheath tumour developing in a patient with klippel-trénaunay-weber syndrome.,Sarcoma,2023-12-17-22-15-34,True
18568217,PMC9442090,Extra-osseous solitary hard palate neurofibroma.,Braz J Otorhinolaryngol,2023-12-17-22-15-34,True
18823533,PMC2565668,Unusual histological presentation in neurofibromas: Two case reports.,Cases J,2023-12-17-22-15-34,True
19366544,PMC3015890,Retroperitoneal transdiaphragmatic robotic-assisted laparoscopic resection of a left thoracolumbar neurofibroma.,JSLS,2023-12-17-22-15-34,True
19488578,PMC9442228,Plexiform neurofibroma in the ear canal of a patient with type I neurofibromatosis.,Braz J Otorhinolaryngol,2023-12-17-22-15-34,True
19568505,PMC2702901,Intra-abdominal manifestations of von Recklinghausen's neurofibromatosis.,Saudi J Gastroenterol,2023-12-17-22-15-34,True
19568560,PMC2702940,Gastric outlet obstruction due to neurofibromatosis: an unusual case.,Saudi J Gastroenterol,2023-12-17-22-15-34,True
19829867,PMC2740159,Rhabdomyosarcoma of the posterior chest wall in a newborn: a case report.,Cases J,2023-12-17-22-15-34,True
19895709,PMC2777176,An interesting diagnosis for a presacral mass: case report.,Int Semin Surg Oncol,2023-12-17-22-15-34,True
19912641,PMC2783016,Solitary submucous neurofibroma of the mandible: review of the literature and report of a rare case.,Head Face Med,2023-12-17-22-15-34,True
19918424,PMC2769434,Plexiform schwannoma of the posterior tibial nerve: a case report.,Cases J,2023-12-17-22-15-34,True
19967019,PMC2784586,Myxoid neurofibroma: an unusual presentation.,Indian J Dermatol,2023-12-17-22-15-34,True
20049725,PMC3378132,Integrative genomic analyses of neurofibromatosis tumours identify SOX9 as a biomarker and survival gene.,EMBO Mol Med,2023-12-17-22-15-34,True
20157473,PMC2760701,A posterior epidural mass causing paraparesis in a 20-year-old healthy individual.,Int J Emerg Med,2023-12-17-22-15-34,True
20205809,PMC2823760,Neurofibromatosis of the nipple-areolar area: a case series.,J Med Case Rep,2023-12-17-22-15-34,True
20411137,PMC2857486,Characterization of magnetic resonance images for spinal cord tumors.,Asian Spine J,2023-12-17-22-15-34,True
20418991,PMC2856359,Segmental neurofibromatosis: a report of 3 cases.,Indian J Dermatol,2023-12-17-22-15-34,True
20452890,PMC3352051,Giant plexiform neurofibroma with hemorrhage in cranio-maxillofacial region as depicted on CT and MRI.,Eur J Med Res,2023-12-17-22-15-34,True
20526399,PMC2880699,A large intrathoracic meningocele in a patient with neurofibromatosis-1.,Korean J Intern Med,2023-12-17-22-15-34,True
20671860,PMC2905584,A Rare Malignant Triton Tumor.,Case Rep Neurol,2023-12-17-22-15-34,True
