pmcid,figure_name,width,height
PMC519028,1477-7819-2-31-7.jpg,600,447
PMC519028,1477-7819-2-31-6.jpg,600,407
PMC519028,1477-7819-2-31-5.jpg,600,485
PMC519028,1477-7819-2-31-2.jpg,600,450
PMC519028,1477-7819-2-31-8.jpg,600,427
PMC519028,1477-7819-2-31-1.jpg,600,406
PMC519028,1477-7819-2-31-3.jpg,600,450
PMC519028,1477-7819-2-31-4.jpg,600,450
PMC317374,1477-7819-2-1-2.jpg,600,400
PMC317374,1477-7819-2-1-1.jpg,600,400
PMC2070975,brjcancer00495-0027-a.jpg,480,638
PMC2070975,brjcancer00495-0028-a.jpg,482,657
PMC2070975,brjcancer00495-0030-a.jpg,460,665
PMC2070975,brjcancer00495-0029-a.jpg,476,670
PMC3016798,jsls-8-3-287-g01.jpg,515,362
PMC3016798,jsls-8-3-287-g03.jpg,516,365
PMC3016798,jsls-8-3-287-g02.jpg,515,364
PMC4532108,kjim-7-2-137-10f1.jpg,440,615
PMC4532108,kjim-7-2-137-10f5.jpg,643,412
PMC4532108,kjim-7-2-137-10f2.jpg,497,581
PMC4532108,kjim-7-2-137-10f6.jpg,655,581
PMC4532108,kjim-7-2-137-10f7.jpg,668,455
PMC4532108,kjim-7-2-137-10f9.jpg,671,456
PMC4532108,kjim-7-2-137-10f8.jpg,658,470
PMC4532108,kjim-7-2-137-10f3.jpg,610,581
PMC4532108,kjim-7-2-137-10f4.jpg,576,584
PMC547912,1472-6815-5-1-1.jpg,600,450
PMC547912,1472-6815-5-1-3.jpg,600,475
PMC547912,1472-6815-5-1-4.jpg,600,475
PMC547912,1472-6815-5-1-2.jpg,600,475
PMC548804,30810.fig.002b.jpg,449,395
PMC548804,30810.fig.001a.jpg,739,589
PMC548804,30810.fig.003b.jpg,465,388
PMC548804,30810.fig.002c.jpg,459,387
PMC548804,30810.fig.004c.jpg,419,361
PMC548804,30810.fig.004a.jpg,416,360
PMC548804,30810.fig.002a.jpg,454,397
PMC548804,30810.fig.003c.jpg,459,392
PMC548804,30810.fig.004b.jpg,402,360
PMC548804,30810.fig.001b.jpg,631,461
PMC548804,30810.fig.003a.jpg,450,391
PMC1386689,1471-2407-6-23-2.jpg,600,432
PMC1386689,1471-2407-6-23-3.jpg,600,629
PMC1386689,1471-2407-6-23-1.jpg,600,370
PMC1808458,1477-7819-5-23-1.jpg,600,729
PMC1808458,1477-7819-5-23-2.jpg,600,450
PMC2693828,jkms-22-728-g003.jpg,473,473
PMC2693828,jkms-22-728-g001.jpg,473,473
PMC2693828,jkms-22-728-g002.jpg,472,335
PMC2225390,1746-1596-2-47-3.jpg,600,450
PMC2225390,1746-1596-2-47-1.jpg,600,450
PMC2225390,1746-1596-2-47-2.jpg,600,450
PMC9442090,gr1.jpg,769,513
PMC2565668,1757-1626-1-188-1.jpg,600,837
PMC2565668,1757-1626-1-188-2.jpg,600,768
PMC9442228,gr1.jpg,770,287
PMC2702901,SJG-14-80-g003.jpg,542,349
PMC2702901,SJG-14-80-g002.jpg,700,585
PMC2702901,SJG-14-80-g001.jpg,754,584
PMC3015890,jsls-13-1-64-g04.jpg,515,388
PMC3015890,jsls-13-1-64-g03.jpg,515,390
PMC3015890,jsls-13-1-64-g05.jpg,515,386
PMC3015890,jsls-13-1-64-g01.jpg,515,411
PMC3015890,jsls-13-1-64-g02.jpg,688,371
PMC3015890,jsls-13-1-64-g06.jpg,515,388
PMC2702940,SJG-15-59-g003.jpg,731,486
PMC2702940,SJG-15-59-g001.jpg,405,673
PMC2702940,SJG-15-59-g002.jpg,730,484
PMC2740159,1757-1626-0002-0000006818-003.jpg,502,282
PMC2740159,1757-1626-0002-0000006818-002.jpg,502,577
PMC2740159,1757-1626-0002-0000006818-001.jpg,502,394
PMC2740159,1757-1626-0002-0000006818-004.jpg,502,208
PMC2777176,1477-7800-6-18-1.jpg,512,512
PMC2777176,1477-7800-6-18-2.jpg,512,512
PMC2777176,1477-7800-6-18-3.jpg,520,389
PMC2777176,1477-7800-6-18-5.jpg,600,450
PMC2777176,1477-7800-6-18-4.jpg,600,450
PMC2783016,1746-160X-5-24-2.jpg,600,468
PMC2783016,1746-160X-5-24-1.jpg,600,400
PMC2783016,1746-160X-5-24-4.jpg,600,400
PMC2783016,1746-160X-5-24-3.jpg,600,401
PMC2784586,IJD-53-35-g001.jpg,572,400
PMC2784586,IJD-53-35-g002.jpg,551,385
PMC2769434,1757-1626-0002-0000008392-003.jpg,502,377
PMC2769434,1757-1626-0002-0000008392-002.jpg,502,393
PMC2769434,1757-1626-0002-0000008392-001.jpg,502,439
PMC2760701,12245_2009_121_Fig1_HTML.jpg,568,552
PMC2687639,ymj-47-264-g003.jpg,539,363
PMC2687639,ymj-47-264-g002.jpg,572,339
PMC2687639,ymj-47-264-g001.jpg,634,333
PMC2687639,ymj-47-264-i001.jpg,629,146
PMC2857486,asj-2-15-g002.jpg,642,221
PMC2857486,asj-2-15-i001.jpg,648,702
PMC2857486,asj-2-15-g001.jpg,643,310
PMC2857486,asj-2-15-g003.jpg,516,249
PMC2823760,1752-1947-4-22-5.jpg,600,476
PMC2823760,1752-1947-4-22-2.jpg,600,414
PMC2823760,1752-1947-4-22-3.jpg,600,398
PMC2823760,1752-1947-4-22-1.jpg,600,405
PMC2823760,1752-1947-4-22-4.jpg,600,386
PMC2856359,IJD-55-105-g004.jpg,598,878
PMC2856359,IJD-55-105-g003.jpg,725,520
PMC2856359,IJD-55-105-g002.jpg,669,469
PMC2856359,IJD-55-105-g001.jpg,744,414
PMC2880699,kjim-25-221-g002.jpg,495,343
PMC2880699,kjim-25-221-g003.jpg,486,495
PMC2880699,kjim-25-221-g004.jpg,649,398
PMC2880699,kjim-25-221-g001.jpg,647,251
PMC3352051,2047-783X-15-2-84-2.jpg,600,290
PMC3352051,2047-783X-15-2-84-1.jpg,600,784
PMC2910953,IJHG-15-75-g002.jpg,648,454
PMC2910953,IJHG-15-75-g003.jpg,648,454
PMC2910953,IJHG-15-75-g001.jpg,605,148
PMC2905584,crn0002-0069-f01.jpg,432,288
PMC2905584,crn0002-0069-f02.jpg,432,288
PMC2905584,crn0002-0069-f03.jpg,400,267
PMC2954971,1746-1596-5-61-3.jpg,600,391
PMC2954971,1746-1596-5-61-2.jpg,600,427
PMC2954971,1746-1596-5-61-4.jpg,600,395
PMC2954971,1746-1596-5-61-1.jpg,600,858
PMC2938632,IJPS-43-81-g004.jpg,638,546
PMC2938632,IJPS-43-81-g007.jpg,562,362
PMC2938632,IJPS-43-81-g006.jpg,543,818
PMC2938632,IJPS-43-81-g008.jpg,628,543
PMC2938632,IJPS-43-81-g002.jpg,439,547
PMC2938632,IJPS-43-81-g009.jpg,685,542
PMC2938632,IJPS-43-81-g005.jpg,735,545
PMC2938632,IJPS-43-81-g001.jpg,556,548
PMC2938632,IJPS-43-81-g003.jpg,606,547
PMC3151547,humu0032-0078-f4.jpg,659,739
PMC3151547,humu0032-0078-f2.jpg,639,866
PMC3151547,humu0032-0078-f1.jpg,658,725
PMC3151547,humu0032-0078-f3.jpg,659,530
PMC3151547,humu0032-0078-f5.jpg,659,631
PMC2965914,IJD-55-262-g004.jpg,560,537
PMC2965914,IJD-55-262-g001.jpg,404,539
PMC2965914,IJD-55-262-g002.jpg,590,539
PMC2965914,IJD-55-262-g005.jpg,494,537
PMC2965914,IJD-55-262-g003.jpg,560,538
PMC2994428,rt-2009-1-e23-g002.jpg,439,107
PMC2994428,rt-2009-1-e23-g004.jpg,436,157
PMC2994428,rt-2009-1-e23-g001.jpg,437,175
PMC2994428,rt-2009-1-e23-g003.jpg,667,486
PMC2964801,JPN-5-59-g009.jpg,511,522
PMC2964801,JPN-5-59-g012.jpg,450,535
PMC2964801,JPN-5-59-g005.jpg,727,426
PMC2964801,JPN-5-59-g010.jpg,726,365
PMC2964801,JPN-5-59-g008.jpg,728,375
PMC2964801,JPN-5-59-g001.jpg,568,968
PMC2964801,JPN-5-59-g004.jpg,428,539
PMC2964801,JPN-5-59-g006.jpg,530,537
PMC2964801,JPN-5-59-g011.jpg,582,801
PMC2964801,JPN-5-59-g003.jpg,559,537
PMC2964801,JPN-5-59-g013.jpg,727,484
PMC2964801,JPN-5-59-g002.jpg,643,484
PMC2964801,JPN-5-59-g007.jpg,522,806
PMC3378132,emmm0001-0236-f2.jpg,650,549
PMC3378132,emmm0001-0236-f5.jpg,577,271
PMC3378132,emmm0001-0236-f4.jpg,577,600
PMC3378132,emmm0001-0236-f3.jpg,577,677
PMC3378132,emmm0001-0236-f1.jpg,633,707
PMC3001198,JCytol-27-123-g002.jpg,670,502
PMC3001198,JCytol-27-123-g003.jpg,670,503
PMC3001198,JCytol-27-123-g001.jpg,559,679
PMC3001198,JCytol-27-123-g004.jpg,670,502
PMC3002418,IJT-2-60-g004.jpg,745,520
PMC3002418,IJT-2-60-g001.jpg,745,521
PMC3002418,IJT-2-60-g002.jpg,586,878
PMC3002418,IJT-2-60-g003.jpg,745,520
PMC3063187,1749-799X-6-15-2.jpg,600,443
PMC3063187,1749-799X-6-15-1.jpg,600,1074
