pmid,pmcid,title,journal,insert_time,label,caption,graphic
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,Fig. 1,"Multiple, 1–2 cm sized, flesh colored neurofibromas on the back (a) and café-au-lait spots on the chest wall (b).",kjim-7-2-137-10f1
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,Fig. 2,Small bowel series showing no abnormal mucosal changes or filling defect.,kjim-7-2-137-10f2
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,Fig. 3,Radionuclide angiogram using 99mTc pertechnate-labelled RBC 20 mCi intravenously and taken 30 minutes after injecion showing an abnormal accumulation of radioactivity in the pelvic cavity (arrow).,kjim-7-2-137-10f3
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,Fig. 4,Superior mesenteric angiogram showing abnormal contrast media extravasation from ileal artery (arrow).,kjim-7-2-137-10f4
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,Fig. 5,A polypoid mass of the jejunum is protruded into the serosa and bowel lumen. It is covered by the serosa and intact mucosa.,kjim-7-2-137-10f5
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,Fig. 6,The cut surface of the jejunal mass showing a gray-white myxoid appearance.,kjim-7-2-137-10f6
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,Fig. 7,"The well circumscribed but not encapsulated mass is located in the muscle proper. The mucosa of jejunum shows inflammatory infiltrates in the lamina propria (H & E, ×40).",kjim-7-2-137-10f7
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,Fig. 8,"The neurofibroma of the jejunal mass showing dark staining axons and Schwann cell cylinders separated by mucinous matrix. The stroma is dotted with occasional mast cells and lymphocytes (H & E, ×400).",kjim-7-2-137-10f8
1339078,PMC4532108,Intestinal neurofibromatosis in von Recklinghausen's disease: presenting as chronic anemia due to recurrent intestinal hemorrhage.,Korean J Intern Med,2023-12-17-22-15-34,Fig. 9,"The neurofibroma excised from the left breast showing Schwann cells associated with wirelike collagen fibrils and modest amount of stromal mucosubstance (H & E, ×200).",kjim-7-2-137-10f9
14042720,PMC2070975,THE HISTOLOGICAL CLASSIFICATION OF LOWER RESPIRATORY TRACT TUMOURS.,Br J Cancer,2023-12-17-22-15-34,Figs. 16-20,,brjcancer00495-0030-a
14042720,PMC2070975,THE HISTOLOGICAL CLASSIFICATION OF LOWER RESPIRATORY TRACT TUMOURS.,Br J Cancer,2023-12-17-22-15-34,Figs. 11-15,,brjcancer00495-0029-a
14042720,PMC2070975,THE HISTOLOGICAL CLASSIFICATION OF LOWER RESPIRATORY TRACT TUMOURS.,Br J Cancer,2023-12-17-22-15-34,Figs. 1-4,,brjcancer00495-0027-a
14042720,PMC2070975,THE HISTOLOGICAL CLASSIFICATION OF LOWER RESPIRATORY TRACT TUMOURS.,Br J Cancer,2023-12-17-22-15-34,Figs. 5-10,,brjcancer00495-0028-a
