pmcid,figure_name,width,height
PMC4681228,IJD-60-637a-g002.jpg,638,587
PMC4681228,IJD-60-637a-g003.jpg,539,198
PMC4681228,IJD-60-637a-g001.jpg,539,358
PMC4518814,eplasty15ic38_fig1.jpg,463,316
PMC4518814,eplasty15ic38_fig2.jpg,755,475
PMC7822779,gr2.jpg,759,570
PMC7822779,gr4.jpg,711,424
PMC7822779,gr3.jpg,759,570
PMC7822779,gr1.jpg,602,467
PMC7946472,CRIDM2021-7598086.001.jpg,355,327
PMC7946472,CRIDM2021-7598086.002.jpg,538,216
PMC3887160,kjpathol-47-569-g005.jpg,793,194
PMC3887160,kjpathol-47-569-g003.jpg,794,572
PMC3887160,kjpathol-47-569-g004.jpg,756,529
PMC3887160,kjpathol-47-569-g001.jpg,756,529
PMC3887160,kjpathol-47-569-g002.jpg,794,572
PMC8240673,cureus-0013-00000015325-i02.jpg,750,237
PMC8240673,cureus-0013-00000015325-i01.jpg,750,440
PMC7880072,cm-94-112f1.jpg,654,722
PMC7880072,cm-94-112f4.jpg,768,330
PMC7880072,cm-94-112f5.jpg,768,330
PMC7880072,cm-94-112f2.jpg,784,287
PMC7880072,cm-94-112f3.jpg,784,276
