pmid,pmcid,title,journal,insert_time
22345795,PMC3276921,Nevus comedonicus syndrome.,Indian J Dermatol,2023-12-17-22-08-13
22557913,PMC3341748,Inflammatory linear verrucous epidermal nevus syndrome with its polymorphic presentation - A rare case report.,Contemp Clin Dent,2023-12-17-22-08-13
22783495,PMC3385307,Multiple large cysts arising from nevus comedonicus.,Arch Plast Surg,2023-12-17-22-08-13
22783520,PMC3385323,Letter: multiple large cysts arising from nevus comedonicus.,Arch Plast Surg,2023-12-17-22-08-13
22783538,PMC3385342,Reply: multiple large cysts arising from nevus comedonicus.,Arch Plast Surg,2023-12-17-22-08-13
23888253,PMC3680637,Nevus comedonicus: an updated review.,Dermatol Ther (Heidelb),2023-12-17-22-08-13
24250149,PMC3821194,Carmakila: An effective management by kshara karma.,J Ayurveda Integr Med,2023-12-17-22-08-13
24278083,PMC3834704,Dermoscopy on nevus comedonicus: a case report and review of the literature.,Postepy Dermatol Alergol,2023-12-17-22-08-13
24403890,PMC3884180,Fatal metastatic cutaneous squamous cell carcinoma evolving from a localized verrucous epidermal nevus.,Case Rep Dermatol,2023-12-17-22-08-13
25071281,PMC4103298,Inflammatory nevus comedonicus with epidermoid cyst.,Indian J Dermatol,2023-12-17-22-08-13
25143681,PMC4135107,Two Concurrent Facial Epidermal Nevi without Systemic Abnormalities: Nevus Sebaceus and Nevus Comedonicus.,Ann Dermatol,2023-12-17-22-08-13
25396147,PMC4228659,Extensive nevus comedonicus.,Indian Dermatol Online J,2023-12-17-22-08-13
25657429,PMC4318035,Nevus comedonicus on scalp: a rare site.,Indian J Dermatol,2023-12-17-22-08-13
26288437,PMC4533567,Nevus Comedonicus Syndrome.,Indian J Dermatol,2023-12-17-22-08-13
28293556,PMC5328982,"Generalized Comedones, Acne, and Hidradenitis Suppurativa in a Patient with an FGFR2 Missense Mutation.",Front Med (Lausanne),2023-12-17-22-08-13
28300931,PMC5325030,Squamous cell carcinoma arising in a multiple verrucous epidermal nevus.,An Bras Dermatol,2023-12-17-22-08-13
28979887,PMC5621214,Dermoscopy of Nevus Comedonicus.,Indian Dermatol Online J,2023-12-17-22-08-13
29118701,PMC5662948,Nevus Comedonicus: Case Report.,Case Rep Dermatol,2023-12-17-22-08-13
29440859,PMC5803853,Nevus Comedonicus on Scalp: An Unusual Presentation.,Int J Trichology,2023-12-17-22-08-13
29731591,PMC5921448,"Extensive Nevus Comedonicus, Complicated with Recurrent Abscesses, Successfully Treated with Surgical Resurfacing.",J Cutan Aesthet Surg,2023-12-17-22-08-13
30066947,PMC6102636,Mutation and expression of ABCA12 in keratosis pilaris and nevus comedonicus.,Mol Med Rep,2023-12-17-22-08-13
31909294,PMC6938988,Bilateral nevus comedonicus of the eyelids: An unusual cause of ptosis and ectropion.,Am J Ophthalmol Case Rep,2023-12-17-22-08-13
31909387,PMC6936943,Dermoscopy of nevus comedonicus.,North Clin Istanb,2023-12-17-22-08-13
32042876,PMC7000440,Improvement of nevus comedonicus after repeated microneedling.,JAAD Case Rep,2023-12-17-22-08-13
32984649,PMC7495012,Bilateral nevus comedonicus of the eyelids: An unusual cause of ptosis and ectropion.,Am J Ophthalmol Case Rep,2023-12-17-22-08-13
33008657,PMC7672491,Dermoscopy of late-onset nevus comedonicus.,An Bras Dermatol,2023-12-17-22-08-13
34341638,PMC8273314,Extensive Nevus Comedonicus with Inflammatory Nodules and Cysts Controlled with Adalimumab.,Ann Dermatol,2023-12-17-22-08-13
34829964,PMC8615598,Acne Syndromes and Mosaicism.,Biomedicines,2023-12-17-22-08-13
35204472,PMC8870762,Nevus Comedonicus Syndrome Associated with Psychiatric Disorder.,Diagnostics (Basel),2023-12-17-22-08-13
35463735,PMC9013870,Nevus Comedonicus with Epidermolytic Hyperkeratosis: A Case Report.,Iran J Pathol,2023-12-17-22-08-13
36344349,PMC9837652,Extensive unilateral nevus comedonicus with an inflammatory component.,An Bras Dermatol,2023-12-17-22-08-13
