pmcid,figure_name,width,height
PMC3276921,IJD-56-771-g001.jpg,591,810
PMC3341748,CCD-3-119-g002.jpg,560,402
PMC3341748,CCD-3-119-g003.jpg,783,581
PMC3341748,CCD-3-119-g004.jpg,507,602
PMC3341748,CCD-3-119-g001.jpg,424,607
PMC3385342,aps-39-261-g002.jpg,620,434
PMC3385342,aps-39-261-g001.jpg,620,434
PMC3385323,aps-39-173-g003.jpg,620,377
PMC3385323,aps-39-173-g004.jpg,620,377
PMC3385323,aps-39-173-g002.jpg,620,378
PMC3385323,aps-39-173-g001.jpg,620,378
PMC3385307,aps-39-63-g002.jpg,782,528
PMC3385307,aps-39-63-g003.jpg,748,240
PMC3385307,aps-39-63-g001.jpg,782,1606
PMC3385307,aps-39-63-g004.jpg,782,529
PMC3680637,13555_2013_27_Fig3_HTML.jpg,551,436
PMC3680637,13555_2013_27_Fig2_HTML.jpg,661,578
PMC3680637,13555_2013_27_Fig4_HTML.jpg,606,915
PMC3680637,13555_2013_27_Fig1_HTML.jpg,551,413
PMC3821194,JAIM-4-181-g002.jpg,531,403
PMC3821194,JAIM-4-181-g004.jpg,513,404
PMC3821194,JAIM-4-181-g001.jpg,539,403
PMC3821194,JAIM-4-181-g003.jpg,520,404
PMC3834704,PDIA-30-21270-g003.jpg,709,670
PMC3834704,PDIA-30-21270-g001.jpg,763,568
PMC3834704,PDIA-30-21270-g002.jpg,709,670
PMC4103298,IJD-59-422b-g004.jpg,539,366
PMC4103298,IJD-59-422b-g002.jpg,790,586
PMC4103298,IJD-59-422b-g001.jpg,539,404
PMC4103298,IJD-59-422b-g003.jpg,782,586
PMC4135107,ad-26-501-g002.jpg,675,1052
PMC4135107,ad-26-501-g003.jpg,733,361
PMC4135107,ad-26-501-g004.jpg,733,361
PMC4135107,ad-26-501-g001.jpg,622,520
PMC3884180,cde-0005-0272-g08.jpg,749,559
PMC3884180,cde-0005-0272-g09.jpg,749,681
PMC3884180,cde-0005-0272-g06.jpg,788,590
PMC3884180,cde-0005-0272-g04.jpg,788,593
PMC3884180,cde-0005-0272-g07.jpg,789,553
PMC3884180,cde-0005-0272-g02.jpg,788,590
PMC3884180,cde-0005-0272-g03.jpg,789,586
PMC3884180,cde-0005-0272-g01.jpg,749,593
PMC3884180,cde-0005-0272-g05.jpg,789,576
PMC4318035,IJD-60-105a-g001.jpg,658,587
PMC4318035,IJD-60-105a-g002.jpg,785,587
PMC4533567,IJD-60-421c-g005.jpg,539,360
PMC4533567,IJD-60-421c-g001.jpg,344,586
PMC4533567,IJD-60-421c-g004.jpg,539,356
PMC4533567,IJD-60-421c-g003.jpg,488,587
PMC4533567,IJD-60-421c-g002.jpg,389,586
