pmcid,figure_name,width,height
PMC1794242,1477-7819-5-7-2.jpg,600,450
PMC1794242,1477-7819-5-7-1.jpg,600,733
PMC1602205,586_2006_61_Fig3_HTML.jpg,644,1232
PMC1602205,586_2006_61_Fig2_HTML.jpg,765,811
PMC1602205,586_2006_61_Fig1_HTML.jpg,767,889
PMC1602205,586_2006_61_Fig4_HTML.jpg,689,701
PMC2491338,eplasty08e38_fig3.jpg,400,332
PMC2491338,eplasty08e38_fig2.jpg,414,310
PMC2491338,eplasty08e38_fig1.jpg,400,277
PMC2669681,CJ-05-44242-g001.jpg,556,409
PMC2669681,CJ-05-44242-g002.jpg,557,409
PMC2424278,eplasty08e30_fig2.jpg,400,560
PMC2424278,eplasty08e30_fig1.jpg,528,377
PMC2424278,eplasty08e30_fig4.jpg,528,377
PMC2424278,eplasty08e30_fig3.jpg,512,768
PMC2971489,UPS-0300-9734-115-291-g001.jpg,551,491
PMC2971489,UPS-0300-9734-115-291-g004.jpg,491,177
PMC2971489,UPS-0300-9734-115-291-g003.jpg,567,469
PMC2971489,UPS-0300-9734-115-291-g005.jpg,496,474
PMC2971489,UPS-0300-9734-115-291-g006.jpg,567,461
PMC2971489,UPS-0300-9734-115-291-g002.jpg,552,266
PMC3350301,CRIM.OPHMED2011-235956.003.jpg,600,411
PMC3350301,CRIM.OPHMED2011-235956.005.jpg,600,411
PMC3350301,CRIM.OPHMED2011-235956.006.jpg,600,410
PMC3350301,CRIM.OPHMED2011-235956.002.jpg,600,423
PMC3350301,CRIM.OPHMED2011-235956.001.jpg,600,407
PMC3350301,CRIM.OPHMED2011-235956.004.jpg,600,412
PMC3543599,JCytol-29-264-g001.jpg,666,387
PMC3622623,1746-1596-8-50-2.jpg,600,451
PMC3622623,1746-1596-8-50-1.jpg,600,453
PMC3354793,CCD-3-16-g002.jpg,619,431
PMC3354793,CCD-3-16-g001.jpg,618,431
PMC3354793,CCD-3-16-g004.jpg,596,572
PMC3354793,CCD-3-16-g005.jpg,620,393
PMC3354793,CCD-3-16-g003.jpg,619,382
PMC3354793,CCD-3-16-g007.jpg,619,403
PMC3354793,CCD-3-16-g006.jpg,619,392
PMC3288501,cios-4-98-g003.jpg,469,155
PMC3288501,cios-4-98-g002.jpg,402,408
PMC3288501,cios-4-98-g001.jpg,615,816
PMC3288501,cios-4-98-g006.jpg,485,379
PMC3288501,cios-4-98-g005.jpg,485,362
PMC3288501,cios-4-98-g004.jpg,415,349
PMC3846269,ijo-25-115-g002.jpg,762,564
PMC3846269,ijo-25-115-g001.jpg,761,555
PMC4064243,IJO-62-520-g001.jpg,543,393
PMC4064243,IJO-62-520-g002.jpg,544,394
PMC3863969,10.1177_2047981613512830-fig2.jpg,661,534
PMC3863969,10.1177_2047981613512830-fig1.jpg,583,1083
PMC3863969,10.1177_2047981613512830-fig3.jpg,661,500
PMC3875969,abd-88-06-s1-0089-g05.jpg,600,454
PMC3875969,abd-88-06-s1-0089-g02.jpg,600,453
PMC3875969,abd-88-06-s1-0089-g03.jpg,600,454
PMC3875969,abd-88-06-s1-0089-g01.jpg,600,437
PMC3875969,abd-88-06-s1-0089-g04.jpg,600,435
PMC3943986,1756-0500-7-118-1.jpg,600,453
PMC3647130,kjpathol-47-167-g004.jpg,793,571
PMC3647130,kjpathol-47-167-g003.jpg,794,572
PMC3647130,kjpathol-47-167-i001.jpg,1200,209
PMC3647130,kjpathol-47-167-g001.jpg,630,441
PMC3647130,kjpathol-47-167-g002.jpg,630,441
PMC4197920,rju01102.jpg,640,481
PMC4197920,rju01101.jpg,720,702
PMC4181075,MOJ_Vol8_Issue2_63_F3.jpg,443,366
PMC4181075,MOJ_Vol8_Issue2_63_F1b.jpg,441,364
PMC4181075,MOJ_Vol8_Issue2_63_F2b.jpg,442,368
PMC4181075,MOJ_Vol8_Issue2_63_F2a.jpg,425,364
PMC4181075,MOJ_Vol8_Issue2_63_F1a.jpg,444,367
PMC4055069,CRIS2014-747951.003.jpg,600,404
PMC4055069,CRIS2014-747951.002.jpg,600,602
PMC4055069,CRIS2014-747951.001.jpg,477,867
PMC4055069,CRIS2014-747951.004.jpg,600,1035
PMC4160589,kjpathol-48-270-i001.jpg,1200,1149
PMC4160589,kjpathol-48-270-g001.jpg,788,769
PMC4160589,kjpathol-48-270-i002.jpg,1200,277
PMC4301402,13256_2014_3040_Fig3_HTML.jpg,600,579
PMC4301402,13256_2014_3040_Fig5_HTML.jpg,600,553
PMC4301402,13256_2014_3040_Fig1_HTML.jpg,600,291
PMC4301402,13256_2014_3040_Fig6_HTML.jpg,600,550
PMC4301402,13256_2014_3040_Fig2_HTML.jpg,600,587
PMC4301402,13256_2014_3040_Fig4_HTML.jpg,600,570
PMC4511457,13104_2015_1279_Fig2_HTML.jpg,783,240
PMC4511457,13104_2015_1279_Fig7_HTML.jpg,359,270
PMC4511457,13104_2015_1279_Fig8_HTML.jpg,362,268
PMC4511457,13104_2015_1279_Fig3_HTML.jpg,792,233
PMC4511457,13104_2015_1279_Fig1_HTML.jpg,357,447
PMC4511457,13104_2015_1279_Fig4_HTML.jpg,359,234
PMC4511457,13104_2015_1279_Fig6_HTML.jpg,576,215
PMC4511457,13104_2015_1279_Fig5_HTML.jpg,793,331
PMC4215962,kjpathol-48-5-366f2.jpg,656,476
PMC4215962,kjpathol-48-5-366f1.jpg,654,329
PMC4215962,kjpathol-48-5-366f3.jpg,737,361
PMC4511758,gr2.jpg,650,652
PMC4511758,gr4.jpg,720,359
PMC4511758,gr3.jpg,649,644
PMC4511758,gr1.jpg,650,359
PMC4757403,kjtcv-49-067f1.jpg,654,497
PMC4757403,kjtcv-49-067f2.jpg,654,497
PMC4822346,SNI-7-28-g002.jpg,741,285
PMC4822346,SNI-7-28-g001.jpg,497,537
PMC4822346,SNI-7-28-g004.jpg,1158,585
PMC4822346,SNI-7-28-g003.jpg,478,538
PMC4811071,CRID2016-4231683.001.jpg,732,233
PMC4811071,CRID2016-4231683.002.jpg,759,442
PMC4841891,iranjradiol-13-01-18774-g003.jpg,630,473
PMC4841891,iranjradiol-13-01-18774-g002.jpg,630,400
PMC4841891,iranjradiol-13-01-18774-g004.jpg,630,473
PMC4841891,iranjradiol-13-01-18774-g001.jpg,630,458
PMC4868929,dpa-0003-0013-g05.jpg,561,420
PMC4868929,dpa-0003-0013-g07.jpg,561,421
PMC4868929,dpa-0003-0013-g06.jpg,561,420
PMC4868929,dpa-0003-0013-g01.jpg,337,414
PMC4868929,dpa-0003-0013-g03.jpg,561,421
PMC4868929,dpa-0003-0013-g04.jpg,561,442
PMC4868929,dpa-0003-0013-g02.jpg,561,421
PMC4868929,dpa-0003-0013-g08.jpg,561,421
PMC4695421,ad-27-694-g004.jpg,789,524
PMC4695421,ad-27-694-i002.jpg,1200,525
PMC4695421,ad-27-694-g002.jpg,789,293
PMC4695421,ad-27-694-i001.jpg,1200,1005
PMC4695421,ad-27-694-g001.jpg,628,828
PMC4695421,ad-27-694-g005.jpg,733,863
PMC4695421,ad-27-694-g003.jpg,733,346
PMC4878949,gr2.jpg,647,658
PMC4878949,gr4.jpg,647,647
PMC4878949,gr3.jpg,647,441
PMC4878949,gr5.jpg,647,487
PMC4878949,gr1.jpg,647,512
PMC5042893,jptm-2016-03-11f1.jpg,711,746
PMC5042893,jptm-2016-03-11f2.jpg,745,193
PMC4995879,JCytol-33-172-g001.jpg,541,478
PMC4943769,cop-0007-0262-g01.jpg,630,209
PMC4943769,cop-0007-0262-g02.jpg,630,233
PMC4891406,gr2b.jpg,665,499
PMC4891406,gr2a.jpg,666,500
PMC4891406,gr3.jpg,665,778
PMC4891406,gr1.jpg,664,744
PMC5335820,13256_2017_1219_Fig2_HTML.jpg,358,256
PMC5335820,13256_2017_1219_Fig1_HTML.jpg,358,346
PMC5335820,13256_2017_1219_Fig3_HTML.jpg,358,269
PMC5149626,CRIDM2016-6074182.001.jpg,661,867
PMC5149626,CRIDM2016-6074182.004.jpg,668,572
PMC5149626,CRIDM2016-6074182.003.jpg,748,540
PMC5149626,CRIDM2016-6074182.002.jpg,752,641
PMC5721597,CJ-14-26-g002.jpg,539,263
PMC5721597,CJ-14-26-g001.jpg,470,586
PMC5721597,CJ-14-26-g004.jpg,539,271
PMC5721597,CJ-14-26-g005.jpg,539,225
PMC5721597,CJ-14-26-g003.jpg,539,372
PMC5556713,acfs-15-43-g006.jpg,717,531
PMC5556713,acfs-15-43-g003.jpg,717,501
PMC5556713,acfs-15-43-g001.jpg,717,539
PMC5556713,acfs-15-43-g002.jpg,717,660
PMC5556713,acfs-15-43-g005.jpg,717,531
PMC5556713,acfs-15-43-g004.jpg,717,531
PMC5823300,radcr296-fig-0001.jpg,625,353
PMC5823300,radcr296-fig-0002.jpg,750,263
PMC5823300,radcr296-fig-0003.jpg,625,522
PMC5952560,CRIPA2018-1612587.002.jpg,752,575
PMC5952560,CRIPA2018-1612587.001.jpg,752,607
PMC5928027,gr8.jpg,666,406
PMC5928027,gr6.jpg,666,635
PMC5928027,gr2.jpg,666,499
PMC5928027,gr4.jpg,666,648
PMC5928027,gr3.jpg,666,566
PMC5928027,gr5.jpg,666,666
PMC5928027,gr1.jpg,666,888
PMC5928027,gr7.jpg,666,375
PMC6326064,avd-11-4-cr.18-00065-figure01.jpg,683,582
PMC6326064,avd-11-4-cr.18-00065-figure03.jpg,769,1160
PMC6326064,avd-11-4-cr.18-00065-figure02.jpg,456,290
PMC6462385,PAMJ-31-106-g004.jpg,785,432
PMC6462385,PAMJ-31-106-g005.jpg,586,258
PMC6462385,PAMJ-31-106-g003.jpg,771,469
PMC6462385,PAMJ-31-106-g002.jpg,790,418
PMC6462385,PAMJ-31-106-g001.jpg,722,542
PMC6462385,PAMJ-31-106-g006.jpg,723,354
PMC6320623,12891_2018_2375_Fig2_HTML.jpg,787,389
PMC6320623,12891_2018_2375_Fig3_HTML.jpg,787,1193
PMC6320623,12891_2018_2375_Tab2_HTML.jpg,778,951
PMC6320623,12891_2018_2375_Fig1_HTML.jpg,709,232
PMC6495536,13000_2019_814_Fig5_HTML.jpg,597,502
PMC6495536,13000_2019_814_Fig6_HTML.jpg,778,391
PMC6495536,13000_2019_814_Fig1_HTML.jpg,709,527
PMC6495536,13000_2019_814_Fig3_HTML.jpg,709,526
PMC6495536,13000_2019_814_Fig4_HTML.jpg,778,383
PMC6495536,13000_2019_814_Fig2_HTML.jpg,709,527
PMC6556744,ijo-31-181-g004.jpg,692,402
PMC6556744,ijo-31-181-g001.jpg,692,391
PMC6556744,ijo-31-181-g002.jpg,684,387
PMC6556744,ijo-31-181-g003.jpg,685,393
PMC6545406,gr2.jpg,752,369
PMC6545406,gr4.jpg,752,612
PMC6545406,gr3.jpg,752,275
PMC6545406,gr1.jpg,716,776
