pmid,pmcid,title,journal,insert_time,label,caption,graphic
16474944,PMC1602205,Epithelioid sarcoma in the thoracic spine.,Eur Spine J,2023-12-17-22-03-18,Fig. 1,"Preoperative antero-posterior (a) and lateral (b) plain X-rays of the middle thoracic spine. On the ap view no irregular formation of the pedicles can be depicted—the lateral view of the thoracic spine show apophyseal endplate changes as a feature of Scheuermans disease. No signs of osteolytic lesion can be detected. Preoperative transverse (c) and sagittal (d) MRI scan (T2 sequences: TR=3,070, TE=120) demonstrating the tumor mass in the region of the paravertebral muscles, reaching and compressing the dural sac via the right neuroforamen Th9/10",586_2006_61_Fig1_HTML
16474944,PMC1602205,Epithelioid sarcoma in the thoracic spine.,Eur Spine J,2023-12-17-22-03-18,Fig. 2,On the PET scan a craniolateral metastasis was detected (a) and the paravertebral tumor mass was confirmed (b). No further satellite lesions were found,586_2006_61_Fig2_HTML
16474944,PMC1602205,Epithelioid sarcoma in the thoracic spine.,Eur Spine J,2023-12-17-22-03-18,Fig. 3,"Postoperative antero-posterior (a) and lateral (b) plain radiograph of the thoracic spine at final follow-up. Postoperative transverse (c) and sagittal (d) MRI scan (T2 sequences: TR=3,682, TE=120) at 1.5 year showing no sign of recurrence",586_2006_61_Fig3_HTML
16474944,PMC1602205,Epithelioid sarcoma in the thoracic spine.,Eur Spine J,2023-12-17-22-03-18,Fig. 4,"a Histomorphologic aspect of epithelioid sarcoma with solid and nodular growth pattern, H&E (10×). b The tumor cells are roundish, admixed with spindle shaped cells and are featuring an eosinophilic cytoplasm with vesicular, irregular nuclei (20×). c Immunohistochemical investigation with antibodies against cytokeratin shows a strong positive immunoreaction (20×). d The immunoreaction against epithelial membrane antigen (EMA) demonstrates a comparable picture (20×). e The immunoreactivity against smooth muscle actin (SMA) features a weak staining (20×). f The immunoreaction against CD 99 is negative (20×)",586_2006_61_Fig4_HTML
17229326,PMC1794242,"""Pseudosarcoma"" in a pregnant woman.",World J Surg Oncol,2023-12-17-22-03-18,Figure 1,MRI of the right hand showing a pseudosarcomatous mass encircling the ulnar artery.,1477-7819-5-7-1
17229326,PMC1794242,"""Pseudosarcoma"" in a pregnant woman.",World J Surg Oncol,2023-12-17-22-03-18,Figure 2,Section demonstrating an intravascular proliferation of uniform spindle cells. (H&E ×10).,1477-7819-5-7-2
1777134,PMC3049698,Human fibroblasts in idiopathic retroperitoneal fibrosis express HLA-DR antigens.,J Korean Med Sci,2023-12-17-22-03-18,,,
18587489,PMC2424278,Rapidly growing nodular fasciitis in the cheek of an infant: case report of a rare presentation.,Eplasty,2023-12-17-22-03-18,Figure 1,"(A) The child with a rapidly growing tumor in her left cheek, shown as fullness when compared with the right cheek. (B) Computed tomographic scan showed the mass infiltrating the full thickness of the cheek. (C) Proliferating tumor with skin erosion in the overlying skin.",eplasty08e30_fig1
18587489,PMC2424278,Rapidly growing nodular fasciitis in the cheek of an infant: case report of a rare presentation.,Eplasty,2023-12-17-22-03-18,Figure 2,(A) Gross specimen following excision. (B) Immediate postoperative appearance of the incision with a purse-string closure.,eplasty08e30_fig2
18587489,PMC2424278,Rapidly growing nodular fasciitis in the cheek of an infant: case report of a rare presentation.,Eplasty,2023-12-17-22-03-18,Figure 3,"Histological examination ruled out a malignancy and showed myofibroblastic proliferation, consistent with nodular fasciitis (hematoxylin and eosin stain). (A) Low-power photomicrograph showing the zoned appearance of the tumor. In the lower left, myofibroblasts with a moderate amount of eosinophilic cytoplasm are seen arranged in a fascicular pattern. The upper right shows less well differentiated cells with larger nuclei and less cytoplasm (original magnification × 40). (B) Higher magnification photomicrograph from the less well differentiated area. A hemangiopericytoma-like appearance is seen, with arrangement of cells around thin-walled, irregularly branching blood vessels (original magnification × 100).",eplasty08e30_fig3
18587489,PMC2424278,Rapidly growing nodular fasciitis in the cheek of an infant: case report of a rare presentation.,Eplasty,2023-12-17-22-03-18,Figure 4,"(A) Well-healed wound in the left cheek, 4-month postoperative. (B) Symmetrical facial expression demonstrating preservation of the facial nerve.",eplasty08e30_fig4
18725954,PMC2491338,Nodular fasciitis of the hand over the metacarpophalangeal joint: a case report.,Eplasty,2023-12-17-22-03-18,Figure 1,"Preoperative magnetic resonance imaging (MRI). Gadolinium-enhanced, T1-weighted MRI shows a 2.3 × 2.3 × 1.3-cm lobulated, sharply circumscribed lesion (arrow) lying on the volar aspect of the little finger proximal phalanx and metacarpophalangeal joint, without cortex or tendon invasion.",eplasty08e38_fig1
