pmcid,figure_name,width,height
PMC4228221,aps-41-753-i001.jpg,1200,605
PMC4228221,aps-41-753-g002.jpg,743,735
PMC4228221,aps-41-753-g001.jpg,784,784
PMC4228221,aps-41-753-g003.jpg,782,563
PMC4228221,aps-41-753-g004.jpg,782,894
PMC4876076,jptm-2015-08-08f2.jpg,635,208
PMC4876076,jptm-2015-08-08f3.jpg,705,704
PMC4876076,jptm-2015-08-08f1.jpg,705,203
PMC9279839,ijgc-2021-003262f01.jpg,787,1208
PMC9279839,ijgc-2021-003262f02.jpg,502,612
PMC9279839,ijgc-2021-003262f04.jpg,527,640
PMC9279839,ijgc-2021-003262f07.jpg,800,600
PMC9279839,ijgc-2021-003262f05.jpg,800,600
PMC9279839,ijgc-2021-003262f03.jpg,795,1104
PMC9279839,ijgc-2021-003262f06.jpg,800,600
PMC9279839,ijgc-2021-003262f08.jpg,800,600
